Human	ChrHuman	Macaque	ChrMacaque
ENSG00000158195	1	ENSMMUG00000018221	1
ENSG00000158201	18	ENSMMUG00000004382	18
ENSG00000158220	3	ENSMMUG00000007757	2
ENSG00000158234	3	ENSMMUG00000008664	2
ENSG00000158246	1	ENSMMUG00000015115	1
ENSG00000158258	3	ENSMMUG00000003169	2
ENSG00000158270	18	ENSMMUG00000004663	18
ENSG00000158286	1	ENSMMUG00000038166	1
ENSG00000158290	X	ENSMMUG00000009037	X
ENSG00000158296	20	ENSMMUG00000016924	10
ENSG00000158301	X	ENSMMUG00000009970	X
ENSG00000158315	1	ENSMMUG00000032188	1
ENSG00000158321	7	ENSMMUG00000017675	3
ENSG00000158352	X	ENSMMUG00000000378	X
ENSG00000158373	6	ENSMMUG00000041727	4
ENSG00000158402	5	ENSMMUG00000009025	6
ENSG00000158406	6	ENSMMUG00000042405	JSUE03292034.1
ENSG00000158411	2	ENSMMUG00000000572	13
ENSG00000158417	2	ENSMMUG00000018946	13
ENSG00000158423	X	ENSMMUG00000009295	X
ENSG00000158428	2	ENSMMUG00000031218	12
ENSG00000158435	2	ENSMMUG00000001147	13
ENSG00000158445	20	ENSMMUG00000006442	10
ENSG00000158457	7	ENSMMUG00000012109	3
ENSG00000158458	5	ENSMMUG00000010301	6
ENSG00000158467	7	ENSMMUG00000019358	3
ENSG00000158470	20	ENSMMUG00000002124	10
ENSG00000158473	1	ENSMMUG00000020156	1
ENSG00000158480	20	ENSMMUG00000000740	10
ENSG00000158481	1	ENSMMUG00000010626	KQ734098.1
ENSG00000158485	1	ENSMMUG00000016783	1
ENSG00000158486	16	ENSMMUG00000016753	20
ENSG00000158488	1	ENSMMUG00000016784	1
ENSG00000158497	5	ENSMMUG00000046781	6
ENSG00000158517	7	ENSMMUG00000007586	3
ENSG00000158525	7	ENSMMUG00000009494	3
ENSG00000158528	7	ENSMMUG00000008008	3
ENSG00000158545	16	ENSMMUG00000014323	20
ENSG00000158552	2	ENSMMUG00000019614	12
ENSG00000158555	11	ENSMMUG00000009022	14
ENSG00000158560	7	ENSMMUG00000005915	3
ENSG00000158571	X	ENSMMUG00000008425	X
ENSG00000158578	X	ENSMMUG00000008429	X
ENSG00000158604	7	ENSMMUG00000002650	3
ENSG00000158615	1	ENSMMUG00000016561	1
ENSG00000158623	7	ENSMMUG00000004801	3
ENSG00000158636	11	ENSMMUG00000022401	14
ENSG00000158639	X	ENSMMUG00000044833	X
ENSG00000158669	8	ENSMMUG00000014721	8
ENSG00000158683	7	ENSMMUG00000007032	3
ENSG00000158691	6	ENSMMUG00000011675	4
ENSG00000158710	1	ENSMMUG00000040609	1
ENSG00000158711	1	ENSMMUG00000001024	1
ENSG00000158714	1	ENSMMUG00000011338	1
ENSG00000158715	1	ENSMMUG00000004116	1
ENSG00000158716	1	ENSMMUG00000018444	1
ENSG00000158717	16	ENSMMUG00000029068	20
ENSG00000158748	1	ENSMMUG00000048344	1
ENSG00000158764	1	ENSMMUG00000012037	1
ENSG00000158769	1	ENSMMUG00000001996	1
ENSG00000158773	1	ENSMMUG00000002003	1
ENSG00000158786	1	ENSMMUG00000048211	1
ENSG00000158792	16	ENSMMUG00000002504	20
ENSG00000158793	1	ENSMMUG00000002009	1
ENSG00000158796	1	ENSMMUG00000002010	1
ENSG00000158805	16	ENSMMUG00000002506	20
ENSG00000158806	8	ENSMMUG00000002034	8
ENSG00000158813	X	ENSMMUG00000017753	X
ENSG00000158816	1	ENSMMUG00000006022	1
ENSG00000158825	1	ENSMMUG00000043488	1
ENSG00000158828	1	ENSMMUG00000008835	1
ENSG00000158850	1	ENSMMUG00000022629	1
ENSG00000158856	8	ENSMMUG00000005870	8
ENSG00000158859	1	ENSMMUG00000042155	1
ENSG00000158863	8	ENSMMUG00000013017	8
ENSG00000158865	16	ENSMMUG00000001407	20
ENSG00000158869	1	ENSMMUG00000004512	1
ENSG00000158874	1	ENSMMUG00000004516	1
ENSG00000158882	1	ENSMMUG00000018126	1
ENSG00000158887	1	ENSMMUG00000001216	1
ENSG00000158941	8	ENSMMUG00000021991	8
ENSG00000158955	17	ENSMMUG00000020810	16
ENSG00000158966	1	ENSMMUG00000007577	1
ENSG00000158985	5	ENSMMUG00000047956	6
ENSG00000159023	1	ENSMMUG00000011377	1
ENSG00000159055	21	ENSMMUG00000022542	3
ENSG00000159063	11	ENSMMUG00000017472	14
ENSG00000159069	9	ENSMMUG00000011528	15
ENSG00000159082	21	ENSMMUG00000004624	3
ENSG00000159086	21	ENSMMUG00000012291	3
ENSG00000159110	21	ENSMMUG00000003956	3
ENSG00000159111	17	ENSMMUG00000021486	16
ENSG00000159128	21	ENSMMUG00000005508	3
ENSG00000159131	21	ENSMMUG00000022702	3
ENSG00000159140	21	ENSMMUG00000005511	3
ENSG00000159164	1	ENSMMUG00000007257	1
ENSG00000159166	1	ENSMMUG00000013507	1
ENSG00000159167	8	ENSMMUG00000046186	8
ENSG00000159173	1	ENSMMUG00000046222	1
ENSG00000159176	1	ENSMMUG00000020772	1
ENSG00000159189	1	ENSMMUG00000020756	1
ENSG00000159200	21	ENSMMUG00000004600	3
ENSG00000159208	1	ENSMMUG00000021388	1
ENSG00000159210	17	ENSMMUG00000021087	16
ENSG00000159212	21	ENSMMUG00000004605	3
ENSG00000159214	1	ENSMMUG00000015156	1
ENSG00000159216	21	ENSMMUG00000001649	3
ENSG00000159217	17	ENSMMUG00000011533	16
ENSG00000159228	21	ENSMMUG00000020565	3
ENSG00000159239	2	ENSMMUG00000015613	13
ENSG00000159248	15	ENSMMUG00000007028	7
ENSG00000159251	15	ENSMMUG00000007027	7
ENSG00000159256	21	ENSMMUG00000020043	3
ENSG00000159261	21	ENSMMUG00000000488	3
ENSG00000159267	21	ENSMMUG00000015566	3
ENSG00000159307	22	ENSMMUG00000006061	10
ENSG00000159314	17	ENSMMUG00000021932	16
ENSG00000159322	15	ENSMMUG00000011309	7
ENSG00000159335	12	ENSMMUG00000039070	11
ENSG00000159337	15	ENSMMUG00000003848	7
ENSG00000159339	1	ENSMMUG00000032238	1
ENSG00000159346	1	ENSMMUG00000007046	1
ENSG00000159348	1	ENSMMUG00000007047	1
ENSG00000159352	1	ENSMMUG00000049004	1
ENSG00000159363	1	ENSMMUG00000001610	1
ENSG00000159374	2	ENSMMUG00000002140	13
ENSG00000159377	1	ENSMMUG00000020924	1
ENSG00000159387	16	ENSMMUG00000011658	20
ENSG00000159388	1	ENSMMUG00000011981	1
ENSG00000159399	2	ENSMMUG00000011845	13
ENSG00000159409	1	ENSMMUG00000016952	1
ENSG00000159423	1	ENSMMUG00000004751	1
ENSG00000159433	15	ENSMMUG00000008093	7
ENSG00000159445	1	ENSMMUG00000014361	1
ENSG00000159450	1	ENSMMUG00000045008	1
ENSG00000159459	15	ENSMMUG00000006498	7
ENSG00000159461	16	ENSMMUG00000019902	20
ENSG00000159479	1	ENSMMUG00000023671	1
ENSG00000159495	15	ENSMMUG00000022251	7
ENSG00000159496	22	ENSMMUG00000047978	10
ENSG00000159516	1	ENSMMUG00000031660	1
ENSG00000159579	16	ENSMMUG00000020353	20
ENSG00000159588	1	ENSMMUG00000023432	1
ENSG00000159592	1	ENSMMUG00000001960	1
ENSG00000159593	16	ENSMMUG00000006752	20
ENSG00000159618	16	ENSMMUG00000011980	20
ENSG00000159625	16	ENSMMUG00000015692	20
ENSG00000159640	17	ENSMMUG00000012608	16
ENSG00000159648	16	ENSMMUG00000022666	20
ENSG00000159650	3	ENSMMUG00000004197	2
ENSG00000159685	3	ENSMMUG00000016719	2
ENSG00000159692	4	ENSMMUG00000008323	5
ENSG00000159708	16	ENSMMUG00000009821	20
ENSG00000159713	16	ENSMMUG00000040702	20
ENSG00000159714	16	ENSMMUG00000009825	20
ENSG00000159720	16	ENSMMUG00000029105	20
ENSG00000159753	16	ENSMMUG00000009799	20
ENSG00000159761	16	ENSMMUG00000043912	20
ENSG00000159763	7	ENSMMUG00000043769	3
ENSG00000159784	7	ENSMMUG00000012633	3
ENSG00000159788	4	ENSMMUG00000007154	5
ENSG00000159792	16	ENSMMUG00000011895	20
ENSG00000159840	7	ENSMMUG00000012635	3
ENSG00000159842	17	ENSMMUG00000008130	16
ENSG00000159873	22	ENSMMUG00000040556	10
ENSG00000159884	9	ENSMMUG00000016327	15
ENSG00000159899	9	ENSMMUG00000016334	15
ENSG00000159905	19	ENSMMUG00000021468	19
ENSG00000159915	19	ENSMMUG00000012797	19
ENSG00000159917	19	ENSMMUG00000012801	19
ENSG00000159921	9	ENSMMUG00000006135	15
ENSG00000160007	19	ENSMMUG00000011332	19
ENSG00000160013	19	ENSMMUG00000017922	19
ENSG00000160049	1	ENSMMUG00000032254	1
ENSG00000160050	1	ENSMMUG00000015066	1
ENSG00000160051	1	ENSMMUG00000017718	1
ENSG00000160055	1	ENSMMUG00000008453	1
ENSG00000160058	1	ENSMMUG00000001264	1
ENSG00000160075	1	ENSMMUG00000001551	1
ENSG00000160087	1	ENSMMUG00000010030	1
ENSG00000160094	1	ENSMMUG00000003267	1
ENSG00000160111	19	ENSMMUG00000017254	19
ENSG00000160113	19	ENSMMUG00000028849	19
ENSG00000160117	19	ENSMMUG00000016228	19
ENSG00000160124	3	ENSMMUG00000047586	2
ENSG00000160131	X	ENSMMUG00000039801	X
ENSG00000160145	3	ENSMMUG00000003851	2
ENSG00000160161	19	ENSMMUG00000011352	19
ENSG00000160179	21	ENSMMUG00000018058	3
ENSG00000160181	21	ENSMMUG00000018077	3
ENSG00000160183	21	ENSMMUG00000018079	3
ENSG00000160185	21	ENSMMUG00000018081	3
ENSG00000160188	21	ENSMMUG00000018084	3
ENSG00000160190	21	ENSMMUG00000018085	3
ENSG00000160191	21	ENSMMUG00000022107	3
ENSG00000160193	21	ENSMMUG00000038918	3
ENSG00000160194	21	ENSMMUG00000001553	3
ENSG00000160199	21	ENSMMUG00000009288	3
ENSG00000160207	21	ENSMMUG00000022791	3
ENSG00000160208	21	ENSMMUG00000000104	3
ENSG00000160209	21	ENSMMUG00000012300	3
ENSG00000160211	X	ENSMMUG00000017409	X
ENSG00000160213	21	ENSMMUG00000012303	3
ENSG00000160214	21	ENSMMUG00000012304	3
ENSG00000160216	21	ENSMMUG00000045179	3
ENSG00000160219	X	ENSMMUG00000015190	X
ENSG00000160224	21	ENSMMUG00000004168	3
ENSG00000160226	21	ENSMMUG00000004174	3
ENSG00000160229	19	ENSMMUG00000038140	19
ENSG00000160233	21	ENSMMUG00000041441	3
ENSG00000160255	21	ENSMMUG00000000951	3
ENSG00000160256	21	ENSMMUG00000000953	3
ENSG00000160271	9	ENSMMUG00000015274	15
ENSG00000160282	21	ENSMMUG00000022324	3
ENSG00000160285	21	ENSMMUG00000022329	3
ENSG00000160293	9	ENSMMUG00000017214	15
ENSG00000160294	21	ENSMMUG00000022331	3
ENSG00000160298	21	ENSMMUG00000039473	3
ENSG00000160299	21	ENSMMUG00000012914	3
ENSG00000160305	21	ENSMMUG00000015797	3
ENSG00000160310	21	ENSMMUG00000015803	3
ENSG00000160323	9	ENSMMUG00000000937	15
ENSG00000160325	9	ENSMMUG00000010976	15
ENSG00000160326	9	ENSMMUG00000010981	15
ENSG00000160336	19	ENSMMUG00000028720	19
ENSG00000160339	9	ENSMMUG00000014403	15
ENSG00000160360	9	ENSMMUG00000003081	15
ENSG00000160392	19	ENSMMUG00000008946	19
ENSG00000160396	19	ENSMMUG00000006072	19
ENSG00000160401	9	ENSMMUG00000016423	15
ENSG00000160404	9	ENSMMUG00000016429	15
ENSG00000160408	9	ENSMMUG00000018686	15
ENSG00000160410	19	ENSMMUG00000020797	19
ENSG00000160439	19	ENSMMUG00000022322	19
ENSG00000160445	9	ENSMMUG00000010870	15
ENSG00000160446	9	ENSMMUG00000041713	15
ENSG00000160447	9	ENSMMUG00000010143	15
ENSG00000160460	19	ENSMMUG00000020796	19
ENSG00000160469	19	ENSMMUG00000002965	19
ENSG00000160472	19	ENSMMUG00000015900	19
ENSG00000160505	19	ENSMMUG00000028711	19
ENSG00000160539	9	ENSMMUG00000047768	15
ENSG00000160551	17	ENSMMUG00000019667	16
ENSG00000160563	9	ENSMMUG00000001727	15
ENSG00000160570	19	ENSMMUG00000041041	19
ENSG00000160584	11	ENSMMUG00000016128	14
ENSG00000160588	11	ENSMMUG00000023594	14
ENSG00000160593	11	ENSMMUG00000006268	14
ENSG00000160602	17	ENSMMUG00000030250	16
ENSG00000160613	11	ENSMMUG00000002061	14
ENSG00000160633	19	ENSMMUG00000017970	19
ENSG00000160654	11	ENSMMUG00000017600	14
ENSG00000160678	1	ENSMMUG00000008145	1
ENSG00000160679	1	ENSMMUG00000008146	1
ENSG00000160683	11	ENSMMUG00000009316	14
ENSG00000160685	1	ENSMMUG00000004053	1
ENSG00000160688	1	ENSMMUG00000006584	1
ENSG00000160691	1	ENSMMUG00000006581	1
ENSG00000160695	11	ENSMMUG00000014864	14
ENSG00000160703	11	ENSMMUG00000012189	14
ENSG00000160710	1	ENSMMUG00000016093	1
ENSG00000160712	1	ENSMMUG00000022978	1
ENSG00000160714	1	ENSMMUG00000019547	1
ENSG00000160716	1	ENSMMUG00000016089	1
ENSG00000160741	1	ENSMMUG00000005005	1
ENSG00000160746	3	ENSMMUG00000001029	2
ENSG00000160753	1	ENSMMUG00000023145	1
ENSG00000160767	1	ENSMMUG00000018309	1
ENSG00000160781	1	ENSMMUG00000000085	1
ENSG00000160785	1	ENSMMUG00000004902	1
ENSG00000160789	1	ENSMMUG00000016096	1
ENSG00000160791	3	ENSMMUG00000042238	2
ENSG00000160796	3	ENSMMUG00000019813	2
ENSG00000160799	3	ENSMMUG00000019810	2
ENSG00000160801	3	ENSMMUG00000014742	2
ENSG00000160803	1	ENSMMUG00000009983	1
ENSG00000160808	3	ENSMMUG00000014741	2
ENSG00000160813	7	ENSMMUG00000012728	3
ENSG00000160818	1	ENSMMUG00000002624	1
ENSG00000160856	1	ENSMMUG00000046969	1
ENSG00000160862	7	ENSMMUG00000022504	3
ENSG00000160867	5	ENSMMUG00000004919	6
ENSG00000160868	7	ENSMMUG00000043107	3
ENSG00000160877	19	ENSMMUG00000017971	19
ENSG00000160883	5	ENSMMUG00000002653	6
ENSG00000160886	8	ENSMMUG00000019458	8
ENSG00000160888	19	ENSMMUG00000042500	19
ENSG00000160908	7	ENSMMUG00000020140	3
ENSG00000160917	7	ENSMMUG00000019191	3
ENSG00000160932	8	ENSMMUG00000046292	8
ENSG00000160948	8	ENSMMUG00000020667	8
ENSG00000160949	8	ENSMMUG00000002655	8
ENSG00000160951	19	ENSMMUG00000005728	19
ENSG00000160953	19	ENSMMUG00000003043	19
ENSG00000160957	8	ENSMMUG00000015588	8
ENSG00000160961	19	ENSMMUG00000020653	19
ENSG00000160963	7	ENSMMUG00000048852	3
ENSG00000160973	8	ENSMMUG00000002663	8
ENSG00000160991	7	ENSMMUG00000012024	3
ENSG00000160993	7	ENSMMUG00000043189	3
ENSG00000160994	19	ENSMMUG00000013758	19
ENSG00000160999	7	ENSMMUG00000010329	3
ENSG00000161010	5	ENSMMUG00000021056	6
ENSG00000161011	5	ENSMMUG00000021055	6
ENSG00000161013	5	ENSMMUG00000012374	6
ENSG00000161016	8	ENSMMUG00000013379	8
ENSG00000161021	5	ENSMMUG00000012371	6
ENSG00000161031	19	ENSMMUG00000003031	19
ENSG00000161036	7	ENSMMUG00000012021	3
ENSG00000161040	7	ENSMMUG00000012427	3
ENSG00000161048	7	ENSMMUG00000004236	3
ENSG00000161055	5	ENSMMUG00000018692	6
ENSG00000161057	7	ENSMMUG00000003432	3
ENSG00000161082	19	ENSMMUG00000015513	19
ENSG00000161091	19	ENSMMUG00000010653	19
ENSG00000161179	22	ENSMMUG00000018996	10
ENSG00000161180	22	ENSMMUG00000018799	10
ENSG00000161202	3	ENSMMUG00000006553	2
ENSG00000161203	3	ENSMMUG00000006557	2
ENSG00000161204	3	ENSMMUG00000006558	2
ENSG00000161217	3	ENSMMUG00000038924	2
ENSG00000161243	19	ENSMMUG00000014544	19
ENSG00000161249	19	ENSMMUG00000019064	19
ENSG00000161267	3	ENSMMUG00000002021	2
ENSG00000161277	19	ENSMMUG00000019702	19
ENSG00000161281	19	ENSMMUG00000000250	19
ENSG00000161298	19	ENSMMUG00000016449	19
ENSG00000161328	11	ENSMMUG00000021661	14
ENSG00000161381	17	ENSMMUG00000004917	16
ENSG00000161395	17	ENSMMUG00000001347	16
ENSG00000161405	17	ENSMMUG00000017337	16
ENSG00000161509	17	ENSMMUG00000005744	16
ENSG00000161513	17	ENSMMUG00000015648	16
ENSG00000161526	17	ENSMMUG00000021636	16
ENSG00000161533	17	ENSMMUG00000014172	16
ENSG00000161542	17	ENSMMUG00000003543	16
ENSG00000161544	17	ENSMMUG00000021045	16
ENSG00000161547	17	ENSMMUG00000022413	16
ENSG00000161558	19	ENSMMUG00000013068	19
ENSG00000161594	17	ENSMMUG00000005961	16
ENSG00000161609	19	ENSMMUG00000014795	19
ENSG00000161610	17	ENSMMUG00000006406	16
ENSG00000161618	19	ENSMMUG00000022117	19
ENSG00000161634	12	ENSMMUG00000000116	11
ENSG00000161638	12	ENSMMUG00000003755	11
ENSG00000161640	19	ENSMMUG00000006385	19
ENSG00000161642	12	ENSMMUG00000016669	11
ENSG00000161647	17	ENSMMUG00000013260	16
ENSG00000161649	17	ENSMMUG00000013263	16
ENSG00000161652	19	ENSMMUG00000017065	19
ENSG00000161653	17	ENSMMUG00000009713	16
ENSG00000161654	17	ENSMMUG00000006804	16
ENSG00000161664	17	ENSMMUG00000016867	16
ENSG00000161671	19	ENSMMUG00000046949	19
ENSG00000161677	19	ENSMMUG00000021269	19
ENSG00000161681	19	ENSMMUG00000009357	19
ENSG00000161682	17	ENSMMUG00000041006	16
ENSG00000161692	17	ENSMMUG00000005456	16
ENSG00000161791	12	ENSMMUG00000022498	11
ENSG00000161798	12	ENSMMUG00000041186	11
ENSG00000161813	12	ENSMMUG00000008172	11
ENSG00000161835	12	ENSMMUG00000006199	11
ENSG00000161847	19	ENSMMUG00000014897	19
ENSG00000161849	12	ENSMMUG00000018217	11
ENSG00000161850	12	ENSMMUG00000018218	11
ENSG00000161860	19	ENSMMUG00000020225	19
ENSG00000161888	19	ENSMMUG00000003612	19
ENSG00000161896	6	ENSMMUG00000045656	4
ENSG00000161904	6	ENSMMUG00000021734	4
ENSG00000161905	17	ENSMMUG00000030381	16
ENSG00000161911	6	ENSMMUG00000013919	4
ENSG00000161914	19	ENSMMUG00000020617	19
ENSG00000161920	17	ENSMMUG00000004892	16
ENSG00000161921	17	ENSMMUG00000004891	16
ENSG00000161929	17	ENSMMUG00000022985	16
ENSG00000161940	17	ENSMMUG00000016268	16
ENSG00000161944	17	ENSMMUG00000040495	16
ENSG00000161958	17	ENSMMUG00000046889	16
ENSG00000161960	17	ENSMMUG00000013499	16
ENSG00000161973	17	ENSMMUG00000003424	16
ENSG00000161980	16	ENSMMUG00000000586	20
ENSG00000161981	16	ENSMMUG00000047475	20
ENSG00000161996	16	ENSMMUG00000013169	20
ENSG00000161999	16	ENSMMUG00000001984	20
ENSG00000162004	16	ENSMMUG00000006452	20
ENSG00000162006	16	ENSMMUG00000000839	20
ENSG00000162009	16	ENSMMUG00000002896	20
ENSG00000162032	16	ENSMMUG00000018596	20
ENSG00000162039	16	ENSMMUG00000000739	20
ENSG00000162040	16	ENSMMUG00000048601	20
ENSG00000162062	16	ENSMMUG00000000002	20
ENSG00000162063	16	ENSMMUG00000000001	20
ENSG00000162065	16	ENSMMUG00000019096	20
ENSG00000162069	16	ENSMMUG00000007667	20
ENSG00000162073	16	ENSMMUG00000004213	20
ENSG00000162076	16	ENSMMUG00000039735	20
ENSG00000162078	16	ENSMMUG00000016184	20
ENSG00000162104	16	ENSMMUG00000039943	20
ENSG00000162105	11	ENSMMUG00000019736	14
ENSG00000162129	11	ENSMMUG00000005423	14
ENSG00000162139	11	ENSMMUG00000010686	14
ENSG00000162144	11	ENSMMUG00000022372	14
ENSG00000162148	11	ENSMMUG00000014913	14
ENSG00000162174	11	ENSMMUG00000013831	14
ENSG00000162188	11	ENSMMUG00000042036	14
ENSG00000162191	11	ENSMMUG00000005761	14
ENSG00000162222	11	ENSMMUG00000039671	14
ENSG00000162227	11	ENSMMUG00000000110	14
ENSG00000162231	11	ENSMMUG00000000188	14
ENSG00000162236	11	ENSMMUG00000005280	14
ENSG00000162241	11	ENSMMUG00000023297	14
ENSG00000162267	3	ENSMMUG00000014522	2
ENSG00000162298	11	ENSMMUG00000018781	14
ENSG00000162300	11	ENSMMUG00000018768	14
ENSG00000162302	11	ENSMMUG00000007610	14
ENSG00000162337	11	ENSMMUG00000031237	14
ENSG00000162341	11	ENSMMUG00000010784	14
ENSG00000162366	1	ENSMMUG00000043348	1
ENSG00000162373	1	ENSMMUG00000019137	1
ENSG00000162374	1	ENSMMUG00000021933	1
ENSG00000162377	1	ENSMMUG00000039959	1
ENSG00000162378	1	ENSMMUG00000001434	1
ENSG00000162383	1	ENSMMUG00000007605	1
ENSG00000162384	1	ENSMMUG00000007608	1
ENSG00000162385	1	ENSMMUG00000007611	1
ENSG00000162390	1	ENSMMUG00000013679	1
ENSG00000162391	1	ENSMMUG00000013680	1
ENSG00000162396	1	ENSMMUG00000032084	1
ENSG00000162398	1	ENSMMUG00000021575	1
ENSG00000162399	1	ENSMMUG00000005735	1
ENSG00000162402	1	ENSMMUG00000005740	1
ENSG00000162407	1	ENSMMUG00000002200	1
ENSG00000162408	1	ENSMMUG00000023681	1
ENSG00000162409	1	ENSMMUG00000010406	1
ENSG00000162413	1	ENSMMUG00000018181	1
ENSG00000162415	1	ENSMMUG00000013001	1
ENSG00000162419	1	ENSMMUG00000011390	1
ENSG00000162426	1	ENSMMUG00000021398	1
ENSG00000162433	1	ENSMMUG00000030101	5
ENSG00000162434	1	ENSMMUG00000018566	1
ENSG00000162437	1	ENSMMUG00000018565	1
ENSG00000162438	1	ENSMMUG00000002188	1
ENSG00000162441	1	ENSMMUG00000013292	1
ENSG00000162444	1	ENSMMUG00000002219	1
ENSG00000162456	1	ENSMMUG00000044038	1
ENSG00000162458	1	ENSMMUG00000032243	1
ENSG00000162461	1	ENSMMUG00000037608	1
ENSG00000162482	1	ENSMMUG00000006891	1
ENSG00000162490	1	ENSMMUG00000014224	X
ENSG00000162493	1	ENSMMUG00000000145	1
ENSG00000162496	1	ENSMMUG00000005681	1
ENSG00000162511	1	ENSMMUG00000008744	1
ENSG00000162512	1	ENSMMUG00000013519	1
ENSG00000162517	1	ENSMMUG00000023397	1
ENSG00000162520	1	ENSMMUG00000047454	1
ENSG00000162521	1	ENSMMUG00000021274	4
ENSG00000162522	1	ENSMMUG00000019743	1
ENSG00000162542	1	ENSMMUG00000002492	1
ENSG00000162543	1	ENSMMUG00000038517	1
ENSG00000162551	1	ENSMMUG00000002217	1
ENSG00000162571	1	ENSMMUG00000045769	1
ENSG00000162572	1	ENSMMUG00000032292	1
ENSG00000162576	1	ENSMMUG00000003582	1
ENSG00000162591	1	ENSMMUG00000009358	1
ENSG00000162592	1	ENSMMUG00000013591	1
ENSG00000162594	1	ENSMMUG00000000648	1
ENSG00000162595	1	ENSMMUG00000013333	1
ENSG00000162598	1	ENSMMUG00000006756	1
ENSG00000162599	1	ENSMMUG00000013840	1
ENSG00000162600	1	ENSMMUG00000022762	1
ENSG00000162601	1	ENSMMUG00000011800	1
ENSG00000162604	1	ENSMMUG00000010931	1
ENSG00000162607	1	ENSMMUG00000002339	1
ENSG00000162613	1	ENSMMUG00000002899	1
ENSG00000162614	1	ENSMMUG00000010352	1
ENSG00000162616	1	ENSMMUG00000038395	1
ENSG00000162618	1	ENSMMUG00000023345	1
ENSG00000162620	1	ENSMMUG00000012465	1
ENSG00000162621	1	ENSMMUG00000042455	1
ENSG00000162623	1	ENSMMUG00000014595	1
ENSG00000162624	1	ENSMMUG00000005287	1
ENSG00000162630	1	ENSMMUG00000022648	1
ENSG00000162631	1	ENSMMUG00000008197	1
ENSG00000162636	1	ENSMMUG00000009429	1
ENSG00000162639	1	ENSMMUG00000009431	1
ENSG00000162643	1	ENSMMUG00000008932	1
ENSG00000162645	1	ENSMMUG00000000662	1
ENSG00000162650	1	ENSMMUG00000005815	1
ENSG00000162664	1	ENSMMUG00000003442	1
ENSG00000162669	1	ENSMMUG00000006819	1
ENSG00000162670	1	ENSMMUG00000010110	1
ENSG00000162676	1	ENSMMUG00000005068	1
ENSG00000162687	1	ENSMMUG00000021082	1
ENSG00000162692	1	ENSMMUG00000022906	1
ENSG00000162694	1	ENSMMUG00000003727	1
ENSG00000162695	1	ENSMMUG00000003728	1
ENSG00000162702	1	ENSMMUG00000007334	1
ENSG00000162704	1	ENSMMUG00000047833	1
ENSG00000162706	1	ENSMMUG00000001297	1
ENSG00000162711	1	ENSMMUG00000005946	1
ENSG00000162714	1	ENSMMUG00000019585	1
ENSG00000162722	1	ENSMMUG00000005570	1
ENSG00000162723	1	ENSMMUG00000004707	1
ENSG00000162729	1	ENSMMUG00000031542	1
ENSG00000162733	1	ENSMMUG00000009330	1
ENSG00000162734	1	ENSMMUG00000043025	1
ENSG00000162736	1	ENSMMUG00000021856	1
ENSG00000162738	1	ENSMMUG00000020295	1
ENSG00000162739	1	ENSMMUG00000015601	1
ENSG00000162745	1	ENSMMUG00000023042	1
ENSG00000162753	1	ENSMMUG00000008779	1
ENSG00000162755	1	ENSMMUG00000002007	1
ENSG00000162757	1	ENSMMUG00000047787	1
ENSG00000162761	1	ENSMMUG00000006300	1
ENSG00000162763	1	ENSMMUG00000015518	1
ENSG00000162769	1	ENSMMUG00000011732	1
ENSG00000162772	1	ENSMMUG00000012185	1
ENSG00000162775	1	ENSMMUG00000015020	1
ENSG00000162779	1	ENSMMUG00000003769	1
ENSG00000162782	1	ENSMMUG00000016033	1
ENSG00000162783	1	ENSMMUG00000031286	1
ENSG00000162804	2	ENSMMUG00000004968	12
ENSG00000162813	1	ENSMMUG00000017396	1
ENSG00000162814	1	ENSMMUG00000007213	1
ENSG00000162817	1	ENSMMUG00000023478	1
ENSG00000162819	1	ENSMMUG00000015026	1
ENSG00000162836	1	ENSMMUG00000013561	1
ENSG00000162843	1	ENSMMUG00000008763	1
ENSG00000162849	1	ENSMMUG00000017324	1
ENSG00000162851	1	ENSMMUG00000022915	1
ENSG00000162852	1	ENSMMUG00000011380	1
ENSG00000162869	2	ENSMMUG00000022853	13
ENSG00000162873	1	ENSMMUG00000018585	1
ENSG00000162877	1	ENSMMUG00000003673	1
ENSG00000162878	2	ENSMMUG00000020074	13
ENSG00000162881	2	ENSMMUG00000004039	13
ENSG00000162885	1	ENSMMUG00000008427	1
ENSG00000162889	1	ENSMMUG00000023567	1
ENSG00000162891	1	ENSMMUG00000023571	1
ENSG00000162892	1	ENSMMUG00000023572	1
ENSG00000162894	1	ENSMMUG00000023573	1
ENSG00000162896	1	ENSMMUG00000011220	1
ENSG00000162897	1	ENSMMUG00000011221	1
ENSG00000162909	1	ENSMMUG00000011142	1
ENSG00000162910	1	ENSMMUG00000002790	1
ENSG00000162913	1	ENSMMUG00000023088	1
ENSG00000162923	1	ENSMMUG00000012227	1
ENSG00000162924	2	ENSMMUG00000010834	13
ENSG00000162927	2	ENSMMUG00000005685	13
ENSG00000162928	2	ENSMMUG00000005687	13
ENSG00000162929	2	ENSMMUG00000021990	13
ENSG00000162931	1	ENSMMUG00000005307	1
ENSG00000162944	2	ENSMMUG00000023809	2
ENSG00000162946	1	ENSMMUG00000013119	1
ENSG00000162949	2	ENSMMUG00000003473	13
ENSG00000162951	2	ENSMMUG00000000291	13
ENSG00000162959	2	ENSMMUG00000003908	13
ENSG00000162961	2	ENSMMUG00000014481	13
