Macaque	ChrMacaque	Chicken	ChrChicken
ENSMMUG00000015065	18	ENSGALG00000026092	2
ENSMMUG00000015066	1	ENSGALG00000003241	23
ENSMMUG00000015070	11	ENSGALG00000036043	15
ENSMMUG00000015071	9	ENSGALG00000043593	1
ENSMMUG00000015072	10	ENSGALG00000004621	20
ENSMMUG00000015073	7	ENSGALG00000023135	5
ENSMMUG00000015078	1	ENSGALG00000010351	8
ENSMMUG00000015080	1	ENSGALG00000010335	8
ENSMMUG00000015084	1	ENSGALG00000004620	8
ENSMMUG00000015086	7	ENSGALG00000004059	10
ENSMMUG00000015087	5	ENSGALG00000010642	4
ENSMMUG00000015088	4	ENSGALG00000013994	3
ENSMMUG00000015092	6	ENSGALG00000012941	2
ENSMMUG00000015093	15	ENSGALG00000010166	Z
ENSMMUG00000015096	X	ENSGALG00000040784	4
ENSMMUG00000015097	1	ENSGALG00000028437	21
ENSMMUG00000015099	5	ENSGALG00000015528	4
ENSMMUG00000015105	15	ENSGALG00000010173	Z
ENSMMUG00000015106	14	ENSGALG00000008053	5
ENSMMUG00000015107	11	ENSGALG00000004928	15
ENSMMUG00000015108	11	ENSGALG00000034278	15
ENSMMUG00000015110	7	ENSGALG00000012228	5
ENSMMUG00000015114	6	ENSGALG00000028484	Z
ENSMMUG00000015115	1	ENSGALG00000036117	23
ENSMMUG00000015117	9	ENSGALG00000008523	6
ENSMMUG00000015123	7	ENSGALG00000009156	5
ENSMMUG00000015125	9	ENSGALG00000003935	6
ENSMMUG00000015128	7	ENSGALG00000009995	5
ENSMMUG00000015131	9	ENSGALG00000003931	6
ENSMMUG00000015132	1	ENSGALG00000014371	3
ENSMMUG00000015133	1	ENSGALG00000001177	26
ENSMMUG00000015134	11	ENSGALG00000011633	1
ENSMMUG00000015135	1	ENSGALG00000032799	3
ENSMMUG00000015139	10	ENSGALG00000011913	1
ENSMMUG00000015141	9	ENSGALG00000008168	1
ENSMMUG00000015142	1	ENSGALG00000010087	8
ENSMMUG00000015143	9	ENSGALG00000008162	1
ENSMMUG00000015147	14	ENSGALG00000007217	5
ENSMMUG00000015150	1	ENSGALG00000010089	8
ENSMMUG00000015152	9	ENSGALG00000006332	1
ENSMMUG00000015154	1	ENSGALG00000010091	8
ENSMMUG00000015155	1	ENSGALG00000010094	8
ENSMMUG00000015158	1	ENSGALG00000010098	8
ENSMMUG00000015160	16	ENSGALG00000035690	27
ENSMMUG00000015161	4	ENSGALG00000012370	3
ENSMMUG00000015163	4	ENSGALG00000013635	3
ENSMMUG00000015165	7	ENSGALG00000010309	5
ENSMMUG00000015166	7	ENSGALG00000010314	5
ENSMMUG00000015167	12	ENSGALG00000007767	9
ENSMMUG00000015169	7	ENSGALG00000010813	5
ENSMMUG00000015173	1	ENSGALG00000000978	21
ENSMMUG00000015174	1	ENSGALG00000036295	21
ENSMMUG00000015176	1	ENSGALG00000000975	21
ENSMMUG00000015177	6	ENSGALG00000038241	Z
ENSMMUG00000015178	18	ENSGALG00000015132	2
ENSMMUG00000015179	11	ENSGALG00000010320	1
ENSMMUG00000015185	16	ENSGALG00000003476	18
ENSMMUG00000015188	11	ENSGALG00000017289	1
ENSMMUG00000015189	11	ENSGALG00000017290	1
ENSMMUG00000015190	X	ENSGALG00000008408	4
ENSMMUG00000015192	4	ENSGALG00000010349	3
ENSMMUG00000015193	4	ENSGALG00000010341	3
ENSMMUG00000015198	12	ENSGALG00000034070	7
ENSMMUG00000015203	12	ENSGALG00000009583	7
ENSMMUG00000015204	10	ENSGALG00000006710	15
ENSMMUG00000015215	9	ENSGALG00000030925	6
ENSMMUG00000015216	9	ENSGALG00000009718	6
ENSMMUG00000015217	9	ENSGALG00000034013	6
ENSMMUG00000015219	6	ENSGALG00000027232	13
ENSMMUG00000015221	11	ENSGALG00000031511	15
ENSMMUG00000015223	6	ENSGALG00000013377	Z
ENSMMUG00000015224	7	ENSGALG00000006516	10
ENSMMUG00000015225	6	ENSGALG00000003547	Z
ENSMMUG00000015226	6	ENSGALG00000003558	Z
ENSMMUG00000015233	1	ENSGALG00000038948	26
ENSMMUG00000015236	8	ENSGALG00000042082	2
ENSMMUG00000015238	X	ENSGALG00000005425	4
ENSMMUG00000015240	3	ENSGALG00000039403	1
ENSMMUG00000015241	5	ENSGALG00000010170	4
ENSMMUG00000015242	5	ENSGALG00000009836	4
ENSMMUG00000015245	5	ENSGALG00000010185	4
ENSMMUG00000015246	5	ENSGALG00000009855	4
ENSMMUG00000015249	14	ENSGALG00000007868	24
ENSMMUG00000015253	11	ENSGALG00000037656	1
ENSMMUG00000015255	14	ENSGALG00000007848	24
ENSMMUG00000015256	11	ENSGALG00000014329	1
ENSMMUG00000015260	5	ENSGALG00000012004	4
ENSMMUG00000015262	4	ENSGALG00000026971	3
ENSMMUG00000015267	7	ENSGALG00000031270	10
ENSMMUG00000015268	12	ENSGALG00000027768	7
ENSMMUG00000015273	19	ENSGALG00000025751	28
ENSMMUG00000015275	3	ENSGALG00000002463	19
ENSMMUG00000015276	3	ENSGALG00000002485	19
ENSMMUG00000015279	15	ENSGALG00000010164	Z
ENSMMUG00000015281	14	ENSGALG00000040632	5
ENSMMUG00000015282	3	ENSGALG00000012863	1
ENSMMUG00000015284	3	ENSGALG00000032595	1
ENSMMUG00000015285	6	ENSGALG00000002345	Z
ENSMMUG00000015286	9	ENSGALG00000008764	2
ENSMMUG00000015288	6	ENSGALG00000002341	Z
ENSMMUG00000015291	X	ENSGALG00000032419	4
ENSMMUG00000015292	12	ENSGALG00000020703	7
ENSMMUG00000015294	5	ENSGALG00000014509	4
ENSMMUG00000015298	5	ENSGALG00000014508	4
ENSMMUG00000015301	19	ENSGALG00000032469	28
ENSMMUG00000015302	9	ENSGALG00000004222	6
ENSMMUG00000015303	19	ENSGALG00000002453	28
ENSMMUG00000015308	X	ENSGALG00000008006	4
ENSMMUG00000015310	9	ENSGALG00000004248	6
ENSMMUG00000015312	X	ENSGALG00000007993	4
ENSMMUG00000015314	9	ENSGALG00000004257	6
ENSMMUG00000015317	4	ENSGALG00000014841	3
ENSMMUG00000015320	4	ENSGALG00000037249	3
ENSMMUG00000015322	2	ENSGALG00000005601	12
ENSMMUG00000015323	9	ENSGALG00000008304	6
ENSMMUG00000015324	9	ENSGALG00000008318	6
ENSMMUG00000015325	9	ENSGALG00000029617	6
ENSMMUG00000015330	2	ENSGALG00000020813	9
ENSMMUG00000015331	4	ENSGALG00000037464	3
ENSMMUG00000015332	3	ENSGALG00000016144	1
ENSMMUG00000015335	4	ENSGALG00000011192	3
ENSMMUG00000015338	9	ENSGALG00000025780	6
ENSMMUG00000015339	9	ENSGALG00000008417	6
ENSMMUG00000015340	4	ENSGALG00000011189	3
ENSMMUG00000015341	4	ENSGALG00000011186	3
ENSMMUG00000015343	11	ENSGALG00000011625	3
ENSMMUG00000015344	12	ENSGALG00000008910	7
ENSMMUG00000015347	8	ENSGALG00000042469	2
ENSMMUG00000015348	8	ENSGALG00000036490	2
ENSMMUG00000015352	4	ENSGALG00000014828	3
ENSMMUG00000015354	4	ENSGALG00000026820	3
ENSMMUG00000015355	4	ENSGALG00000042607	3
ENSMMUG00000015362	4	ENSGALG00000012702	2
ENSMMUG00000015363	4	ENSGALG00000012703	2
ENSMMUG00000015370	9	ENSGALG00000007956	2
ENSMMUG00000015371	1	ENSGALG00000010313	8
ENSMMUG00000015374	11	ENSGALG00000014011	1
ENSMMUG00000015381	11	ENSGALG00000030943	1
ENSMMUG00000015385	4	ENSGALG00000039170	26
ENSMMUG00000015386	X	ENSGALG00000007242	4
ENSMMUG00000015390	10	ENSGALG00000007477	20
ENSMMUG00000015391	10	ENSGALG00000007462	20
ENSMMUG00000015392	11	ENSGALG00000042016	AADN04001839.1
ENSMMUG00000015395	19	ENSGALG00000004648	11
ENSMMUG00000015396	X	ENSGALG00000044536	AADN04001032.1
ENSMMUG00000015400	9	ENSGALG00000002555	6
ENSMMUG00000015402	1	ENSGALG00000008733	8
ENSMMUG00000015403	1	ENSGALG00000008722	8
ENSMMUG00000015404	3	ENSGALG00000008060	1
ENSMMUG00000015405	9	ENSGALG00000002543	6
ENSMMUG00000015406	9	ENSGALG00000002525	6
ENSMMUG00000015407	5	ENSGALG00000013414	4
ENSMMUG00000015409	3	ENSGALG00000008050	1
ENSMMUG00000015410	5	ENSGALG00000036621	4
ENSMMUG00000015411	3	ENSGALG00000042764	1
ENSMMUG00000015414	9	ENSGALG00000031404	6
ENSMMUG00000015417	8	ENSGALG00000025941	2
ENSMMUG00000015418	2	ENSGALG00000028227	12
ENSMMUG00000015419	12	ENSGALG00000020986	9
ENSMMUG00000015421	3	ENSGALG00000033149	1
ENSMMUG00000015433	6	ENSGALG00000015020	Z
ENSMMUG00000015434	7	ENSGALG00000011209	5
ENSMMUG00000015437	7	ENSGALG00000011213	5
ENSMMUG00000015442	7	ENSGALG00000009847	5
ENSMMUG00000015446	10	ENSGALG00000014194	1
ENSMMUG00000015447	7	ENSGALG00000007437	10
ENSMMUG00000015448	10	ENSGALG00000014201	1
ENSMMUG00000015449	7	ENSGALG00000043591	5
ENSMMUG00000015450	7	ENSGALG00000007481	10
ENSMMUG00000015453	9	ENSGALG00000007260	2
ENSMMUG00000015455	7	ENSGALG00000035701	10
ENSMMUG00000015458	7	ENSGALG00000007909	10
ENSMMUG00000015459	11	ENSGALG00000044649	15
ENSMMUG00000015461	15	ENSGALG00000002489	17
ENSMMUG00000015466	11	ENSGALG00000002137	15
ENSMMUG00000015468	11	ENSGALG00000002180	15
ENSMMUG00000015472	5	ENSGALG00000010614	4
ENSMMUG00000015473	5	ENSGALG00000010611	4
ENSMMUG00000015474	4	ENSGALG00000012704	2
ENSMMUG00000015476	19	ENSGALG00000041371	28
ENSMMUG00000015477	3	ENSGALG00000003479	14
ENSMMUG00000015479	3	ENSGALG00000003507	14
ENSMMUG00000015482	7	ENSGALG00000008595	5
ENSMMUG00000015484	11	ENSGALG00000014759	1
ENSMMUG00000015485	1	ENSGALG00000009453	3
ENSMMUG00000015487	8	ENSGALG00000013602	4
ENSMMUG00000015489	6	ENSGALG00000031495	2
ENSMMUG00000015490	8	ENSGALG00000006773	4
ENSMMUG00000015491	8	ENSGALG00000041072	2
ENSMMUG00000015493	8	ENSGALG00000042242	2
ENSMMUG00000015494	8	ENSGALG00000041969	2
ENSMMUG00000015497	8	ENSGALG00000026364	4
ENSMMUG00000015503	9	ENSGALG00000007531	6
ENSMMUG00000015507	5	ENSGALG00000040805	4
ENSMMUG00000015508	13	ENSGALG00000008544	3
ENSMMUG00000015509	5	ENSGALG00000015722	4
ENSMMUG00000015512	16	ENSGALG00000042538	18
ENSMMUG00000015513	19	ENSGALG00000026716	28
ENSMMUG00000015514	16	ENSGALG00000006901	18
ENSMMUG00000015515	13	ENSGALG00000016766	1
ENSMMUG00000015518	1	ENSGALG00000003443	8
ENSMMUG00000015522	14	ENSGALG00000006494	24
ENSMMUG00000015528	10	ENSGALG00000007543	20
ENSMMUG00000015529	3	ENSGALG00000040999	14
ENSMMUG00000015536	3	ENSGALG00000009488	1
ENSMMUG00000015540	11	ENSGALG00000039595	1
ENSMMUG00000015545	3	ENSGALG00000005905	14
ENSMMUG00000015546	3	ENSGALG00000034380	14
ENSMMUG00000015547	3	ENSGALG00000009440	1
ENSMMUG00000015548	3	ENSGALG00000009439	1
ENSMMUG00000015550	11	ENSGALG00000012619	1
ENSMMUG00000015551	10	ENSGALG00000006040	20
ENSMMUG00000015554	5	ENSGALG00000010855	4
ENSMMUG00000015555	1	ENSGALG00000010083	8
ENSMMUG00000015556	10	ENSGALG00000006013	20
ENSMMUG00000015558	10	ENSGALG00000006001	20
ENSMMUG00000015565	1	ENSGALG00000032098	8
ENSMMUG00000015566	3	ENSGALG00000016047	1
ENSMMUG00000015569	4	ENSGALG00000010419	3
ENSMMUG00000015570	20	ENSGALG00000043363	14
ENSMMUG00000015572	20	ENSGALG00000013170	14
ENSMMUG00000015577	4	ENSGALG00000012795	2
ENSMMUG00000015580	1	ENSGALG00000003246	23
ENSMMUG00000015589	5	ENSGALG00000012076	4
ENSMMUG00000015590	2	ENSGALG00000010395	9
ENSMMUG00000015597	14	ENSGALG00000008211	5
ENSMMUG00000015598	14	ENSGALG00000038059	5
ENSMMUG00000015600	9	ENSGALG00000004410	6
ENSMMUG00000015602	14	ENSGALG00000008181	5
ENSMMUG00000015604	14	ENSGALG00000008148	5
ENSMMUG00000015605	13	ENSGALG00000032146	22
ENSMMUG00000015606	14	ENSGALG00000008127	5
ENSMMUG00000015607	14	ENSGALG00000008122	5
ENSMMUG00000015608	19	ENSGALG00000004704	11
ENSMMUG00000015610	13	ENSGALG00000035156	AADN04000623.1
ENSMMUG00000015614	16	ENSGALG00000004519	19
ENSMMUG00000015618	16	ENSGALG00000039114	AADN04009429.1
ENSMMUG00000015619	X	ENSGALG00000007788	4
ENSMMUG00000015625	12	ENSGALG00000008321	9
ENSMMUG00000015628	12	ENSGALG00000034562	9
ENSMMUG00000015631	1	ENSGALG00000009788	3
ENSMMUG00000015632	1	ENSGALG00000009784	3
ENSMMUG00000015634	1	ENSGALG00000009690	3
ENSMMUG00000015638	6	ENSGALG00000034812	13
ENSMMUG00000015640	6	ENSGALG00000030147	13
ENSMMUG00000015647	8	ENSGALG00000042548	2
ENSMMUG00000015648	16	ENSGALG00000035816	18
ENSMMUG00000015649	12	ENSGALG00000005217	9
ENSMMUG00000015650	1	ENSGALG00000003287	23
ENSMMUG00000015653	X	ENSGALG00000039615	4
ENSMMUG00000015659	1	ENSGALG00000032763	23
ENSMMUG00000015661	1	ENSGALG00000031440	23
ENSMMUG00000015663	19	ENSGALG00000000996	28
ENSMMUG00000015664	1	ENSGALG00000010705	3
ENSMMUG00000015665	20	ENSGALG00000002981	14
ENSMMUG00000015671	1	ENSGALG00000001569	26
ENSMMUG00000015672	2	ENSGALG00000029576	12
ENSMMUG00000015684	3	ENSGALG00000005938	14
ENSMMUG00000015685	3	ENSGALG00000009004	2
ENSMMUG00000015688	4	ENSGALG00000031482	17
ENSMMUG00000015689	20	ENSGALG00000037939	11
ENSMMUG00000015690	20	ENSGALG00000040627	11
ENSMMUG00000015692	20	ENSGALG00000030160	11
ENSMMUG00000015695	20	ENSGALG00000034373	11
ENSMMUG00000015696	20	ENSGALG00000043034	11
ENSMMUG00000015702	18	ENSGALG00000013703	2
ENSMMUG00000015708	9	ENSGALG00000005299	6
ENSMMUG00000015709	11	ENSGALG00000043009	KQ759553.1
ENSMMUG00000015710	10	ENSGALG00000004542	20
ENSMMUG00000015711	9	ENSGALG00000002597	14
ENSMMUG00000015714	9	ENSGALG00000005243	6
ENSMMUG00000015716	5	ENSGALG00000011524	4
ENSMMUG00000015717	4	ENSGALG00000015895	3
ENSMMUG00000015723	1	ENSGALG00000004526	8
ENSMMUG00000015728	3	ENSGALG00000015804	1
ENSMMUG00000015733	5	ENSGALG00000013427	4
ENSMMUG00000015735	3	ENSGALG00000034987	19
ENSMMUG00000015737	X	ENSGALG00000016559	1
ENSMMUG00000015738	X	ENSGALG00000016558	1
ENSMMUG00000015747	4	ENSGALG00000028573	3
ENSMMUG00000015748	5	ENSGALG00000010668	4
ENSMMUG00000015749	7	ENSGALG00000033780	10
ENSMMUG00000015750	9	ENSGALG00000036095	6
ENSMMUG00000015756	5	ENSGALG00000010564	4
ENSMMUG00000015758	20	ENSGALG00000034737	14
ENSMMUG00000015759	5	ENSGALG00000010553	4
ENSMMUG00000015761	18	ENSGALG00000038316	2
ENSMMUG00000015767	6	ENSGALG00000005368	Z
ENSMMUG00000015771	9	ENSGALG00000007706	6
ENSMMUG00000015772	3	ENSGALG00000037004	AADN04000792.1
ENSMMUG00000015773	11	ENSGALG00000002403	15
ENSMMUG00000015774	9	ENSGALG00000032329	6
ENSMMUG00000015775	9	ENSGALG00000007697	6
ENSMMUG00000015776	9	ENSGALG00000007666	6
ENSMMUG00000015777	5	ENSGALG00000023199	4
ENSMMUG00000015778	13	ENSGALG00000015809	4
ENSMMUG00000015779	2	ENSGALG00000042553	9
ENSMMUG00000015780	4	ENSGALG00000015860	3
ENSMMUG00000015784	19	ENSGALG00000028851	28
ENSMMUG00000015785	14	ENSGALG00000005662	5
ENSMMUG00000015786	14	ENSGALG00000029586	5
ENSMMUG00000015789	13	ENSGALG00000016795	1
ENSMMUG00000015790	14	ENSGALG00000005643	5
ENSMMUG00000015792	14	ENSGALG00000005632	5
ENSMMUG00000015798	15	ENSGALG00000021843	Z
ENSMMUG00000015799	5	ENSGALG00000009567	4
ENSMMUG00000015800	1	ENSGALG00000002222	21
ENSMMUG00000015802	1	ENSGALG00000002199	21
ENSMMUG00000015804	1	ENSGALG00000002121	21
ENSMMUG00000015809	1	ENSGALG00000046393	25
ENSMMUG00000015811	11	ENSGALG00000007183	1
ENSMMUG00000015812	1	ENSGALG00000035856	25
ENSMMUG00000015814	X	ENSGALG00000009177	4
ENSMMUG00000015815	13	ENSGALG00000038160	4
ENSMMUG00000015817	11	ENSGALG00000012956	1
ENSMMUG00000015820	13	ENSGALG00000015773	4
ENSMMUG00000015825	2	ENSGALG00000006112	2
ENSMMUG00000015826	9	ENSGALG00000005519	6
ENSMMUG00000015827	2	ENSGALG00000006072	2
ENSMMUG00000015828	5	ENSGALG00000014365	4
ENSMMUG00000015829	20	ENSGALG00000006301	14
ENSMMUG00000015832	20	ENSGALG00000006307	14
ENSMMUG00000015840	6	ENSGALG00000040205	13
ENSMMUG00000015842	12	ENSGALG00000002929	9
ENSMMUG00000015843	3	ENSGALG00000033954	19
ENSMMUG00000015850	9	ENSGALG00000006891	1
ENSMMUG00000015851	5	ENSGALG00000009241	4
ENSMMUG00000015852	10	ENSGALG00000039587	3
ENSMMUG00000015856	17	ENSGALG00000016868	1
ENSMMUG00000015857	11	ENSGALG00000007161	1
ENSMMUG00000015859	11	ENSGALG00000045093	1
ENSMMUG00000015860	11	ENSGALG00000011168	1
ENSMMUG00000015862	11	ENSGALG00000011177	1
ENSMMUG00000015865	7	ENSGALG00000009519	5
ENSMMUG00000015870	3	ENSGALG00000012849	1
ENSMMUG00000015871	7	ENSGALG00000028762	5
ENSMMUG00000015872	4	ENSGALG00000013695	3
ENSMMUG00000015873	7	ENSGALG00000009491	5
ENSMMUG00000015877	2	ENSGALG00000042771	1
ENSMMUG00000015878	X	ENSGALG00000031593	4
ENSMMUG00000015883	16	ENSGALG00000010741	3
ENSMMUG00000015888	13	ENSGALG00000043080	3
ENSMMUG00000015890	7	ENSGALG00000026607	10
ENSMMUG00000015891	20	ENSGALG00000032634	11
ENSMMUG00000015892	20	ENSGALG00000031718	11
ENSMMUG00000015901	19	ENSGALG00000031038	AADN04013100.1
ENSMMUG00000015902	11	ENSGALG00000011456	1
ENSMMUG00000015903	12	ENSGALG00000008666	7
ENSMMUG00000015904	4	ENSGALG00000002588	26
ENSMMUG00000015906	4	ENSGALG00000002561	26
ENSMMUG00000015908	20	ENSGALG00000006043	14
ENSMMUG00000015909	4	ENSGALG00000043513	26
ENSMMUG00000015910	2	ENSGALG00000029190	9
ENSMMUG00000015911	10	ENSGALG00000005781	20
ENSMMUG00000015912	10	ENSGALG00000005797	20
ENSMMUG00000015916	10	ENSGALG00000005801	20
ENSMMUG00000015917	15	ENSGALG00000005063	17
ENSMMUG00000015918	10	ENSGALG00000005822	20
ENSMMUG00000015921	5	ENSGALG00000009714	4
ENSMMUG00000015922	1	ENSGALG00000005850	8
ENSMMUG00000015923	10	ENSGALG00000008996	3
ENSMMUG00000015925	14	ENSGALG00000042741	AADN04000612.1
ENSMMUG00000015926	11	ENSGALG00000003687	15
ENSMMUG00000015928	14	ENSGALG00000042297	AADN04000612.1
ENSMMUG00000015930	11	ENSGALG00000003682	15
ENSMMUG00000015934	13	ENSGALG00000037735	16
ENSMMUG00000015939	10	ENSGALG00000009042	3
ENSMMUG00000015942	20	ENSGALG00000006423	14
ENSMMUG00000015947	1	ENSGALG00000010752	8
ENSMMUG00000015948	1	ENSGALG00000003445	8
ENSMMUG00000015949	1	ENSGALG00000010758	8
ENSMMUG00000015950	5	ENSGALG00000010234	8
ENSMMUG00000015952	18	ENSGALG00000041882	Z
ENSMMUG00000015954	9	ENSGALG00000006833	1
ENSMMUG00000015959	2	ENSGALG00000043240	2
ENSMMUG00000015962	11	ENSGALG00000033074	1
ENSMMUG00000015965	3	ENSGALG00000009454	1
ENSMMUG00000015968	13	ENSGALG00000028982	3
ENSMMUG00000015969	13	ENSGALG00000016400	3
ENSMMUG00000015971	7	ENSGALG00000031408	10
ENSMMUG00000015976	1	ENSGALG00000014818	1
ENSMMUG00000015977	20	ENSGALG00000002651	11
ENSMMUG00000015978	8	ENSGALG00000045995	2
ENSMMUG00000015979	2	ENSGALG00000005078	12
ENSMMUG00000015982	14	ENSGALG00000041074	3
ENSMMUG00000015985	15	ENSGALG00000020557	Z
ENSMMUG00000015993	10	ENSGALG00000029485	20
ENSMMUG00000015999	16	ENSGALG00000002832	27
ENSMMUG00000016001	16	ENSGALG00000002818	27
ENSMMUG00000016005	2	ENSGALG00000035068	2
ENSMMUG00000016006	14	ENSGALG00000028018	1
ENSMMUG00000016008	6	ENSGALG00000002229	13
ENSMMUG00000016014	1	ENSGALG00000009233	3
ENSMMUG00000016017	3	ENSGALG00000019651	2
ENSMMUG00000016018	8	ENSGALG00000016583	3
ENSMMUG00000016019	8	ENSGALG00000016582	3
ENSMMUG00000016022	8	ENSGALG00000015274	2
ENSMMUG00000016023	8	ENSGALG00000042354	2
ENSMMUG00000016029	5	ENSGALG00000031105	4
ENSMMUG00000016030	13	ENSGALG00000016495	3
ENSMMUG00000016033	1	ENSGALG00000033634	8
ENSMMUG00000016040	12	ENSGALG00000026313	7
ENSMMUG00000016046	13	ENSGALG00000033187	3
ENSMMUG00000016049	1	ENSGALG00000020923	10
ENSMMUG00000016051	1	ENSGALG00000036283	AADN04012391.1
ENSMMUG00000016052	10	ENSGALG00000032415	15
ENSMMUG00000016056	1	ENSGALG00000000441	26
ENSMMUG00000016063	9	ENSGALG00000008728	2
ENSMMUG00000016064	9	ENSGALG00000032554	2
ENSMMUG00000016068	2	ENSGALG00000015389	1
ENSMMUG00000016072	2	ENSGALG00000026299	1
ENSMMUG00000016076	2	ENSGALG00000015396	1
ENSMMUG00000016084	8	ENSGALG00000041181	14
ENSMMUG00000016089	1	ENSGALG00000002707	25
ENSMMUG00000016093	1	ENSGALG00000021475	25
ENSMMUG00000016094	13	ENSGALG00000010547	3
ENSMMUG00000016099	1	ENSGALG00000009881	3
ENSMMUG00000016102	1	ENSGALG00000009877	3
ENSMMUG00000016104	7	ENSGALG00000002678	10
ENSMMUG00000016106	7	ENSGALG00000033110	10
ENSMMUG00000016111	1	ENSGALG00000004800	21
ENSMMUG00000016114	16	ENSGALG00000003457	27
ENSMMUG00000016115	12	ENSGALG00000012171	7
ENSMMUG00000016120	8	ENSGALG00000003483	22
ENSMMUG00000016125	14	ENSGALG00000007109	24
ENSMMUG00000016128	14	ENSGALG00000007144	24
ENSMMUG00000016130	1	ENSGALG00000005552	8
ENSMMUG00000016131	10	ENSGALG00000040880	20
ENSMMUG00000016135	4	ENSGALG00000012747	2
ENSMMUG00000016139	17	ENSGALG00000035726	1
ENSMMUG00000016149	6	ENSGALG00000014877	Z
ENSMMUG00000016150	14	ENSGALG00000043910	5
ENSMMUG00000016157	16	ENSGALG00000001375	18
ENSMMUG00000016164	7	ENSGALG00000008272	10
ENSMMUG00000016167	6	ENSGALG00000014824	Z
ENSMMUG00000016171	11	ENSGALG00000013265	1
ENSMMUG00000016181	3	ENSGALG00000011682	1
ENSMMUG00000016186	8	ENSGALG00000036293	2
ENSMMUG00000016187	8	ENSGALG00000036527	2
ENSMMUG00000016188	1	ENSGALG00000002182	8
ENSMMUG00000016189	15	ENSGALG00000011323	1
ENSMMUG00000016190	18	ENSGALG00000015122	2
ENSMMUG00000016191	3	ENSGALG00000013079	2
ENSMMUG00000016192	6	ENSGALG00000033232	13
ENSMMUG00000016193	15	ENSGALG00000010147	Z
ENSMMUG00000016197	2	ENSGALG00000001945	12
ENSMMUG00000016200	2	ENSGALG00000026305	9
ENSMMUG00000016202	11	ENSGALG00000008253	15
ENSMMUG00000016203	11	ENSGALG00000037826	33
ENSMMUG00000016204	1	ENSGALG00000037177	3
ENSMMUG00000016207	12	ENSGALG00000006016	9
ENSMMUG00000016209	12	ENSGALG00000031766	9
ENSMMUG00000016212	1	ENSGALG00000032925	23
ENSMMUG00000016213	14	ENSGALG00000007037	5
ENSMMUG00000016214	1	ENSGALG00000000667	23
ENSMMUG00000016215	1	ENSGALG00000027365	23
ENSMMUG00000016218	3	ENSGALG00000014749	1
ENSMMUG00000016220	1	ENSGALG00000003851	23
ENSMMUG00000016221	8	ENSGALG00000041553	2
ENSMMUG00000016223	1	ENSGALG00000024047	23
ENSMMUG00000016224	6	ENSGALG00000003288	Z
ENSMMUG00000016230	4	ENSGALG00000010282	3
ENSMMUG00000016231	19	ENSGALG00000037091	28
ENSMMUG00000016233	X	ENSGALG00000007608	4
ENSMMUG00000016238	X	ENSGALG00000016546	1
ENSMMUG00000016241	11	ENSGALG00000030086	33
ENSMMUG00000016243	11	ENSGALG00000038026	1
ENSMMUG00000016244	2	ENSGALG00000015495	1
ENSMMUG00000016245	20	ENSGALG00000029017	11
ENSMMUG00000016246	2	ENSGALG00000015496	1
ENSMMUG00000016256	12	ENSGALG00000009602	7
ENSMMUG00000016258	10	ENSGALG00000041470	1
ENSMMUG00000016259	10	ENSGALG00000028840	1
ENSMMUG00000016262	10	ENSGALG00000014551	1
ENSMMUG00000016274	10	ENSGALG00000035824	1
ENSMMUG00000016277	13	ENSGALG00000009915	3
ENSMMUG00000016279	1	ENSGALG00000001714	21
ENSMMUG00000016281	1	ENSGALG00000003439	21
ENSMMUG00000016290	X	ENSGALG00000034834	1
ENSMMUG00000016293	17	ENSGALG00000016990	1
ENSMMUG00000016294	10	ENSGALG00000045232	20
ENSMMUG00000016296	1	ENSGALG00000002649	21
ENSMMUG00000016300	16	ENSGALG00000001740	18
ENSMMUG00000016301	1	ENSGALG00000028205	25
ENSMMUG00000016307	1	ENSGALG00000002466	21
ENSMMUG00000016308	15	ENSGALG00000002165	Z
ENSMMUG00000016310	20	ENSGALG00000039178	11
ENSMMUG00000016315	15	ENSGALG00000015689	Z
ENSMMUG00000016316	15	ENSGALG00000027658	Z
ENSMMUG00000016317	17	ENSGALG00000016904	1
ENSMMUG00000016323	15	ENSGALG00000002599	Z
ENSMMUG00000016328	15	ENSGALG00000002523	Z
ENSMMUG00000016331	15	ENSGALG00000002412	Z
ENSMMUG00000016334	15	ENSGALG00000027630	Z
ENSMMUG00000016335	1	ENSGALG00000005442	8
ENSMMUG00000016337	15	ENSGALG00000027418	Z
ENSMMUG00000016346	7	ENSGALG00000009992	5
ENSMMUG00000016349	1	ENSGALG00000009884	3
ENSMMUG00000016351	7	ENSGALG00000009352	5
ENSMMUG00000016352	4	ENSGALG00000042481	2
ENSMMUG00000016356	6	ENSGALG00000031826	13
ENSMMUG00000016357	6	ENSGALG00000006120	13
ENSMMUG00000016358	5	ENSGALG00000013771	4
ENSMMUG00000016360	5	ENSGALG00000013764	4
ENSMMUG00000016362	5	ENSGALG00000013728	4
ENSMMUG00000016366	5	ENSGALG00000013726	4
ENSMMUG00000016367	2	ENSGALG00000015474	1
ENSMMUG00000016370	9	ENSGALG00000009314	6
ENSMMUG00000016371	16	ENSGALG00000036028	18
ENSMMUG00000016373	4	ENSGALG00000013900	3
ENSMMUG00000016375	8	ENSGALG00000033783	2
ENSMMUG00000016376	4	ENSGALG00000013892	3
ENSMMUG00000016377	2	ENSGALG00000007378	1
ENSMMUG00000016379	2	ENSGALG00000014426	1
