Opossum	ChrOpossum	Chicken	ChrChicken
ENSMODG00000013186	4	ENSGALG00000039196	24
ENSMODG00000013187	X	ENSGALG00000008431	4
ENSMODG00000013188	4	ENSGALG00000006751	24
ENSMODG00000013191	2	ENSGALG00000003882	27
ENSMODG00000013192	1	ENSGALG00000042045	11
ENSMODG00000013193	1	ENSGALG00000006871	10
ENSMODG00000013194	2	ENSGALG00000003859	27
ENSMODG00000013196	1	ENSGALG00000020340	5
ENSMODG00000013202	1	ENSGALG00000003588	11
ENSMODG00000013206	1	ENSGALG00000002546	17
ENSMODG00000013207	1	ENSGALG00000012374	5
ENSMODG00000013210	1	ENSGALG00000023738	11
ENSMODG00000013211	1	ENSGALG00000012379	5
ENSMODG00000013213	4	ENSGALG00000006755	24
ENSMODG00000013214	1	ENSGALG00000003580	11
ENSMODG00000013215	4	ENSGALG00000006758	24
ENSMODG00000013216	X	ENSGALG00000025935	4
ENSMODG00000013218	2	ENSGALG00000010116	3
ENSMODG00000013220	1	ENSGALG00000002515	17
ENSMODG00000013221	X	ENSGALG00000032530	4
ENSMODG00000013225	1	ENSGALG00000012394	5
ENSMODG00000013227	1	ENSGALG00000003560	11
ENSMODG00000013228	X	ENSGALG00000031551	4
ENSMODG00000013229	4	ENSGALG00000030027	24
ENSMODG00000013232	4	ENSGALG00000029077	24
ENSMODG00000013236	4	ENSGALG00000044002	24
ENSMODG00000013237	2	ENSGALG00000010127	3
ENSMODG00000013238	X	ENSGALG00000024039	4
ENSMODG00000013243	4	ENSGALG00000006779	24
ENSMODG00000013247	Un	ENSGALG00000011914	1
ENSMODG00000013249	4	ENSGALG00000044053	24
ENSMODG00000013250	X	ENSGALG00000003976	4
ENSMODG00000013259	1	ENSGALG00000029996	5
ENSMODG00000013260	Un	ENSGALG00000029831	21
ENSMODG00000013263	4	ENSGALG00000006795	24
ENSMODG00000013265	X	ENSGALG00000004003	4
ENSMODG00000013266	Un	ENSGALG00000014186	1
ENSMODG00000013267	4	ENSGALG00000006806	24
ENSMODG00000013268	6	ENSGALG00000027692	Z
ENSMODG00000013269	X	ENSGALG00000024049	4
ENSMODG00000013272	6	ENSGALG00000023157	Z
ENSMODG00000013273	2	ENSGALG00000005768	9
ENSMODG00000013274	6	ENSGALG00000041625	2
ENSMODG00000013278	6	ENSGALG00000000218	Z
ENSMODG00000013280	4	ENSGALG00000034014	24
ENSMODG00000013281	6	ENSGALG00000000220	Z
ENSMODG00000013284	6	ENSGALG00000039935	2
ENSMODG00000013285	4	ENSGALG00000032420	24
ENSMODG00000013286	6	ENSGALG00000036390	2
ENSMODG00000013288	6	ENSGALG00000006802	12
ENSMODG00000013290	1	ENSGALG00000011330	5
ENSMODG00000013292	4	ENSGALG00000042939	24
ENSMODG00000013295	2	ENSGALG00000006574	9
ENSMODG00000013296	6	ENSGALG00000006936	12
ENSMODG00000013298	2	ENSGALG00000006566	9
ENSMODG00000013300	4	ENSGALG00000029536	24
ENSMODG00000013303	6	ENSGALG00000029378	2
ENSMODG00000013305	6	ENSGALG00000006824	12
ENSMODG00000013307	2	ENSGALG00000006564	9
ENSMODG00000013309	1	ENSGALG00000030250	10
ENSMODG00000013312	1	ENSGALG00000011365	5
ENSMODG00000013313	2	ENSGALG00000005550	9
ENSMODG00000013314	4	ENSGALG00000029343	32
ENSMODG00000013315	6	ENSGALG00000041114	2
ENSMODG00000013316	6	ENSGALG00000000234	Z
ENSMODG00000013317	2	ENSGALG00000010131	3
ENSMODG00000013318	4	ENSGALG00000007659	24
ENSMODG00000013319	1	ENSGALG00000011366	5
ENSMODG00000013320	1	ENSGALG00000011368	5
ENSMODG00000013321	6	ENSGALG00000029980	12
ENSMODG00000013322	2	ENSGALG00000010134	3
ENSMODG00000013323	1	ENSGALG00000011372	5
ENSMODG00000013326	6	ENSGALG00000033102	2
ENSMODG00000013328	4	ENSGALG00000007716	24
ENSMODG00000013329	6	ENSGALG00000014690	Z
ENSMODG00000013330	4	ENSGALG00000007707	24
ENSMODG00000013332	1	ENSGALG00000011373	5
ENSMODG00000013333	6	ENSGALG00000006867	12
ENSMODG00000013334	4	ENSGALG00000007699	24
ENSMODG00000013335	1	ENSGALG00000011376	5
ENSMODG00000013337	2	ENSGALG00000010145	3
ENSMODG00000013342	4	ENSGALG00000007689	24
ENSMODG00000013346	2	ENSGALG00000010151	3
ENSMODG00000013348	6	ENSGALG00000010697	Z
ENSMODG00000013350	1	ENSGALG00000011384	5
ENSMODG00000013353	6	ENSGALG00000039169	2
ENSMODG00000013357	1	ENSGALG00000011389	5
ENSMODG00000013358	6	ENSGALG00000006153	2
ENSMODG00000013359	1	ENSGALG00000003163	11
ENSMODG00000013360	1	ENSGALG00000006840	10
ENSMODG00000013361	1	ENSGALG00000011391	5
ENSMODG00000013362	6	ENSGALG00000036976	12
ENSMODG00000013363	4	ENSGALG00000007685	24
ENSMODG00000013364	1	ENSGALG00000003107	11
ENSMODG00000013365	6	ENSGALG00000010694	Z
ENSMODG00000013366	6	ENSGALG00000006937	12
ENSMODG00000013367	4	ENSGALG00000007675	24
ENSMODG00000013369	6	ENSGALG00000038817	Z
ENSMODG00000013370	4	ENSGALG00000036496	KQ759482.1
ENSMODG00000013371	1	ENSGALG00000003084	11
ENSMODG00000013374	6	ENSGALG00000006956	12
ENSMODG00000013375	4	ENSGALG00000033064	24
ENSMODG00000013378	1	ENSGALG00000003071	11
ENSMODG00000013379	6	ENSGALG00000010688	Z
ENSMODG00000013384	6	ENSGALG00000006112	2
ENSMODG00000013386	6	ENSGALG00000026598	Z
ENSMODG00000013389	1	ENSGALG00000042415	11
ENSMODG00000013401	6	ENSGALG00000005701	12
ENSMODG00000013403	4	ENSGALG00000039850	AADN04017088.1
ENSMODG00000013404	6	ENSGALG00000006072	2
ENSMODG00000013406	2	ENSGALG00000005554	9
ENSMODG00000013407	1	ENSGALG00000011432	5
ENSMODG00000013408	1	ENSGALG00000003010	11
ENSMODG00000013410	6	ENSGALG00000005713	12
ENSMODG00000013411	6	ENSGALG00000005368	Z
ENSMODG00000013414	6	ENSGALG00000027702	2
ENSMODG00000013415	6	ENSGALG00000005351	Z
ENSMODG00000013416	4	ENSGALG00000040030	24
ENSMODG00000013417	1	ENSGALG00000011443	5
ENSMODG00000013418	4	ENSGALG00000043929	32
ENSMODG00000013419	2	ENSGALG00000021653	19
ENSMODG00000013424	1	ENSGALG00000011464	5
ENSMODG00000013425	6	ENSGALG00000005346	Z
ENSMODG00000013426	2	ENSGALG00000002263	9
ENSMODG00000013427	6	ENSGALG00000018874	Z
ENSMODG00000013429	4	ENSGALG00000029691	32
ENSMODG00000013430	1	ENSGALG00000011446	5
ENSMODG00000013431	4	ENSGALG00000038667	32
ENSMODG00000013432	4	ENSGALG00000007430	24
ENSMODG00000013433	2	ENSGALG00000002277	9
ENSMODG00000013434	4	ENSGALG00000017299	1
ENSMODG00000013436	6	ENSGALG00000005337	Z
ENSMODG00000013437	6	ENSGALG00000006052	2
ENSMODG00000013439	4	ENSGALG00000007438	24
ENSMODG00000013443	6	ENSGALG00000006033	2
ENSMODG00000013445	1	ENSGALG00000002957	11
ENSMODG00000013446	2	ENSGALG00000036356	9
ENSMODG00000013447	2	ENSGALG00000010149	3
ENSMODG00000013450	4	ENSGALG00000006812	24
ENSMODG00000013453	4	ENSGALG00000031328	32
ENSMODG00000013454	2	ENSGALG00000038902	26
ENSMODG00000013457	2	ENSGALG00000002315	9
ENSMODG00000013459	2	ENSGALG00000000399	9
ENSMODG00000013460	6	ENSGALG00000005330	Z
ENSMODG00000013462	6	ENSGALG00000036763	12
ENSMODG00000013465	1	ENSGALG00000001220	11
ENSMODG00000013466	2	ENSGALG00000000560	26
ENSMODG00000013467	2	ENSGALG00000033920	17
ENSMODG00000013473	2	ENSGALG00000040316	9
ENSMODG00000013474	4	ENSGALG00000006818	24
ENSMODG00000013475	6	ENSGALG00000005789	12
ENSMODG00000013476	1	ENSGALG00000001234	11
ENSMODG00000013478	4	ENSGALG00000042804	32
ENSMODG00000013479	2	ENSGALG00000000186	26
ENSMODG00000013482	1	ENSGALG00000001256	11
ENSMODG00000013483	1	ENSGALG00000010464	6
ENSMODG00000013484	6	ENSGALG00000028063	Z
ENSMODG00000013485	1	ENSGALG00000001316	11
ENSMODG00000013488	6	ENSGALG00000002183	Z
ENSMODG00000013489	1	ENSGALG00000011505	5
ENSMODG00000013490	4	ENSGALG00000029330	32
ENSMODG00000013492	1	ENSGALG00000021473	11
ENSMODG00000013493	1	ENSGALG00000010470	6
ENSMODG00000013496	2	ENSGALG00000000551	26
ENSMODG00000013501	2	ENSGALG00000028636	9
ENSMODG00000013502	2	ENSGALG00000034630	26
ENSMODG00000013505	1	ENSGALG00000001350	11
ENSMODG00000013507	1	ENSGALG00000011522	5
ENSMODG00000013508	2	ENSGALG00000001793	19
ENSMODG00000013509	1	ENSGALG00000001391	11
ENSMODG00000013513	1	ENSGALG00000044519	5
ENSMODG00000013514	4	ENSGALG00000007416	24
ENSMODG00000013517	2	ENSGALG00000030676	26
ENSMODG00000013518	1	ENSGALG00000010486	6
ENSMODG00000013522	1	ENSGALG00000029268	11
ENSMODG00000013523	1	ENSGALG00000011528	5
ENSMODG00000013525	2	ENSGALG00000000544	26
ENSMODG00000013527	2	ENSGALG00000028318	26
ENSMODG00000013528	1	ENSGALG00000011533	5
ENSMODG00000013530	1	ENSGALG00000001184	11
ENSMODG00000013531	1	ENSGALG00000020615	6
ENSMODG00000013532	4	ENSGALG00000007412	24
ENSMODG00000013534	4	ENSGALG00000021271	24
ENSMODG00000013535	1	ENSGALG00000011534	5
ENSMODG00000013536	6	ENSGALG00000002187	Z
ENSMODG00000013539	2	ENSGALG00000000533	26
ENSMODG00000013540	1	ENSGALG00000001168	11
ENSMODG00000013541	6	ENSGALG00000027761	Z
ENSMODG00000013543	4	ENSGALG00000021272	24
ENSMODG00000013544	4	ENSGALG00000007409	24
ENSMODG00000013545	4	ENSGALG00000026490	1
ENSMODG00000013546	1	ENSGALG00000011548	5
ENSMODG00000013547	1	ENSGALG00000001160	11
ENSMODG00000013551	1	ENSGALG00000029999	11
ENSMODG00000013552	6	ENSGALG00000005811	12
ENSMODG00000013553	2	ENSGALG00000000511	26
ENSMODG00000013554	2	ENSGALG00000019715	27
ENSMODG00000013559	6	ENSGALG00000002227	Z
ENSMODG00000013560	4	ENSGALG00000007406	24
ENSMODG00000013561	2	ENSGALG00000000504	26
ENSMODG00000013562	2	ENSGALG00000019716	27
ENSMODG00000013563	6	ENSGALG00000005259	2
ENSMODG00000013564	4	ENSGALG00000032260	24
ENSMODG00000013565	6	ENSGALG00000002250	Z
ENSMODG00000013566	6	ENSGALG00000004943	11
ENSMODG00000013569	4	ENSGALG00000021273	24
ENSMODG00000013570	4	ENSGALG00000039160	32
ENSMODG00000013572	3	ENSGALG00000023379	Z
ENSMODG00000013574	6	ENSGALG00000030268	2
ENSMODG00000013575	3	ENSGALG00000014983	Z
ENSMODG00000013578	3	ENSGALG00000014984	Z
ENSMODG00000013581	2	ENSGALG00000029635	19
ENSMODG00000013582	6	ENSGALG00000005287	2
ENSMODG00000013585	6	ENSGALG00000005292	2
ENSMODG00000013586	2	ENSGALG00000000477	26
ENSMODG00000013592	6	ENSGALG00000005297	2
ENSMODG00000013593	2	ENSGALG00000001828	19
ENSMODG00000013599	6	ENSGALG00000005303	2
ENSMODG00000013600	2	ENSGALG00000001837	19
ENSMODG00000013601	8	ENSGALG00000012876	1
ENSMODG00000013604	2	ENSGALG00000001844	19
ENSMODG00000013606	8	ENSGALG00000012875	1
ENSMODG00000013609	1	ENSGALG00000011565	5
ENSMODG00000013610	8	ENSGALG00000012874	1
ENSMODG00000013612	2	ENSGALG00000001852	19
ENSMODG00000013614	6	ENSGALG00000002294	Z
ENSMODG00000013615	1	ENSGALG00000011572	5
ENSMODG00000013616	8	ENSGALG00000012870	1
ENSMODG00000013617	2	ENSGALG00000030808	19
ENSMODG00000013618	6	ENSGALG00000002308	Z
ENSMODG00000013627	2	ENSGALG00000001876	19
ENSMODG00000013633	6	ENSGALG00000002318	Z
ENSMODG00000013635	2	ENSGALG00000046288	19
ENSMODG00000013636	1	ENSGALG00000011581	5
ENSMODG00000013637	8	ENSGALG00000012865	1
ENSMODG00000013640	8	ENSGALG00000032595	1
ENSMODG00000013641	6	ENSGALG00000002341	Z
ENSMODG00000013642	1	ENSGALG00000011590	5
ENSMODG00000013643	2	ENSGALG00000001905	19
ENSMODG00000013645	8	ENSGALG00000012863	1
ENSMODG00000013648	6	ENSGALG00000002345	Z
ENSMODG00000013653	8	ENSGALG00000012850	1
ENSMODG00000013654	2	ENSGALG00000001917	19
ENSMODG00000013656	1	ENSGALG00000003575	20
ENSMODG00000013657	6	ENSGALG00000002358	Z
ENSMODG00000013658	2	ENSGALG00000017358	19
ENSMODG00000013660	1	ENSGALG00000011608	5
ENSMODG00000013663	2	ENSGALG00000001926	19
ENSMODG00000013664	6	ENSGALG00000028484	Z
ENSMODG00000013667	1	ENSGALG00000011618	5
ENSMODG00000013668	1	ENSGALG00000006835	20
ENSMODG00000013669	2	ENSGALG00000030966	26
ENSMODG00000013672	1	ENSGALG00000011619	5
ENSMODG00000013675	1	ENSGALG00000006836	20
ENSMODG00000013678	4	ENSGALG00000007310	24
ENSMODG00000013679	1	ENSGALG00000006842	20
ENSMODG00000013680	2	ENSGALG00000001949	19
ENSMODG00000013681	1	ENSGALG00000006848	20
ENSMODG00000013682	6	ENSGALG00000005046	14
ENSMODG00000013686	8	ENSGALG00000012852	1
ENSMODG00000013688	1	ENSGALG00000006854	20
ENSMODG00000013691	6	ENSGALG00000005028	14
ENSMODG00000013692	4	ENSGALG00000007298	24
ENSMODG00000013693	1	ENSGALG00000011620	5
ENSMODG00000013694	4	ENSGALG00000029753	AADN04012296.1
ENSMODG00000013695	6	ENSGALG00000005005	14
ENSMODG00000013696	8	ENSGALG00000012849	1
ENSMODG00000013697	1	ENSGALG00000006876	20
ENSMODG00000013701	1	ENSGALG00000023025	5
ENSMODG00000013704	2	ENSGALG00000042833	26
ENSMODG00000013709	8	ENSGALG00000035108	1
ENSMODG00000013711	1	ENSGALG00000036686	20
ENSMODG00000013713	8	ENSGALG00000046187	1
ENSMODG00000013715	2	ENSGALG00000040498	26
ENSMODG00000013718	6	ENSGALG00000004997	14
ENSMODG00000013719	4	ENSGALG00000031013	AADN04000777.1
ENSMODG00000013720	4	ENSGALG00000036993	24
ENSMODG00000013721	1	ENSGALG00000023547	20
ENSMODG00000013723	8	ENSGALG00000012791	1
ENSMODG00000013727	6	ENSGALG00000014408	14
ENSMODG00000013728	1	ENSGALG00000041370	20
ENSMODG00000013729	4	ENSGALG00000034895	AADN04017297.1
ENSMODG00000013731	6	ENSGALG00000043693	14
ENSMODG00000013732	2	ENSGALG00000040908	19
ENSMODG00000013733	8	ENSGALG00000012792	1
ENSMODG00000013737	8	ENSGALG00000029035	Z
ENSMODG00000013739	4	ENSGALG00000029220	24
ENSMODG00000013740	2	ENSGALG00000037546	26
ENSMODG00000013741	1	ENSGALG00000006992	20
ENSMODG00000013743	2	ENSGALG00000039170	26
ENSMODG00000013744	4	ENSGALG00000011902	24
ENSMODG00000013746	2	ENSGALG00000029674	19
ENSMODG00000013748	8	ENSGALG00000036238	1
ENSMODG00000013750	8	ENSGALG00000011856	1
ENSMODG00000013753	2	ENSGALG00000000891	19
ENSMODG00000013754	2	ENSGALG00000029211	19
ENSMODG00000013756	2	ENSGALG00000041927	19
ENSMODG00000013757	2	ENSGALG00000042148	26
ENSMODG00000013758	2	ENSGALG00000031301	26
ENSMODG00000013759	8	ENSGALG00000011847	1
ENSMODG00000013761	2	ENSGALG00000029408	19
ENSMODG00000013762	2	ENSGALG00000043513	26
ENSMODG00000013763	4	ENSGALG00000036359	KQ759715.1
ENSMODG00000013764	6	ENSGALG00000032534	2
ENSMODG00000013765	2	ENSGALG00000036647	19
ENSMODG00000013771	2	ENSGALG00000002561	26
ENSMODG00000013773	6	ENSGALG00000005328	2
ENSMODG00000013775	2	ENSGALG00000031263	19
ENSMODG00000013776	4	ENSGALG00000036221	AADN04007468.1
ENSMODG00000013778	2	ENSGALG00000002588	26
ENSMODG00000013779	6	ENSGALG00000005331	2
ENSMODG00000013782	8	ENSGALG00000012796	1
ENSMODG00000013783	2	ENSGALG00000034960	19
ENSMODG00000013784	4	ENSGALG00000007144	24
ENSMODG00000013788	1	ENSGALG00000011646	5
ENSMODG00000013789	2	ENSGALG00000002615	26
ENSMODG00000013792	4	ENSGALG00000007114	24
ENSMODG00000013793	6	ENSGALG00000038820	2
ENSMODG00000013800	2	ENSGALG00000037510	19
ENSMODG00000013802	4	ENSGALG00000007109	24
ENSMODG00000013805	8	ENSGALG00000040666	1
ENSMODG00000013806	2	ENSGALG00000002630	26
ENSMODG00000013807	4	ENSGALG00000014368	24
ENSMODG00000013810	6	ENSGALG00000042657	2
ENSMODG00000013814	8	ENSGALG00000012812	1
ENSMODG00000013815	1	ENSGALG00000029940	22
ENSMODG00000013820	6	ENSGALG00000005401	2
ENSMODG00000013823	1	ENSGALG00000040882	13
ENSMODG00000013824	2	ENSGALG00000041722	19
ENSMODG00000013826	8	ENSGALG00000012823	1
ENSMODG00000013827	1	ENSGALG00000036666	13
ENSMODG00000013831	2	ENSGALG00000002675	26
ENSMODG00000013839	2	ENSGALG00000002692	26
ENSMODG00000013842	1	ENSGALG00000030147	13
ENSMODG00000013844	6	ENSGALG00000005412	2
ENSMODG00000013846	2	ENSGALG00000001076	19
ENSMODG00000013847	1	ENSGALG00000034812	13
ENSMODG00000013849	1	ENSGALG00000028302	13
ENSMODG00000013850	6	ENSGALG00000005417	2
ENSMODG00000013851	2	ENSGALG00000001313	19
ENSMODG00000013852	1	ENSGALG00000028407	13
ENSMODG00000013854	1	ENSGALG00000042199	20
ENSMODG00000013855	2	ENSGALG00000002723	26
ENSMODG00000013856	8	ENSGALG00000012834	1
ENSMODG00000013861	4	ENSGALG00000001283	23
ENSMODG00000013865	4	ENSGALG00000014582	24
ENSMODG00000013866	1	ENSGALG00000007009	20
ENSMODG00000013867	6	ENSGALG00000005430	2
ENSMODG00000013871	6	ENSGALG00000005443	2
ENSMODG00000013874	1	ENSGALG00000040802	13
ENSMODG00000013875	1	ENSGALG00000007015	20
ENSMODG00000013876	8	ENSGALG00000012877	1
ENSMODG00000013882	1	ENSGALG00000007211	20
ENSMODG00000013884	1	ENSGALG00000020939	20
ENSMODG00000013885	2	ENSGALG00000030450	19
ENSMODG00000013886	1	ENSGALG00000013740	22
ENSMODG00000013890	8	ENSGALG00000012890	1
ENSMODG00000013895	2	ENSGALG00000002762	26
ENSMODG00000013899	8	ENSGALG00000040493	1
ENSMODG00000013906	1	ENSGALG00000037538	AADN04001118.1
ENSMODG00000013909	1	ENSGALG00000034187	13
ENSMODG00000013910	2	ENSGALG00000041792	26
ENSMODG00000013913	4	ENSGALG00000035980	24
ENSMODG00000013914	1	ENSGALG00000007246	20
ENSMODG00000013916	2	ENSGALG00000002792	26
ENSMODG00000013917	X	ENSGALG00000007242	4
ENSMODG00000013918	4	ENSGALG00000007017	24
ENSMODG00000013925	2	ENSGALG00000002802	26
ENSMODG00000013926	1	ENSGALG00000035421	20
ENSMODG00000013928	4	ENSGALG00000036573	AADN04008284.1
ENSMODG00000013929	2	ENSGALG00000002813	26
ENSMODG00000013930	1	ENSGALG00000006860	13
ENSMODG00000013933	2	ENSGALG00000002830	26
ENSMODG00000013938	2	ENSGALG00000025773	26
ENSMODG00000013939	4	ENSGALG00000001262	23
ENSMODG00000013940	2	ENSGALG00000030396	26
ENSMODG00000013941	4	ENSGALG00000043372	23
ENSMODG00000013942	1	ENSGALG00000021232	20
ENSMODG00000013943	6	ENSGALG00000005448	2
ENSMODG00000013946	1	ENSGALG00000004804	20
ENSMODG00000013947	1	ENSGALG00000006794	13
ENSMODG00000013948	1	ENSGALG00000036219	20
ENSMODG00000013951	4	ENSGALG00000013639	23
ENSMODG00000013953	1	ENSGALG00000027211	20
ENSMODG00000013961	4	ENSGALG00000043733	23
ENSMODG00000013962	4	ENSGALG00000031099	KQ759665.1
ENSMODG00000013963	1	ENSGALG00000006785	13
ENSMODG00000013964	6	ENSGALG00000005476	2
ENSMODG00000013970	2	ENSGALG00000002840	26
ENSMODG00000013976	1	ENSGALG00000036920	13
ENSMODG00000013978	8	ENSGALG00000028459	1
ENSMODG00000013982	4	ENSGALG00000040279	23
ENSMODG00000013983	2	ENSGALG00000002860	26
ENSMODG00000013984	1	ENSGALG00000039872	13
ENSMODG00000013985	4	ENSGALG00000001067	23
ENSMODG00000013987	2	ENSGALG00000002870	26
ENSMODG00000013989	8	ENSGALG00000012908	1
ENSMODG00000013990	4	ENSGALG00000001051	23
ENSMODG00000013991	X	ENSGALG00000006623	4
ENSMODG00000013993	2	ENSGALG00000026536	26
ENSMODG00000013995	6	ENSGALG00000039120	2
ENSMODG00000013996	2	ENSGALG00000002881	26
ENSMODG00000013999	4	ENSGALG00000001038	23
ENSMODG00000014001	1	ENSGALG00000001149	11
ENSMODG00000014002	6	ENSGALG00000044874	2
ENSMODG00000014007	6	ENSGALG00000004978	14
ENSMODG00000014008	X	ENSGALG00000006562	4
ENSMODG00000014011	1	ENSGALG00000037939	11
ENSMODG00000014012	X	ENSGALG00000006513	4
ENSMODG00000014017	4	ENSGALG00000000998	23
ENSMODG00000014019	X	ENSGALG00000006508	4
ENSMODG00000014021	1	ENSGALG00000040627	11
ENSMODG00000014029	X	ENSGALG00000031144	4
ENSMODG00000014031	6	ENSGALG00000004953	14
ENSMODG00000014032	1	ENSGALG00000030160	11
ENSMODG00000014033	4	ENSGALG00000021658	23
ENSMODG00000014035	1	ENSGALG00000006677	13
ENSMODG00000014036	6	ENSGALG00000004926	14
ENSMODG00000014037	1	ENSGALG00000034373	11
ENSMODG00000014039	X	ENSGALG00000006487	4
ENSMODG00000014040	4	ENSGALG00000043829	23
ENSMODG00000014041	6	ENSGALG00000004929	14
ENSMODG00000014043	6	ENSGALG00000042051	2
ENSMODG00000014045	6	ENSGALG00000004916	14
ENSMODG00000014046	4	ENSGALG00000036223	KQ759627.1
ENSMODG00000014047	1	ENSGALG00000043034	11
ENSMODG00000014052	Un	ENSGALG00000042792	KQ759663.1
ENSMODG00000014053	1	ENSGALG00000035230	3
ENSMODG00000014054	X	ENSGALG00000006457	4
ENSMODG00000014055	4	ENSGALG00000028496	24
ENSMODG00000014058	4	ENSGALG00000034282	KQ759481.1
ENSMODG00000014059	Un	ENSGALG00000042886	AADN04008330.1
ENSMODG00000014061	6	ENSGALG00000004902	14
ENSMODG00000014063	1	ENSGALG00000042647	11
ENSMODG00000014066	6	ENSGALG00000005517	2
ENSMODG00000014067	1	ENSGALG00000035604	11
ENSMODG00000014068	8	ENSGALG00000011682	1
ENSMODG00000014071	1	ENSGALG00000038758	11
ENSMODG00000014073	X	ENSGALG00000006439	4
ENSMODG00000014074	6	ENSGALG00000027188	14
ENSMODG00000014075	8	ENSGALG00000011717	1
ENSMODG00000014076	1	ENSGALG00000032634	11
ENSMODG00000014078	6	ENSGALG00000005582	2
ENSMODG00000014079	1	ENSGALG00000006644	13
ENSMODG00000014080	1	ENSGALG00000031718	11
ENSMODG00000014081	8	ENSGALG00000011722	1
ENSMODG00000014082	6	ENSGALG00000004888	14
ENSMODG00000014084	X	ENSGALG00000006415	4
ENSMODG00000014085	X	ENSGALG00000006412	4
ENSMODG00000014089	2	ENSGALG00000031493	26
ENSMODG00000014090	X	ENSGALG00000006406	4
ENSMODG00000014091	4	ENSGALG00000010375	23
ENSMODG00000014095	X	ENSGALG00000006393	4
ENSMODG00000014097	8	ENSGALG00000011724	1
ENSMODG00000014098	4	ENSGALG00000034107	23
ENSMODG00000014101	4	ENSGALG00000001463	23
ENSMODG00000014105	Un	ENSGALG00000004908	4
ENSMODG00000014107	8	ENSGALG00000025999	2
ENSMODG00000014112	1	ENSGALG00000017462	13
ENSMODG00000014114	8	ENSGALG00000038041	2
ENSMODG00000014124	8	ENSGALG00000033471	1
ENSMODG00000014127	8	ENSGALG00000013069	1
ENSMODG00000014128	2	ENSGALG00000005350	19
ENSMODG00000014130	4	ENSGALG00000038540	24
ENSMODG00000014131	1	ENSGALG00000029896	13
ENSMODG00000014132	2	ENSGALG00000039964	16
ENSMODG00000014133	6	ENSGALG00000038522	2
ENSMODG00000014135	4	ENSGALG00000046299	23
ENSMODG00000014137	2	ENSGALG00000005314	19
ENSMODG00000014139	1	ENSGALG00000031487	13
ENSMODG00000014145	1	ENSGALG00000031209	11
ENSMODG00000014147	1	ENSGALG00000006506	13
ENSMODG00000014153	8	ENSGALG00000038187	1
ENSMODG00000014155	6	ENSGALG00000035768	2
ENSMODG00000014156	2	ENSGALG00000035610	19
ENSMODG00000014157	1	ENSGALG00000006503	13
ENSMODG00000014158	4	ENSGALG00000007004	24
ENSMODG00000014159	2	ENSGALG00000008022	16
ENSMODG00000014160	6	ENSGALG00000031227	2
ENSMODG00000014163	1	ENSGALG00000006480	13
ENSMODG00000014164	1	ENSGALG00000043662	11
ENSMODG00000014165	1	ENSGALG00000016342	3
ENSMODG00000014167	8	ENSGALG00000010718	2
ENSMODG00000014171	1	ENSGALG00000022887	3
ENSMODG00000014172	4	ENSGALG00000038595	AADN04000661.1
ENSMODG00000014173	1	ENSGALG00000002247	11
ENSMODG00000014177	1	ENSGALG00000006462	13
ENSMODG00000014178	8	ENSGALG00000035140	2
ENSMODG00000014179	4	ENSGALG00000045050	11
ENSMODG00000014180	4	ENSGALG00000006969	24
ENSMODG00000014181	6	ENSGALG00000032184	2
ENSMODG00000014183	4	ENSGALG00000006926	24
ENSMODG00000014186	4	ENSGALG00000042624	23
ENSMODG00000014187	2	ENSGALG00000005295	19
ENSMODG00000014189	4	ENSGALG00000038536	23
ENSMODG00000014194	1	ENSGALG00000016350	3
ENSMODG00000014196	4	ENSGALG00000007794	24
ENSMODG00000014198	1	ENSGALG00000039606	3
ENSMODG00000014199	1	ENSGALG00000002301	11
ENSMODG00000014204	2	ENSGALG00000034297	19
ENSMODG00000014205	4	ENSGALG00000007815	24
ENSMODG00000014207	6	ENSGALG00000032642	2
ENSMODG00000014209	1	ENSGALG00000032664	13
ENSMODG00000014211	8	ENSGALG00000010770	2
ENSMODG00000014214	1	ENSGALG00000006424	13
ENSMODG00000014216	2	ENSGALG00000005285	19
ENSMODG00000014219	8	ENSGALG00000027757	2
ENSMODG00000014224	1	ENSGALG00000032937	3
ENSMODG00000014227	1	ENSGALG00000038753	13
ENSMODG00000014228	4	ENSGALG00000042304	AADN04012949.1
ENSMODG00000014231	4	ENSGALG00000031183	23
ENSMODG00000014233	1	ENSGALG00000031021	3
ENSMODG00000014236	4	ENSGALG00000036022	23
ENSMODG00000014237	8	ENSGALG00000009759	1
ENSMODG00000014238	1	ENSGALG00000016356	3
ENSMODG00000014243	1	ENSGALG00000006417	13
ENSMODG00000014246	4	ENSGALG00000029909	23
ENSMODG00000014247	1	ENSGALG00000016359	3
ENSMODG00000014251	1	ENSGALG00000006411	13
ENSMODG00000014252	1	ENSGALG00000016361	3
ENSMODG00000014256	1	ENSGALG00000002321	11
ENSMODG00000014258	2	ENSGALG00000005279	19
ENSMODG00000014260	1	ENSGALG00000016362	3
ENSMODG00000014261	8	ENSGALG00000035504	2
ENSMODG00000014262	1	ENSGALG00000026903	11
ENSMODG00000014263	1	ENSGALG00000016364	3
ENSMODG00000014267	1	ENSGALG00000002356	11
ENSMODG00000014269	8	ENSGALG00000019361	1
ENSMODG00000014277	X	ENSGALG00000007110	4
ENSMODG00000014279	X	ENSGALG00000029329	4
ENSMODG00000014282	3	ENSGALG00000027369	15
