Opossum	ChrOpossum	Platypus	ChrPlatypus
ENSMODG00000010011	1	ENSOANG00000003124	Contig12561
ENSMODG00000010012	3	ENSOANG00000007177	Ultra474
ENSMODG00000010014	2	ENSOANG00000012675	Ultra69
ENSMODG00000010015	5	ENSOANG00000007393	3
ENSMODG00000010017	4	ENSOANG00000015497	Ultra336
ENSMODG00000010022	3	ENSOANG00000007178	Ultra474
ENSMODG00000010024	2	ENSOANG00000030605	Contig10030
ENSMODG00000010025	2	ENSOANG00000012101	Contig12162
ENSMODG00000010026	3	ENSOANG00000007179	Ultra474
ENSMODG00000010029	2	ENSOANG00000009926	Ultra669
ENSMODG00000010030	3	ENSOANG00000007180	Ultra474
ENSMODG00000010032	2	ENSOANG00000007466	Contig32658
ENSMODG00000010033	X	ENSOANG00000013573	Ultra295
ENSMODG00000010036	3	ENSOANG00000005379	Contig13244
ENSMODG00000010038	2	ENSOANG00000009927	Ultra669
ENSMODG00000010040	3	ENSOANG00000003849	Contig25555
ENSMODG00000010041	1	ENSOANG00000019918	Contig9091
ENSMODG00000010043	4	ENSOANG00000015498	Ultra336
ENSMODG00000010044	3	ENSOANG00000007181	Ultra474
ENSMODG00000010046	2	ENSOANG00000022111	Contig24448
ENSMODG00000010047	2	ENSOANG00000001522	Contig24719
ENSMODG00000010048	X	ENSOANG00000011373	Contig26534
ENSMODG00000010052	4	ENSOANG00000015500	Ultra336
ENSMODG00000010054	8	ENSOANG00000004432	15
ENSMODG00000010055	6	ENSOANG00000004315	2
ENSMODG00000010056	3	ENSOANG00000011155	Contig7656
ENSMODG00000010059	Un	ENSOANG00000013938	Contig9591
ENSMODG00000010061	3	ENSOANG00000005303	Contig20178
ENSMODG00000010062	1	ENSOANG00000000693	5
ENSMODG00000010064	8	ENSOANG00000004431	15
ENSMODG00000010067	Un	ENSOANG00000013660	4
ENSMODG00000010068	8	ENSOANG00000019723	Contig23557
ENSMODG00000010073	2	ENSOANG00000000207	Contig819
ENSMODG00000010074	1	ENSOANG00000001575	Ultra272
ENSMODG00000010075	2	ENSOANG00000003975	Contig21945
ENSMODG00000010078	3	ENSOANG00000001089	Contig32041
ENSMODG00000010082	1	ENSOANG00000000702	5
ENSMODG00000010083	8	ENSOANG00000004427	15
ENSMODG00000010085	4	ENSOANG00000015502	Ultra336
ENSMODG00000010088	8	ENSOANG00000029142	Contig75936
ENSMODG00000010089	1	ENSOANG00000001578	Ultra272
ENSMODG00000010092	X	ENSOANG00000010766	Contig7795
ENSMODG00000010093	1	ENSOANG00000000699	5
ENSMODG00000010095	8	ENSOANG00000011562	Contig29152
ENSMODG00000010096	1	ENSOANG00000021421	X1
ENSMODG00000010101	1	ENSOANG00000006850	Contig3060
ENSMODG00000010102	2	ENSOANG00000001877	Contig1132
ENSMODG00000010106	8	ENSOANG00000004425	15
ENSMODG00000010115	2	ENSOANG00000009420	Contig6299
ENSMODG00000010120	1	ENSOANG00000000701	5
ENSMODG00000010124	1	ENSOANG00000030671	X1
ENSMODG00000010127	2	ENSOANG00000002530	Contig665
ENSMODG00000010128	1	ENSOANG00000000704	5
ENSMODG00000010129	8	ENSOANG00000004424	15
ENSMODG00000010133	1	ENSOANG00000001579	Ultra272
ENSMODG00000010141	X	ENSOANG00000011654	6
ENSMODG00000010144	Un	ENSOANG00000029730	Contig19095
ENSMODG00000010145	4	ENSOANG00000015504	Ultra336
ENSMODG00000010146	2	ENSOANG00000002533	Contig665
ENSMODG00000010149	3	ENSOANG00000022208	Contig31596
ENSMODG00000010152	2	ENSOANG00000029390	Contig55592
ENSMODG00000010161	1	ENSOANG00000001581	Ultra272
ENSMODG00000010165	X	ENSOANG00000011656	6
ENSMODG00000010167	4	ENSOANG00000015506	Ultra336
ENSMODG00000010173	3	ENSOANG00000007267	7
ENSMODG00000010174	2	ENSOANG00000002535	Contig665
ENSMODG00000010176	1	ENSOANG00000000705	5
ENSMODG00000010177	4	ENSOANG00000008646	Ultra514
ENSMODG00000010181	X	ENSOANG00000011657	6
ENSMODG00000010187	2	ENSOANG00000007759	Contig8971
ENSMODG00000010189	X	ENSOANG00000012900	Contig12227
ENSMODG00000010195	6	ENSOANG00000031693	Contig21060
ENSMODG00000010196	1	ENSOANG00000000697	5
ENSMODG00000010197	X	ENSOANG00000001808	Ultra15
ENSMODG00000010198	1	ENSOANG00000001582	Ultra272
ENSMODG00000010200	8	ENSOANG00000020861	Contig104754
ENSMODG00000010201	4	ENSOANG00000008647	Ultra514
ENSMODG00000010202	4	ENSOANG00000015508	Ultra336
ENSMODG00000010205	8	ENSOANG00000008494	Contig19331
ENSMODG00000010208	1	ENSOANG00000008346	4
ENSMODG00000010209	X	ENSOANG00000001807	Ultra15
ENSMODG00000010210	Un	ENSOANG00000021480	Contig41936
ENSMODG00000010211	4	ENSOANG00000015509	Ultra336
ENSMODG00000010213	3	ENSOANG00000007265	7
ENSMODG00000010216	1	ENSOANG00000000711	5
ENSMODG00000010217	1	ENSOANG00000021293	Contig17681
ENSMODG00000010219	1	ENSOANG00000012620	1
ENSMODG00000010221	X	ENSOANG00000002596	Ultra390
ENSMODG00000010224	1	ENSOANG00000020851	Contig9278
ENSMODG00000010225	1	ENSOANG00000000713	5
ENSMODG00000010226	Un	ENSOANG00000010375	Ultra181
ENSMODG00000010228	1	ENSOANG00000002546	Contig180820
ENSMODG00000010231	1	ENSOANG00000005755	Ultra139
ENSMODG00000010236	X	ENSOANG00000005775	Contig12795
ENSMODG00000010239	1	ENSOANG00000032054	Ultra139
ENSMODG00000010240	4	ENSOANG00000015510	Ultra336
ENSMODG00000010241	2	ENSOANG00000001981	Contig7709
ENSMODG00000010243	6	ENSOANG00000000281	4
ENSMODG00000010244	1	ENSOANG00000011112	Contig7356
ENSMODG00000010248	X	ENSOANG00000012972	Contig19484
ENSMODG00000010250	1	ENSOANG00000005754	Ultra139
ENSMODG00000010252	3	ENSOANG00000007182	Ultra474
ENSMODG00000010254	4	ENSOANG00000015511	Ultra336
ENSMODG00000010255	1	ENSOANG00000000612	Contig20861
ENSMODG00000010256	1	ENSOANG00000029944	Ultra139
ENSMODG00000010257	2	ENSOANG00000000934	Contig8076
ENSMODG00000010259	X	ENSOANG00000014583	Contig765
ENSMODG00000010261	1	ENSOANG00000000715	5
ENSMODG00000010262	1	ENSOANG00000001583	Ultra272
ENSMODG00000010263	2	ENSOANG00000010877	Ultra43
ENSMODG00000010265	1	ENSOANG00000012623	1
ENSMODG00000010271	1	ENSOANG00000012253	Contig19165
ENSMODG00000010272	8	ENSOANG00000004419	15
ENSMODG00000010274	1	ENSOANG00000012624	1
ENSMODG00000010275	1	ENSOANG00000005450	10
ENSMODG00000010281	1	ENSOANG00000001586	Ultra272
ENSMODG00000010283	X	ENSOANG00000002584	Ultra390
ENSMODG00000010285	1	ENSOANG00000008180	Contig3815
ENSMODG00000010287	1	ENSOANG00000005747	Ultra139
ENSMODG00000010289	1	ENSOANG00000001589	Ultra272
ENSMODG00000010290	8	ENSOANG00000004418	15
ENSMODG00000010292	X	ENSOANG00000015229	Contig8645
ENSMODG00000010294	X	ENSOANG00000002581	Ultra390
ENSMODG00000010296	1	ENSOANG00000002696	Contig3403
ENSMODG00000010299	3	ENSOANG00000007183	Ultra474
ENSMODG00000010300	1	ENSOANG00000012625	1
ENSMODG00000010303	X	ENSOANG00000006932	Contig45310
ENSMODG00000010306	3	ENSOANG00000031815	Contig22927
ENSMODG00000010307	4	ENSOANG00000015513	Ultra336
ENSMODG00000010311	X	ENSOANG00000002580	Ultra390
ENSMODG00000010315	2	ENSOANG00000003458	Contig26685
ENSMODG00000010317	X	ENSOANG00000015230	Contig8645
ENSMODG00000010319	1	ENSOANG00000005745	Ultra139
ENSMODG00000010326	1	ENSOANG00000001590	Ultra272
ENSMODG00000010327	2	ENSOANG00000002536	Contig665
ENSMODG00000010328	1	ENSOANG00000000718	5
ENSMODG00000010334	3	ENSOANG00000031125	Contig42863
ENSMODG00000010338	8	ENSOANG00000005171	15
ENSMODG00000010339	3	ENSOANG00000007187	Ultra474
ENSMODG00000010342	4	ENSOANG00000015514	Ultra336
ENSMODG00000010345	X	ENSOANG00000002578	Ultra390
ENSMODG00000010347	4	ENSOANG00000015515	Ultra336
ENSMODG00000010348	1	ENSOANG00000009957	Contig5095
ENSMODG00000010350	1	ENSOANG00000007163	Contig155369
ENSMODG00000010353	2	ENSOANG00000002538	Contig665
ENSMODG00000010354	X	ENSOANG00000002577	Ultra390
ENSMODG00000010355	8	ENSOANG00000001714	15
ENSMODG00000010356	1	ENSOANG00000001591	Ultra272
ENSMODG00000010358	1	ENSOANG00000032246	Contig11563
ENSMODG00000010362	1	ENSOANG00000005744	Ultra139
ENSMODG00000010363	3	ENSOANG00000007190	Ultra474
ENSMODG00000010369	4	ENSOANG00000003633	Ultra514
ENSMODG00000010371	3	ENSOANG00000007191	Ultra474
ENSMODG00000010372	2	ENSOANG00000004252	Contig10039
ENSMODG00000010373	1	ENSOANG00000001757	Contig2280
ENSMODG00000010382	2	ENSOANG00000004251	Contig10039
ENSMODG00000010384	4	ENSOANG00000003632	Ultra514
ENSMODG00000010385	8	ENSOANG00000007250	Contig29762
ENSMODG00000010388	3	ENSOANG00000009473	Contig14187
ENSMODG00000010391	4	ENSOANG00000015517	Ultra336
ENSMODG00000010392	4	ENSOANG00000003630	Ultra514
ENSMODG00000010393	3	ENSOANG00000013123	Contig18028
ENSMODG00000010399	1	ENSOANG00000001595	Ultra272
ENSMODG00000010404	1	ENSOANG00000002563	Contig4867
ENSMODG00000010406	8	ENSOANG00000021455	Contig4114
ENSMODG00000010410	1	ENSOANG00000022341	Contig4867
ENSMODG00000010411	3	ENSOANG00000015136	Contig4612
ENSMODG00000010414	1	ENSOANG00000014188	Contig14051
ENSMODG00000010415	1	ENSOANG00000002670	1
ENSMODG00000010417	8	ENSOANG00000007083	Contig4114
ENSMODG00000010419	1	ENSOANG00000005237	Contig15682
ENSMODG00000010421	4	ENSOANG00000003629	Ultra514
ENSMODG00000010422	X	ENSOANG00000014586	Contig765
ENSMODG00000010423	2	ENSOANG00000011698	Contig1847
ENSMODG00000010425	4	ENSOANG00000003628	Ultra514
ENSMODG00000010429	X	ENSOANG00000014590	Contig765
ENSMODG00000010431	3	ENSOANG00000015139	Contig4612
ENSMODG00000010432	1	ENSOANG00000000720	5
ENSMODG00000010433	1	ENSOANG00000007432	Ultra459
ENSMODG00000010434	1	ENSOANG00000029388	Contig53356
ENSMODG00000010435	3	ENSOANG00000014904	Contig12137
ENSMODG00000010438	1	ENSOANG00000001793	Contig14838
ENSMODG00000010439	1	ENSOANG00000000717	5
ENSMODG00000010442	3	ENSOANG00000030839	Ultra474
ENSMODG00000010443	4	ENSOANG00000003627	Ultra514
ENSMODG00000010448	2	ENSOANG00000030752	Contig30132
ENSMODG00000010449	1	ENSOANG00000002143	Contig7280
ENSMODG00000010456	1	ENSOANG00000011611	Contig14799
ENSMODG00000010457	1	ENSOANG00000000721	5
ENSMODG00000010460	2	ENSOANG00000007781	Contig593
ENSMODG00000010462	3	ENSOANG00000012802	Contig18733
ENSMODG00000010464	1	ENSOANG00000012388	Contig32485
ENSMODG00000010466	1	ENSOANG00000005177	Contig227262
ENSMODG00000010468	1	ENSOANG00000013784	Contig10673
ENSMODG00000010469	1	ENSOANG00000006555	5
ENSMODG00000010471	1	ENSOANG00000006986	Contig20982
ENSMODG00000010474	1	ENSOANG00000006554	5
ENSMODG00000010475	2	ENSOANG00000007780	Contig593
ENSMODG00000010476	1	ENSOANG00000001139	Contig7219
ENSMODG00000010478	1	ENSOANG00000002144	Contig7280
ENSMODG00000010479	4	ENSOANG00000015524	Ultra336
ENSMODG00000010480	2	ENSOANG00000004250	Contig10039
ENSMODG00000010481	1	ENSOANG00000002523	Ultra649
ENSMODG00000010484	1	ENSOANG00000002807	Contig131292
ENSMODG00000010487	1	ENSOANG00000011802	Contig23551
ENSMODG00000010493	1	ENSOANG00000030766	Contig4934
ENSMODG00000010496	1	ENSOANG00000013359	Ultra122
ENSMODG00000010497	8	ENSOANG00000013237	Contig8567
ENSMODG00000010498	1	ENSOANG00000004099	Contig172082
ENSMODG00000010499	1	ENSOANG00000022431	5
ENSMODG00000010501	2	ENSOANG00000010875	Ultra43
ENSMODG00000010502	3	ENSOANG00000014615	Contig12481
ENSMODG00000010506	1	ENSOANG00000010762	Contig3199
ENSMODG00000010510	1	ENSOANG00000013358	Ultra122
ENSMODG00000010511	1	ENSOANG00000007694	Contig10011
ENSMODG00000010514	3	ENSOANG00000007460	Contig12590
ENSMODG00000010515	2	ENSOANG00000010878	Ultra43
ENSMODG00000010516	3	ENSOANG00000021691	Contig15100
ENSMODG00000010517	1	ENSOANG00000031181	Contig2794
ENSMODG00000010518	1	ENSOANG00000030637	Contig45322
ENSMODG00000010519	4	ENSOANG00000003625	Ultra514
ENSMODG00000010521	1	ENSOANG00000000346	Contig23170
ENSMODG00000010522	3	ENSOANG00000007459	Contig12590
ENSMODG00000010523	1	ENSOANG00000001597	Ultra272
ENSMODG00000010525	3	ENSOANG00000007261	7
ENSMODG00000010526	3	ENSOANG00000007193	Ultra474
ENSMODG00000010527	3	ENSOANG00000030041	Contig9429
ENSMODG00000010528	4	ENSOANG00000015529	Ultra336
ENSMODG00000010529	1	ENSOANG00000006373	Contig4784
ENSMODG00000010531	3	ENSOANG00000007458	Contig12590
ENSMODG00000010533	1	ENSOANG00000022322	Ultra532
ENSMODG00000010536	3	ENSOANG00000007260	7
ENSMODG00000010537	2	ENSOANG00000010879	Ultra43
ENSMODG00000010539	3	ENSOANG00000007195	Ultra474
ENSMODG00000010540	6	ENSOANG00000030111	Contig1664
ENSMODG00000010542	1	ENSOANG00000001598	Ultra272
ENSMODG00000010546	1	ENSOANG00000001600	Ultra272
ENSMODG00000010547	3	ENSOANG00000007196	Ultra474
ENSMODG00000010549	2	ENSOANG00000010880	Ultra43
ENSMODG00000010552	2	ENSOANG00000007778	Contig593
ENSMODG00000010553	2	ENSOANG00000010881	Ultra43
ENSMODG00000010554	1	ENSOANG00000003105	Ultra236
ENSMODG00000010555	X	ENSOANG00000014594	Contig765
ENSMODG00000010556	4	ENSOANG00000003624	Ultra514
ENSMODG00000010557	1	ENSOANG00000022176	Contig24010
ENSMODG00000010558	X	ENSOANG00000014596	Contig765
ENSMODG00000010559	1	ENSOANG00000014413	Contig12829
ENSMODG00000010561	2	ENSOANG00000007779	Contig593
ENSMODG00000010565	3	ENSOANG00000004925	Contig3146
ENSMODG00000010566	4	ENSOANG00000014252	Contig4692
ENSMODG00000010567	3	ENSOANG00000007197	Ultra474
ENSMODG00000010568	6	ENSOANG00000015366	Contig27359
ENSMODG00000010572	1	ENSOANG00000002486	Ultra472
ENSMODG00000010575	2	ENSOANG00000002701	Contig17178
ENSMODG00000010577	X	ENSOANG00000014598	Contig765
ENSMODG00000010579	1	ENSOANG00000009419	Contig4290
ENSMODG00000010580	3	ENSOANG00000006981	Ultra474
ENSMODG00000010582	2	ENSOANG00000002700	Contig17178
ENSMODG00000010585	1	ENSOANG00000006838	Contig45559
ENSMODG00000010586	3	ENSOANG00000005605	7
ENSMODG00000010593	1	ENSOANG00000029035	Contig5250
ENSMODG00000010598	2	ENSOANG00000012342	Contig6725
ENSMODG00000010599	2	ENSOANG00000011216	Contig9988
ENSMODG00000010602	4	ENSOANG00000009276	Contig7878
ENSMODG00000010603	1	ENSOANG00000015093	Ultra532
ENSMODG00000010607	6	ENSOANG00000015753	Contig2684
ENSMODG00000010610	8	ENSOANG00000013144	Contig23813
ENSMODG00000010614	1	ENSOANG00000015212	Contig11691
ENSMODG00000010617	3	ENSOANG00000006980	Ultra474
ENSMODG00000010620	1	ENSOANG00000007613	Ultra236
ENSMODG00000010621	8	ENSOANG00000007205	Contig14338
ENSMODG00000010622	2	ENSOANG00000030166	Contig2528
ENSMODG00000010623	1	ENSOANG00000001601	Ultra272
ENSMODG00000010625	3	ENSOANG00000006979	Ultra474
ENSMODG00000010632	1	ENSOANG00000002477	Ultra472
ENSMODG00000010636	3	ENSOANG00000006976	Ultra474
ENSMODG00000010637	2	ENSOANG00000007883	Ultra530
ENSMODG00000010639	2	ENSOANG00000008638	Ultra382
ENSMODG00000010640	X	ENSOANG00000004552	Contig3874
ENSMODG00000010641	3	ENSOANG00000019878	Ultra474
ENSMODG00000010642	2	ENSOANG00000003062	Ultra530
ENSMODG00000010644	1	ENSOANG00000011077	Contig3758
ENSMODG00000010645	Un	ENSOANG00000008888	Contig1129
ENSMODG00000010647	1	ENSOANG00000003252	Ultra236
ENSMODG00000010648	4	ENSOANG00000015531	Ultra336
ENSMODG00000010650	6	ENSOANG00000004136	Contig13975
ENSMODG00000010655	4	ENSOANG00000007874	Contig15571
ENSMODG00000010656	3	ENSOANG00000006975	Ultra474
ENSMODG00000010658	2	ENSOANG00000008637	Ultra382
ENSMODG00000010659	6	ENSOANG00000022204	Contig8391
ENSMODG00000010660	4	ENSOANG00000013128	3
ENSMODG00000010661	Un	ENSOANG00000004188	Ultra736
ENSMODG00000010663	3	ENSOANG00000001941	Contig5834
ENSMODG00000010664	2	ENSOANG00000003059	Ultra530
ENSMODG00000010665	4	ENSOANG00000003149	Ultra514
ENSMODG00000010666	3	ENSOANG00000001412	Ultra144
ENSMODG00000010667	3	ENSOANG00000005607	7
ENSMODG00000010668	1	ENSOANG00000002484	Ultra472
ENSMODG00000010670	8	ENSOANG00000021458	Contig14338
ENSMODG00000010676	1	ENSOANG00000001602	Ultra272
ENSMODG00000010677	X	ENSOANG00000006675	Contig25634
ENSMODG00000010679	4	ENSOANG00000009599	Contig6564
ENSMODG00000010681	Un	ENSOANG00000029122	Contig33255
ENSMODG00000010682	3	ENSOANG00000022557	Contig22750
ENSMODG00000010684	1	ENSOANG00000010388	Contig9835
ENSMODG00000010686	8	ENSOANG00000029861	Contig6474
ENSMODG00000010687	4	ENSOANG00000020803	Ultra162
ENSMODG00000010689	3	ENSOANG00000029545	Contig22750
ENSMODG00000010691	1	ENSOANG00000003253	Ultra236
ENSMODG00000010692	4	ENSOANG00000005244	Contig4011
ENSMODG00000010695	4	ENSOANG00000008316	Contig5003
ENSMODG00000010698	3	ENSOANG00000004541	Contig21102
ENSMODG00000010700	Un	ENSOANG00000008886	Contig1129
ENSMODG00000010701	8	ENSOANG00000012126	Contig1087
ENSMODG00000010703	2	ENSOANG00000000257	2
ENSMODG00000010704	2	ENSOANG00000008634	Ultra382
ENSMODG00000010705	1	ENSOANG00000003254	Ultra236
ENSMODG00000010707	3	ENSOANG00000028468	Contig3146
ENSMODG00000010711	Un	ENSOANG00000004778	Contig2241
ENSMODG00000010712	4	ENSOANG00000031823	Contig27635
ENSMODG00000010713	2	ENSOANG00000008631	Ultra382
ENSMODG00000010714	1	ENSOANG00000003255	Ultra236
ENSMODG00000010715	8	ENSOANG00000012125	Contig1087
ENSMODG00000010716	3	ENSOANG00000000867	Contig13055
ENSMODG00000010718	4	ENSOANG00000008315	Contig5003
ENSMODG00000010719	3	ENSOANG00000022671	Contig271558
ENSMODG00000010720	2	ENSOANG00000009328	Ultra60
ENSMODG00000010726	X	ENSOANG00000003109	Contig10577
ENSMODG00000010727	Un	ENSOANG00000004777	Contig2241
ENSMODG00000010730	8	ENSOANG00000012124	Contig1087
ENSMODG00000010733	2	ENSOANG00000020186	2
ENSMODG00000010734	4	ENSOANG00000015533	Ultra336
ENSMODG00000010737	1	ENSOANG00000001604	Ultra272
ENSMODG00000010740	4	ENSOANG00000011249	Contig7897
ENSMODG00000010741	Un	ENSOANG00000004776	Contig2241
ENSMODG00000010743	1	ENSOANG00000013357	Ultra122
ENSMODG00000010745	4	ENSOANG00000019970	Contig12452
ENSMODG00000010746	3	ENSOANG00000011869	Ultra144
ENSMODG00000010747	Un	ENSOANG00000005876	Contig4057
ENSMODG00000010751	1	ENSOANG00000031687	Contig25731
ENSMODG00000010754	1	ENSOANG00000011517	Contig10879
ENSMODG00000010755	3	ENSOANG00000010716	Contig22643
ENSMODG00000010759	8	ENSOANG00000001763	Contig10535
ENSMODG00000010760	4	ENSOANG00000015535	Ultra336
ENSMODG00000010761	1	ENSOANG00000013100	Contig2762
ENSMODG00000010762	3	ENSOANG00000011868	Ultra144
ENSMODG00000010764	3	ENSOANG00000005609	7
ENSMODG00000010765	2	ENSOANG00000008629	Ultra382
ENSMODG00000010767	X	ENSOANG00000003108	Contig10577
ENSMODG00000010768	1	ENSOANG00000007344	Contig37712
ENSMODG00000010770	1	ENSOANG00000031131	Contig17238
ENSMODG00000010772	8	ENSOANG00000012122	Contig1087
ENSMODG00000010775	4	ENSOANG00000015537	Ultra336
ENSMODG00000010776	2	ENSOANG00000015076	Ultra382
ENSMODG00000010777	X	ENSOANG00000014214	Contig21467
ENSMODG00000010782	4	ENSOANG00000011248	Contig7897
ENSMODG00000010787	4	ENSOANG00000015538	Ultra336
ENSMODG00000010789	X	ENSOANG00000005657	Contig20269
ENSMODG00000010790	6	ENSOANG00000004775	Ultra747
ENSMODG00000010792	8	ENSOANG00000021210	Contig385
ENSMODG00000010795	3	ENSOANG00000005610	7
ENSMODG00000010797	8	ENSOANG00000003978	Contig20158
ENSMODG00000010798	1	ENSOANG00000001606	Ultra272
ENSMODG00000010799	4	ENSOANG00000015540	Ultra336
ENSMODG00000010800	1	ENSOANG00000010241	Contig25460
ENSMODG00000010801	4	ENSOANG00000001700	Contig14519
ENSMODG00000010806	3	ENSOANG00000003448	Contig7378
ENSMODG00000010808	3	ENSOANG00000005612	7
ENSMODG00000010811	4	ENSOANG00000003048	Ultra405
ENSMODG00000010812	8	ENSOANG00000012154	Contig1521
ENSMODG00000010813	1	ENSOANG00000003030	Contig2658
ENSMODG00000010816	4	ENSOANG00000008972	Contig19303
ENSMODG00000010819	1	ENSOANG00000013354	Ultra122
ENSMODG00000010820	3	ENSOANG00000007188	Contig14718
ENSMODG00000010821	3	ENSOANG00000005613	7
ENSMODG00000010822	1	ENSOANG00000009718	Contig16693
ENSMODG00000010825	X	ENSOANG00000021601	6
ENSMODG00000010826	4	ENSOANG00000001966	Contig40406
ENSMODG00000010827	3	ENSOANG00000011866	Ultra144
ENSMODG00000010829	4	ENSOANG00000015542	Ultra336
ENSMODG00000010830	8	ENSOANG00000012155	Contig1521
ENSMODG00000010831	1	ENSOANG00000009661	Contig3433
ENSMODG00000010835	3	ENSOANG00000005614	7
ENSMODG00000010838	Un	ENSOANG00000014746	Contig26589
ENSMODG00000010843	2	ENSOANG00000010097	Ultra42
ENSMODG00000010846	4	ENSOANG00000000634	Contig5357
ENSMODG00000010848	1	ENSOANG00000030994	Contig16693
ENSMODG00000010849	X	ENSOANG00000005238	Contig20209
ENSMODG00000010851	2	ENSOANG00000014715	Contig159063
ENSMODG00000010853	4	ENSOANG00000000633	Contig5357
ENSMODG00000010855	X	ENSOANG00000012826	6
ENSMODG00000010861	4	ENSOANG00000015545	Ultra336
ENSMODG00000010862	1	ENSOANG00000001775	Contig1104
ENSMODG00000010863	1	ENSOANG00000014073	4
ENSMODG00000010867	Un	ENSOANG00000011679	6
ENSMODG00000010868	1	ENSOANG00000013009	Ultra191
ENSMODG00000010870	2	ENSOANG00000012706	Ultra69
ENSMODG00000010872	2	ENSOANG00000006492	Contig7064
ENSMODG00000010874	3	ENSOANG00000022378	Contig7324
ENSMODG00000010875	8	ENSOANG00000015119	Ultra117
ENSMODG00000010877	X	ENSOANG00000014488	Ultra519
ENSMODG00000010882	8	ENSOANG00000012156	Contig1521
ENSMODG00000010883	X	ENSOANG00000001989	Ultra429
ENSMODG00000010884	4	ENSOANG00000001179	Contig7191
ENSMODG00000010887	2	ENSOANG00000004277	Contig24835
ENSMODG00000010888	X	ENSOANG00000009600	Ultra429
ENSMODG00000010889	1	ENSOANG00000007861	Ultra422
ENSMODG00000010893	3	ENSOANG00000000730	Contig24902
ENSMODG00000010894	1	ENSOANG00000007860	Ultra422
ENSMODG00000010897	4	ENSOANG00000011528	Contig4147
ENSMODG00000010898	1	ENSOANG00000020925	Contig3433
ENSMODG00000010899	3	ENSOANG00000011865	Ultra144
ENSMODG00000010901	4	ENSOANG00000001180	Contig7191
ENSMODG00000010902	1	ENSOANG00000001621	Ultra272
ENSMODG00000010909	1	ENSOANG00000009232	Contig11172
ENSMODG00000010910	1	ENSOANG00000001773	Contig1104
ENSMODG00000010911	Un	ENSOANG00000002456	Contig22603
ENSMODG00000010913	X	ENSOANG00000014709	Ultra369
ENSMODG00000010914	4	ENSOANG00000002739	Contig2094
ENSMODG00000010916	X	ENSOANG00000014708	Ultra369
ENSMODG00000010919	3	ENSOANG00000005618	7
ENSMODG00000010920	3	ENSOANG00000011863	Ultra144
ENSMODG00000010922	3	ENSOANG00000014986	Contig5775
ENSMODG00000010927	4	ENSOANG00000022425	Contig65777
ENSMODG00000010929	4	ENSOANG00000015546	Ultra336
ENSMODG00000010931	3	ENSOANG00000011628	Contig31991
ENSMODG00000010932	3	ENSOANG00000005619	7
ENSMODG00000010934	2	ENSOANG00000012707	Ultra69
ENSMODG00000010935	2	ENSOANG00000004457	Contig21643
ENSMODG00000010936	Un	ENSOANG00000013003	Contig11829
ENSMODG00000010941	3	ENSOANG00000030236	Contig23126
ENSMODG00000010943	4	ENSOANG00000004497	Contig29779
ENSMODG00000010950	4	ENSOANG00000022493	Ultra336
ENSMODG00000010951	3	ENSOANG00000011858	Ultra144
ENSMODG00000010952	1	ENSOANG00000001117	3
ENSMODG00000010958	2	ENSOANG00000012161	Contig10428
ENSMODG00000010960	3	ENSOANG00000003521	Contig341
ENSMODG00000010962	4	ENSOANG00000002741	Contig2094
ENSMODG00000010967	8	ENSOANG00000007053	Contig117634
ENSMODG00000010970	1	ENSOANG00000029629	Contig91427
ENSMODG00000010971	1	ENSOANG00000011146	Contig362
ENSMODG00000010972	3	ENSOANG00000008118	3
ENSMODG00000010973	4	ENSOANG00000006124	Contig6859
ENSMODG00000010974	3	ENSOANG00000003523	Contig341
ENSMODG00000010976	4	ENSOANG00000002743	Contig2094
ENSMODG00000010978	2	ENSOANG00000012711	Ultra69
ENSMODG00000010980	1	ENSOANG00000031009	Contig5987
ENSMODG00000010982	2	ENSOANG00000000266	Contig20329
ENSMODG00000010983	3	ENSOANG00000003525	Contig341
ENSMODG00000010985	1	ENSOANG00000020149	Ultra272
ENSMODG00000010987	8	ENSOANG00000003586	Ultra117
ENSMODG00000010995	3	ENSOANG00000008117	3
ENSMODG00000010996	4	ENSOANG00000031005	Contig29255
ENSMODG00000010997	4	ENSOANG00000015548	Ultra336
ENSMODG00000011001	3	ENSOANG00000008116	3
ENSMODG00000011003	1	ENSOANG00000001628	Ultra272
ENSMODG00000011006	4	ENSOANG00000014926	Contig16893
ENSMODG00000011011	1	ENSOANG00000011148	Contig362
ENSMODG00000011014	3	ENSOANG00000003526	Contig341
ENSMODG00000011016	1	ENSOANG00000001630	Ultra272
ENSMODG00000011018	3	ENSOANG00000005620	7
ENSMODG00000011020	1	ENSOANG00000001631	Ultra272
ENSMODG00000011026	2	ENSOANG00000012712	Ultra69
ENSMODG00000011027	1	ENSOANG00000001633	Ultra272
ENSMODG00000011030	1	ENSOANG00000014787	3
ENSMODG00000011031	2	ENSOANG00000011409	Contig10606
ENSMODG00000011032	1	ENSOANG00000011150	Contig362
ENSMODG00000011033	1	ENSOANG00000001634	Ultra272
ENSMODG00000011038	4	ENSOANG00000003830	Contig3139
ENSMODG00000011039	2	ENSOANG00000012713	Ultra69
ENSMODG00000011040	1	ENSOANG00000001635	Ultra272
ENSMODG00000011041	3	ENSOANG00000001797	3
ENSMODG00000011042	3	ENSOANG00000005622	7
ENSMODG00000011046	3	ENSOANG00000001796	3
ENSMODG00000011047	8	ENSOANG00000003584	Ultra117
