Human	ChrHuman	Mouse	ChrMouse
ENSG00000163331	2	ENSMUSG00000026989	2
ENSG00000163344	1	ENSMUSG00000027952	3
ENSG00000163346	1	ENSMUSG00000042613	3
ENSG00000163347	3	ENSMUSG00000022512	16
ENSG00000163348	1	ENSMUSG00000047824	3
ENSG00000163349	1	ENSMUSG00000008730	3
ENSG00000163352	1	ENSMUSG00000078173	3
ENSG00000163354	1	ENSMUSG00000109293	3
ENSG00000163357	1	ENSMUSG00000042672	3
ENSG00000163359	2	ENSMUSG00000048126	1
ENSG00000163362	1	ENSMUSG00000041605	1
ENSG00000163376	3	ENSMUSG00000030031	6
ENSG00000163377	3	ENSMUSG00000046500	6
ENSG00000163378	3	ENSMUSG00000035245	6
ENSG00000163380	3	ENSMUSG00000044086	6
ENSG00000163382	1	ENSMUSG00000028070	3
ENSG00000163389	3	ENSMUSG00000034064	16
ENSG00000163393	1	ENSMUSG00000033147	3
ENSG00000163394	4	ENSMUSG00000029193	5
ENSG00000163395	1	ENSMUSG00000051985	1
ENSG00000163399	1	ENSMUSG00000033161	3
ENSG00000163406	3	ENSMUSG00000022899	16
ENSG00000163412	3	ENSMUSG00000093661	6
ENSG00000163421	3	ENSMUSG00000030069	6
ENSG00000163428	3	ENSMUSG00000034158	16
ENSG00000163430	3	ENSMUSG00000022816	16
ENSG00000163431	1	ENSMUSG00000048096	1
ENSG00000163435	1	ENSMUSG00000003051	1
ENSG00000163440	4	ENSMUSG00000029235	5
ENSG00000163444	1	ENSMUSG00000042305	1
ENSG00000163449	2	ENSMUSG00000026188	1
ENSG00000163453	4	ENSMUSG00000036256	5
ENSG00000163462	1	ENSMUSG00000042766	3
ENSG00000163463	1	ENSMUSG00000042747	3
ENSG00000163466	2	ENSMUSG00000006304	1
ENSG00000163467	1	ENSMUSG00000010538	3
ENSG00000163468	1	ENSMUSG00000001416	3
ENSG00000163472	1	ENSMUSG00000001420	3
ENSG00000163479	1	ENSMUSG00000041355	3
ENSG00000163481	2	ENSMUSG00000026171	1
ENSG00000163482	2	ENSMUSG00000033276	1
ENSG00000163485	1	ENSMUSG00000042429	1
ENSG00000163491	3	ENSMUSG00000042567	14
ENSG00000163492	2	ENSMUSG00000044033	2
ENSG00000163497	2	ENSMUSG00000055197	1
ENSG00000163499	2	ENSMUSG00000006546	1
ENSG00000163501	2	ENSMUSG00000006538	1
ENSG00000163507	3	ENSMUSG00000033031	16
ENSG00000163508	3	ENSMUSG00000032446	9
ENSG00000163512	3	ENSMUSG00000039285	9
ENSG00000163513	3	ENSMUSG00000032440	9
ENSG00000163516	2	ENSMUSG00000026199	1
ENSG00000163517	3	ENSMUSG00000034245	6
ENSG00000163519	3	ENSMUSG00000030775	16
ENSG00000163520	3	ENSMUSG00000064080	6
ENSG00000163521	2	ENSMUSG00000026200	1
ENSG00000163527	3	ENSMUSG00000032437	9
ENSG00000163530	3	ENSMUSG00000072419	16
ENSG00000163531	1	ENSMUSG00000026442	1
ENSG00000163536	3	ENSMUSG00000027834	3
ENSG00000163539	3	ENSMUSG00000033392	9
ENSG00000163541	2	ENSMUSG00000052738	6
ENSG00000163545	1	ENSMUSG00000009772	1
ENSG00000163554	1	ENSMUSG00000026532	1
ENSG00000163558	3	ENSMUSG00000037643	3
ENSG00000163568	1	ENSMUSG00000037860	1
ENSG00000163576	3	ENSMUSG00000023931	17
ENSG00000163577	3	ENSMUSG00000050192	3
ENSG00000163581	3	ENSMUSG00000027690	3
ENSG00000163584	3	ENSMUSG00000039221	3
ENSG00000163586	2	ENSMUSG00000054422	6
ENSG00000163590	3	ENSMUSG00000027784	3
ENSG00000163596	2	ENSMUSG00000026018	1
ENSG00000163599	2	ENSMUSG00000026011	1
ENSG00000163600	2	ENSMUSG00000026009	1
ENSG00000163602	3	ENSMUSG00000072872	6
ENSG00000163605	3	ENSMUSG00000052144	6
ENSG00000163607	3	ENSMUSG00000022668	16
ENSG00000163608	3	ENSMUSG00000036208	16
ENSG00000163611	3	ENSMUSG00000043065	16
ENSG00000163617	3	ENSMUSG00000022701	16
ENSG00000163618	3	ENSMUSG00000054423	14
ENSG00000163623	4	ENSMUSG00000035187	5
ENSG00000163624	4	ENSMUSG00000029330	5
ENSG00000163625	4	ENSMUSG00000043940	5
ENSG00000163626	4	ENSMUSG00000035505	5
ENSG00000163629	4	ENSMUSG00000034573	5
ENSG00000163630	3	ENSMUSG00000056296	14
ENSG00000163631	4	ENSMUSG00000029368	5
ENSG00000163633	4	ENSMUSG00000029320	5
ENSG00000163634	3	ENSMUSG00000053453	14
ENSG00000163635	3	ENSMUSG00000021738	14
ENSG00000163636	3	ENSMUSG00000021737	14
ENSG00000163637	3	ENSMUSG00000030020	6
ENSG00000163638	3	ENSMUSG00000030022	6
ENSG00000163644	4	ENSMUSG00000037826	6
ENSG00000163645	3	ENSMUSG00000070471	3
ENSG00000163655	3	ENSMUSG00000027823	3
ENSG00000163659	3	ENSMUSG00000034640	3
ENSG00000163660	3	ENSMUSG00000027829	3
ENSG00000163661	3	ENSMUSG00000027832	3
ENSG00000163666	3	ENSMUSG00000040726	14
ENSG00000163673	3	ENSMUSG00000032500	9
ENSG00000163681	3	ENSMUSG00000021870	14
ENSG00000163684	3	ENSMUSG00000023156	14
ENSG00000163686	3	ENSMUSG00000025277	14
ENSG00000163687	3	ENSMUSG00000025279	14
ENSG00000163689	3	ENSMUSG00000021747	14
ENSG00000163694	4	ENSMUSG00000070780	5
ENSG00000163697	4	ENSMUSG00000029207	5
ENSG00000163701	3	ENSMUSG00000043088	6
ENSG00000163702	3	ENSMUSG00000030281	6
ENSG00000163703	3	ENSMUSG00000030284	6
ENSG00000163704	3	ENSMUSG00000045009	6
ENSG00000163705	3	ENSMUSG00000033963	6
ENSG00000163710	3	ENSMUSG00000015354	9
ENSG00000163714	3	ENSMUSG00000032407	9
ENSG00000163719	3	ENSMUSG00000030269	6
ENSG00000163728	3	ENSMUSG00000027677	3
ENSG00000163736	4	ENSMUSG00000029372	5
ENSG00000163738	4	ENSMUSG00000029376	5
ENSG00000163743	4	ENSMUSG00000029397	5
ENSG00000163749	4	ENSMUSG00000050050	5
ENSG00000163751	3	ENSMUSG00000001865	3
ENSG00000163754	3	ENSMUSG00000019528	3
ENSG00000163755	3	ENSMUSG00000027615	3
ENSG00000163781	3	ENSMUSG00000032555	9
ENSG00000163785	3	ENSMUSG00000032547	9
ENSG00000163788	3	ENSMUSG00000038145	9
ENSG00000163792	2	ENSMUSG00000006642	5
ENSG00000163793	2	ENSMUSG00000053856	5
ENSG00000163794	2	ENSMUSG00000038676	5
ENSG00000163795	2	ENSMUSG00000043059	5
ENSG00000163798	2	ENSMUSG00000029141	5
ENSG00000163803	2	ENSMUSG00000029134	5
ENSG00000163806	2	ENSMUSG00000052525	17
ENSG00000163807	3	ENSMUSG00000032551	9
ENSG00000163808	3	ENSMUSG00000036768	9
ENSG00000163810	3	ENSMUSG00000025787	9
ENSG00000163811	2	ENSMUSG00000041057	17
ENSG00000163812	3	ENSMUSG00000025786	9
ENSG00000163814	3	ENSMUSG00000035498	9
ENSG00000163815	3	ENSMUSG00000025784	9
ENSG00000163818	3	ENSMUSG00000025245	9
ENSG00000163820	3	ENSMUSG00000025241	9
ENSG00000163825	3	ENSMUSG00000066319	9
ENSG00000163827	3	ENSMUSG00000032495	9
ENSG00000163832	3	ENSMUSG00000054836	9
ENSG00000163833	3	ENSMUSG00000047746	16
ENSG00000163840	3	ENSMUSG00000049502	16
ENSG00000163848	3	ENSMUSG00000022811	16
ENSG00000163864	3	ENSMUSG00000032456	9
ENSG00000163866	1	ENSMUSG00000042380	4
ENSG00000163867	1	ENSMUSG00000042408	4
ENSG00000163870	3	ENSMUSG00000002871	6
ENSG00000163872	3	ENSMUSG00000041215	16
ENSG00000163873	1	ENSMUSG00000001985	4
ENSG00000163874	1	ENSMUSG00000042677	4
ENSG00000163875	1	ENSMUSG00000028863	4
ENSG00000163877	1	ENSMUSG00000050213	4
ENSG00000163879	1	ENSMUSG00000042707	4
ENSG00000163882	3	ENSMUSG00000021018	16
ENSG00000163884	3	ENSMUSG00000030087	6
ENSG00000163885	3	ENSMUSG00000048794	6
ENSG00000163888	3	ENSMUSG00000051146	16
ENSG00000163898	3	ENSMUSG00000044626	16
ENSG00000163900	3	ENSMUSG00000022856	16
ENSG00000163902	3	ENSMUSG00000030062	6
ENSG00000163904	3	ENSMUSG00000022855	16
ENSG00000163909	1	ENSMUSG00000032744	4
ENSG00000163913	3	ENSMUSG00000030323	6
ENSG00000163914	3	ENSMUSG00000030324	6
ENSG00000163918	3	ENSMUSG00000022881	16
ENSG00000163923	3	ENSMUSG00000039209	16
ENSG00000163930	3	ENSMUSG00000021901	14
ENSG00000163931	3	ENSMUSG00000021957	14
ENSG00000163932	3	ENSMUSG00000021948	14
ENSG00000163933	3	ENSMUSG00000052395	14
ENSG00000163935	3	ENSMUSG00000006527	14
ENSG00000163938	3	ENSMUSG00000042354	14
ENSG00000163939	3	ENSMUSG00000042323	14
ENSG00000163945	4	ENSMUSG00000037355	5
ENSG00000163946	3	ENSMUSG00000040651	14
ENSG00000163947	3	ENSMUSG00000021895	14
ENSG00000163950	4	ENSMUSG00000004642	5
ENSG00000163956	4	ENSMUSG00000029103	5
ENSG00000163958	3	ENSMUSG00000052363	16
ENSG00000163959	3	ENSMUSG00000035699	16
ENSG00000163960	3	ENSMUSG00000053774	16
ENSG00000163961	3	ENSMUSG00000014074	16
ENSG00000163964	3	ENSMUSG00000023791	16
ENSG00000163975	3	ENSMUSG00000022780	16
ENSG00000163982	4	ENSMUSG00000051596	5
ENSG00000163995	4	ENSMUSG00000029095	5
ENSG00000164002	1	ENSMUSG00000028629	4
ENSG00000164007	1	ENSMUSG00000066058	4
ENSG00000164008	1	ENSMUSG00000078584	4
ENSG00000164010	1	ENSMUSG00000028644	4
ENSG00000164011	1	ENSMUSG00000045268	4
ENSG00000164022	4	ENSMUSG00000028029	3
ENSG00000164023	4	ENSMUSG00000050931	3
ENSG00000164024	4	ENSMUSG00000005813	3
ENSG00000164031	4	ENSMUSG00000074212	3
ENSG00000164032	4	ENSMUSG00000037894	3
ENSG00000164035	4	ENSMUSG00000054690	3
ENSG00000164037	4	ENSMUSG00000050150	3
ENSG00000164038	4	ENSMUSG00000037994	3
ENSG00000164039	4	ENSMUSG00000028167	3
ENSG00000164040	4	ENSMUSG00000049940	3
ENSG00000164045	3	ENSMUSG00000032477	9
ENSG00000164047	3	ENSMUSG00000038357	9
ENSG00000164050	3	ENSMUSG00000053646	9
ENSG00000164051	3	ENSMUSG00000025645	9
ENSG00000164054	3	ENSMUSG00000025647	9
ENSG00000164056	4	ENSMUSG00000037211	3
ENSG00000164061	3	ENSMUSG00000032589	9
ENSG00000164062	3	ENSMUSG00000032590	9
ENSG00000164066	4	ENSMUSG00000060798	3
ENSG00000164068	3	ENSMUSG00000041528	9
ENSG00000164070	4	ENSMUSG00000025757	3
ENSG00000164073	4	ENSMUSG00000025759	3
ENSG00000164074	4	ENSMUSG00000037818	3
ENSG00000164076	3	ENSMUSG00000032936	9
ENSG00000164077	3	ENSMUSG00000032583	9
ENSG00000164078	3	ENSMUSG00000032584	9
ENSG00000164080	3	ENSMUSG00000040661	9
ENSG00000164081	3	ENSMUSG00000040813	9
ENSG00000164082	3	ENSMUSG00000023192	9
ENSG00000164086	3	ENSMUSG00000053716	9
ENSG00000164087	3	ENSMUSG00000023345	9
ENSG00000164088	3	ENSMUSG00000020253	9
ENSG00000164089	4	ENSMUSG00000019232	3
ENSG00000164091	3	ENSMUSG00000020257	9
ENSG00000164093	4	ENSMUSG00000028023	3
ENSG00000164096	4	ENSMUSG00000054091	3
ENSG00000164099	4	ENSMUSG00000027978	3
ENSG00000164100	4	ENSMUSG00000027977	3
ENSG00000164104	4	ENSMUSG00000054717	8
ENSG00000164105	4	ENSMUSG00000031609	8
ENSG00000164106	4	ENSMUSG00000031610	8
ENSG00000164107	4	ENSMUSG00000038193	8
ENSG00000164109	4	ENSMUSG00000029910	6
ENSG00000164111	4	ENSMUSG00000027712	3
ENSG00000164113	4	ENSMUSG00000027719	3
ENSG00000164114	4	ENSMUSG00000033900	3
ENSG00000164116	4	ENSMUSG00000033910	3
ENSG00000164117	4	ENSMUSG00000038206	8
ENSG00000164118	4	ENSMUSG00000038215	8
ENSG00000164120	4	ENSMUSG00000031613	8
ENSG00000164122	4	ENSMUSG00000031519	8
ENSG00000164123	4	ENSMUSG00000091685	3
ENSG00000164124	4	ENSMUSG00000027956	3
ENSG00000164125	4	ENSMUSG00000027955	3
ENSG00000164128	4	ENSMUSG00000036437	8
ENSG00000164129	4	ENSMUSG00000044014	8
ENSG00000164134	4	ENSMUSG00000063273	3
ENSG00000164136	4	ENSMUSG00000031712	8
ENSG00000164142	4	ENSMUSG00000051000	3
ENSG00000164151	5	ENSMUSG00000034525	13
ENSG00000164161	4	ENSMUSG00000064325	8
ENSG00000164162	4	ENSMUSG00000036977	8
ENSG00000164163	4	ENSMUSG00000058355	8
ENSG00000164164	4	ENSMUSG00000036990	8
ENSG00000164167	4	ENSMUSG00000031683	8
ENSG00000164168	4	ENSMUSG00000031617	8
ENSG00000164169	4	ENSMUSG00000037134	8
ENSG00000164171	5	ENSMUSG00000015533	13
ENSG00000164172	5	ENSMUSG00000015536	13
ENSG00000164175	5	ENSMUSG00000022243	15
ENSG00000164176	5	ENSMUSG00000034488	13
ENSG00000164180	5	ENSMUSG00000035762	13
ENSG00000164181	5	ENSMUSG00000021696	13
ENSG00000164182	5	ENSMUSG00000068184	13
ENSG00000164185	5	ENSMUSG00000046886	18
ENSG00000164187	5	ENSMUSG00000039704	15
ENSG00000164188	5	ENSMUSG00000048424	15
ENSG00000164190	5	ENSMUSG00000022141	15
ENSG00000164197	5	ENSMUSG00000021720	13
ENSG00000164199	5	ENSMUSG00000069170	13
ENSG00000164209	5	ENSMUSG00000024259	18
ENSG00000164211	5	ENSMUSG00000024378	18
ENSG00000164219	5	ENSMUSG00000024477	18
ENSG00000164220	5	ENSMUSG00000021675	13
ENSG00000164221	5	ENSMUSG00000071855	18
ENSG00000164236	5	ENSMUSG00000022237	15
ENSG00000164237	5	ENSMUSG00000022235	15
ENSG00000164241	5	ENSMUSG00000024592	18
ENSG00000164244	5	ENSMUSG00000024594	18
ENSG00000164251	5	ENSMUSG00000021678	13
ENSG00000164252	5	ENSMUSG00000021681	13
ENSG00000164253	5	ENSMUSG00000042015	13
ENSG00000164256	5	ENSMUSG00000051977	17
ENSG00000164258	5	ENSMUSG00000021764	13
ENSG00000164265	5	ENSMUSG00000038791	18
ENSG00000164266	5	ENSMUSG00000024503	18
ENSG00000164270	5	ENSMUSG00000026322	18
ENSG00000164283	5	ENSMUSG00000042379	13
ENSG00000164284	5	ENSMUSG00000024580	18
ENSG00000164287	5	ENSMUSG00000078926	13
ENSG00000164291	5	ENSMUSG00000021592	13
ENSG00000164292	5	ENSMUSG00000021589	13
ENSG00000164294	5	ENSMUSG00000021760	13
ENSG00000164299	5	ENSMUSG00000046957	13
ENSG00000164300	5	ENSMUSG00000021703	13
ENSG00000164303	4	ENSMUSG00000038173	8
ENSG00000164304	6	ENSMUSG00000044566	13
ENSG00000164305	4	ENSMUSG00000031628	8
ENSG00000164306	4	ENSMUSG00000038225	8
ENSG00000164307	5	ENSMUSG00000021583	13
ENSG00000164309	5	ENSMUSG00000047419	13
ENSG00000164318	5	ENSMUSG00000042961	15
ENSG00000164323	4	ENSMUSG00000031631	8
ENSG00000164325	5	ENSMUSG00000046082	13
ENSG00000164326	5	ENSMUSG00000021647	13
ENSG00000164327	5	ENSMUSG00000050310	15
ENSG00000164329	5	ENSMUSG00000042167	13
ENSG00000164330	5	ENSMUSG00000057098	11
ENSG00000164331	5	ENSMUSG00000021661	13
ENSG00000164332	5	ENSMUSG00000041231	11
ENSG00000164334	5	ENSMUSG00000035420	18
ENSG00000164338	5	ENSMUSG00000041747	13
ENSG00000164342	4	ENSMUSG00000031639	8
ENSG00000164344	4	ENSMUSG00000109764	8
ENSG00000164346	5	ENSMUSG00000060739	13
ENSG00000164347	5	ENSMUSG00000021666	13
ENSG00000164362	5	ENSMUSG00000021611	13
ENSG00000164363	5	ENSMUSG00000021612	13
ENSG00000164366	5	ENSMUSG00000021578	13
ENSG00000164379	6	ENSMUSG00000038415	13
ENSG00000164393	6	ENSMUSG00000057899	17
ENSG00000164400	5	ENSMUSG00000018916	11
ENSG00000164402	5	ENSMUSG00000018398	11
ENSG00000164403	5	ENSMUSG00000018387	11
ENSG00000164404	5	ENSMUSG00000018238	11
ENSG00000164405	5	ENSMUSG00000044894	11
ENSG00000164406	5	ENSMUSG00000036216	11
ENSG00000164414	6	ENSMUSG00000028293	4
ENSG00000164418	6	ENSMUSG00000056073	10
ENSG00000164430	6	ENSMUSG00000032344	9
ENSG00000164434	6	ENSMUSG00000019874	10
ENSG00000164438	5	ENSMUSG00000040610	11
ENSG00000164440	6	ENSMUSG00000039891	10
ENSG00000164442	6	ENSMUSG00000039910	10
ENSG00000164451	6	ENSMUSG00000039508	10
ENSG00000164458	6	ENSMUSG00000062327	17
ENSG00000164463	5	ENSMUSG00000048249	17
ENSG00000164465	6	ENSMUSG00000019891	10
ENSG00000164466	5	ENSMUSG00000021474	13
ENSG00000164483	6	ENSMUSG00000051354	10
ENSG00000164484	6	ENSMUSG00000049420	10
ENSG00000164485	6	ENSMUSG00000039760	10
ENSG00000164488	6	ENSMUSG00000048826	17
ENSG00000164494	6	ENSMUSG00000038240	10
ENSG00000164500	7	ENSMUSG00000020191	11
ENSG00000164506	6	ENSMUSG00000019790	10
ENSG00000164508	6	ENSMUSG00000060081	13
ENSG00000164509	5	ENSMUSG00000050377	13
ENSG00000164512	5	ENSMUSG00000049985	13
ENSG00000164530	6	ENSMUSG00000024011	17
ENSG00000164532	7	ENSMUSG00000031965	9
ENSG00000164535	7	ENSMUSG00000039206	5
ENSG00000164542	7	ENSMUSG00000036411	9
ENSG00000164548	7	ENSMUSG00000029817	6
ENSG00000164574	5	ENSMUSG00000020520	11
ENSG00000164576	5	ENSMUSG00000020519	11
ENSG00000164587	5	ENSMUSG00000024608	18
ENSG00000164588	5	ENSMUSG00000021730	13
ENSG00000164591	5	ENSMUSG00000049173	18
ENSG00000164597	7	ENSMUSG00000035933	12
ENSG00000164600	7	ENSMUSG00000037984	6
ENSG00000164603	7	ENSMUSG00000042742	6
ENSG00000164604	7	ENSMUSG00000048216	6
ENSG00000164609	5	ENSMUSG00000020409	11
ENSG00000164610	7	ENSMUSG00000032239	9
ENSG00000164615	5	ENSMUSG00000021501	13
ENSG00000164619	7	ENSMUSG00000031963	9
ENSG00000164620	5	ENSMUSG00000044024	18
ENSG00000164626	6	ENSMUSG00000023243	14
ENSG00000164627	6	ENSMUSG00000023999	17
ENSG00000164631	7	ENSMUSG00000029587	5
ENSG00000164638	7	ENSMUSG00000050822	5
ENSG00000164645	7	ENSMUSG00000040514	5
ENSG00000164647	7	ENSMUSG00000015652	5
ENSG00000164649	7	ENSMUSG00000021175	12
ENSG00000164651	7	ENSMUSG00000048562	12
ENSG00000164654	7	ENSMUSG00000042447	6
ENSG00000164659	7	ENSMUSG00000056004	5
ENSG00000164663	6	ENSMUSG00000090115	17
ENSG00000164674	6	ENSMUSG00000041831	17
ENSG00000164675	7	ENSMUSG00000046192	6
ENSG00000164683	8	ENSMUSG00000040289	3
ENSG00000164684	8	ENSMUSG00000040209	3
ENSG00000164687	8	ENSMUSG00000027533	3
ENSG00000164690	7	ENSMUSG00000002633	5
ENSG00000164691	6	ENSMUSG00000033450	17
ENSG00000164692	7	ENSMUSG00000029661	6
ENSG00000164694	6	ENSMUSG00000071984	17
ENSG00000164695	8	ENSMUSG00000027536	3
ENSG00000164707	7	ENSMUSG00000029843	6
ENSG00000164708	7	ENSMUSG00000020475	11
ENSG00000164713	7	ENSMUSG00000047843	5
ENSG00000164715	7	ENSMUSG00000038970	5
ENSG00000164733	8	ENSMUSG00000021939	14
ENSG00000164736	8	ENSMUSG00000025902	1
ENSG00000164741	8	ENSMUSG00000031523	8
ENSG00000164742	7	ENSMUSG00000020431	11
ENSG00000164743	8	ENSMUSG00000074384	8
ENSG00000164744	7	ENSMUSG00000040985	11
ENSG00000164746	7	ENSMUSG00000040978	11
ENSG00000164749	8	ENSMUSG00000017688	3
ENSG00000164751	8	ENSMUSG00000040374	3
ENSG00000164754	8	ENSMUSG00000022314	15
ENSG00000164756	8	ENSMUSG00000022315	15
ENSG00000164758	8	ENSMUSG00000038622	15
ENSG00000164761	8	ENSMUSG00000063727	15
ENSG00000164764	8	ENSMUSG00000032719	1
ENSG00000164776	7	ENSMUSG00000025537	5
ENSG00000164778	7	ENSMUSG00000039095	5
ENSG00000164794	8	ENSMUSG00000022342	15
ENSG00000164796	8	ENSMUSG00000022311	15
ENSG00000164808	8	ENSMUSG00000041974	16
ENSG00000164815	7	ENSMUSG00000029012	5
ENSG00000164818	7	ENSMUSG00000025857	5
ENSG00000164823	8	ENSMUSG00000041153	4
ENSG00000164825	8	ENSMUSG00000044748	8
ENSG00000164828	7	ENSMUSG00000036817	5
ENSG00000164830	8	ENSMUSG00000022307	15
ENSG00000164841	8	ENSMUSG00000054409	15
ENSG00000164849	7	ENSMUSG00000044197	5
ENSG00000164850	7	ENSMUSG00000053647	5
ENSG00000164853	7	ENSMUSG00000029546	5
ENSG00000164867	7	ENSMUSG00000028978	5
ENSG00000164877	7	ENSMUSG00000036718	5
ENSG00000164879	8	ENSMUSG00000027559	3
ENSG00000164880	7	ENSMUSG00000029547	5
ENSG00000164885	7	ENSMUSG00000028969	5
ENSG00000164889	7	ENSMUSG00000028962	5
ENSG00000164893	8	ENSMUSG00000041052	4
ENSG00000164896	7	ENSMUSG00000028959	5
ENSG00000164897	7	ENSMUSG00000028958	5
ENSG00000164898	7	ENSMUSG00000019689	6
ENSG00000164900	7	ENSMUSG00000067724	5
ENSG00000164902	5	ENSMUSG00000008301	18
ENSG00000164904	5	ENSMUSG00000053644	18
ENSG00000164916	7	ENSMUSG00000056493	5
ENSG00000164919	8	ENSMUSG00000014313	15
ENSG00000164920	8	ENSMUSG00000022330	15
ENSG00000164929	8	ENSMUSG00000022296	15
ENSG00000164930	8	ENSMUSG00000022297	15
ENSG00000164932	8	ENSMUSG00000054196	15
ENSG00000164933	8	ENSMUSG00000022299	15
ENSG00000164934	8	ENSMUSG00000022300	15
ENSG00000164935	8	ENSMUSG00000022303	15
ENSG00000164938	8	ENSMUSG00000028211	4
ENSG00000164941	8	ENSMUSG00000040738	4
ENSG00000164944	8	ENSMUSG00000040720	4
ENSG00000164946	9	ENSMUSG00000059049	4
ENSG00000164949	8	ENSMUSG00000028214	4
ENSG00000164951	8	ENSMUSG00000049225	4
ENSG00000164953	8	ENSMUSG00000049488	4
ENSG00000164961	8	ENSMUSG00000022350	15
ENSG00000164967	9	ENSMUSG00000036114	4
ENSG00000164970	9	ENSMUSG00000028439	4
ENSG00000164972	9	ENSMUSG00000028441	4
ENSG00000164975	9	ENSMUSG00000028483	4
ENSG00000164976	9	ENSMUSG00000046312	4
ENSG00000164978	9	ENSMUSG00000028443	4
ENSG00000164983	8	ENSMUSG00000062373	15
ENSG00000164985	9	ENSMUSG00000028484	4
ENSG00000164989	9	ENSMUSG00000052407	4
ENSG00000165006	9	ENSMUSG00000028437	4
ENSG00000165023	9	ENSMUSG00000047842	13
ENSG00000165025	9	ENSMUSG00000021457	13
ENSG00000165029	9	ENSMUSG00000015243	4
ENSG00000165030	9	ENSMUSG00000056749	13
ENSG00000165046	8	ENSMUSG00000037363	8
ENSG00000165059	9	ENSMUSG00000005469	8
ENSG00000165060	9	ENSMUSG00000059363	19
ENSG00000165061	8	ENSMUSG00000037492	8
ENSG00000165071	8	ENSMUSG00000036944	15
ENSG00000165072	9	ENSMUSG00000033207	19
ENSG00000165076	7	ENSMUSG00000029909	6
ENSG00000165078	8	ENSMUSG00000042501	1
ENSG00000165084	8	ENSMUSG00000057715	1
ENSG00000165091	9	ENSMUSG00000024749	19
ENSG00000165097	6	ENSMUSG00000038080	13
ENSG00000165102	8	ENSMUSG00000037260	8
ENSG00000165105	9	ENSMUSG00000043003	4
ENSG00000165113	9	ENSMUSG00000021552	13
ENSG00000165115	9	ENSMUSG00000060176	13
ENSG00000165118	9	ENSMUSG00000021550	13
ENSG00000165119	9	ENSMUSG00000021546	13
ENSG00000165120	7	ENSMUSG00000029784	6
ENSG00000165124	9	ENSMUSG00000028369	4
ENSG00000165125	7	ENSMUSG00000029868	6
ENSG00000165131	7	ENSMUSG00000029867	6
ENSG00000165138	9	ENSMUSG00000066191	4
ENSG00000165140	9	ENSMUSG00000069805	13
ENSG00000165152	9	ENSMUSG00000039611	4
ENSG00000165156	8	ENSMUSG00000022361	15
ENSG00000165164	X	ENSMUSG00000073077	X
ENSG00000165168	X	ENSMUSG00000015340	X
ENSG00000165169	X	ENSMUSG00000031176	X
ENSG00000165171	7	ENSMUSG00000040557	5
ENSG00000165175	X	ENSMUSG00000008035	X
ENSG00000165181	9	ENSMUSG00000038598	4
ENSG00000165185	9	ENSMUSG00000045071	4
ENSG00000165186	X	ENSMUSG00000041552	X
ENSG00000165188	9	ENSMUSG00000063851	4
ENSG00000165192	X	ENSMUSG00000031382	X
ENSG00000165194	X	ENSMUSG00000051323	X
ENSG00000165195	X	ENSMUSG00000031381	X
ENSG00000165197	X	ENSMUSG00000031380	X
ENSG00000165202	9	ENSMUSG00000055838	2
ENSG00000165209	9	ENSMUSG00000026915	2
ENSG00000165215	7	ENSMUSG00000070473	5
ENSG00000165219	9	ENSMUSG00000026867	2
ENSG00000165233	9	ENSMUSG00000037960	13
ENSG00000165238	9	ENSMUSG00000037989	13
ENSG00000165240	X	ENSMUSG00000033792	X
ENSG00000165244	9	ENSMUSG00000044934	13
ENSG00000165259	X	ENSMUSG00000034551	X
ENSG00000165264	9	ENSMUSG00000071014	4
ENSG00000165271	9	ENSMUSG00000028430	4
ENSG00000165272	9	ENSMUSG00000028435	4
ENSG00000165275	9	ENSMUSG00000035601	4
ENSG00000165280	9	ENSMUSG00000028452	4
ENSG00000165282	9	ENSMUSG00000028454	4
ENSG00000165283	9	ENSMUSG00000028455	4
ENSG00000165288	X	ENSMUSG00000063663	X
ENSG00000165300	13	ENSMUSG00000033214	14
ENSG00000165304	9	ENSMUSG00000035683	4
ENSG00000165309	10	ENSMUSG00000037683	2
ENSG00000165312	10	ENSMUSG00000043415	2
ENSG00000165322	10	ENSMUSG00000041225	18
ENSG00000165323	11	ENSMUSG00000074505	9
ENSG00000165325	11	ENSMUSG00000039977	9
ENSG00000165338	10	ENSMUSG00000041180	19
ENSG00000165349	X	ENSMUSG00000031297	X
ENSG00000165355	14	ENSMUSG00000035329	12
ENSG00000165359	X	ENSMUSG00000035967	X
ENSG00000165370	X	ENSMUSG00000036357	X
ENSG00000165376	X	ENSMUSG00000047230	X
ENSG00000165379	14	ENSMUSG00000035653	12
ENSG00000165383	10	ENSMUSG00000041673	14
ENSG00000165389	14	ENSMUSG00000044408	12
ENSG00000165392	8	ENSMUSG00000031583	8
ENSG00000165406	10	ENSMUSG00000025702	6
ENSG00000165409	14	ENSMUSG00000020963	12
ENSG00000165410	14	ENSMUSG00000062929	12
ENSG00000165416	13	ENSMUSG00000022024	14
ENSG00000165424	10	ENSMUSG00000055538	14
ENSG00000165434	11	ENSMUSG00000030729	7
ENSG00000165443	10	ENSMUSG00000037747	10
ENSG00000165449	10	ENSMUSG00000037762	10
ENSG00000165458	11	ENSMUSG00000032737	7
ENSG00000165462	11	ENSMUSG00000007946	7
ENSG00000165471	10	ENSMUSG00000024863	19
ENSG00000165474	13	ENSMUSG00000046352	14
