Mouse	ChrMouse	Chicken	ChrChicken
ENSMUSG00000031355	X	ENSGALG00000016602	1
ENSMUSG00000031357	X	ENSGALG00000016548	1
ENSMUSG00000031360	X	ENSGALG00000016549	1
ENSMUSG00000031364	X	ENSGALG00000027960	1
ENSMUSG00000031367	X	ENSGALG00000016551	1
ENSMUSG00000031377	X	ENSGALG00000016557	1
ENSMUSG00000031380	X	ENSGALG00000016558	1
ENSMUSG00000031381	X	ENSGALG00000016559	1
ENSMUSG00000031382	X	ENSGALG00000016562	1
ENSMUSG00000031384	X	ENSGALG00000016563	1
ENSMUSG00000031390	X	ENSGALG00000009497	1
ENSMUSG00000031394	X	ENSGALG00000004924	19
ENSMUSG00000031402	X	ENSGALG00000005071	4
ENSMUSG00000031403	X	ENSGALG00000005054	4
ENSMUSG00000031425	X	ENSGALG00000000112	4
ENSMUSG00000031429	X	ENSGALG00000008287	4
ENSMUSG00000031430	X	ENSGALG00000008290	4
ENSMUSG00000031431	X	ENSGALG00000027069	4
ENSMUSG00000031433	X	ENSGALG00000004832	4
ENSMUSG00000031441	8	ENSGALG00000041644	1
ENSMUSG00000031442	8	ENSGALG00000016834	1
ENSMUSG00000031443	8	ENSGALG00000016833	1
ENSMUSG00000031444	8	ENSGALG00000026677	1
ENSMUSG00000031445	8	ENSGALG00000016832	1
ENSMUSG00000031446	8	ENSGALG00000016830	1
ENSMUSG00000031447	8	ENSGALG00000037697	1
ENSMUSG00000031448	8	ENSGALG00000016826	1
ENSMUSG00000031449	8	ENSGALG00000016822	1
ENSMUSG00000031451	8	ENSGALG00000016820	1
ENSMUSG00000031453	8	ENSGALG00000016817	1
ENSMUSG00000031461	8	ENSGALG00000016342	3
ENSMUSG00000031465	8	ENSGALG00000036189	3
ENSMUSG00000031467	8	ENSGALG00000016329	3
ENSMUSG00000031478	8	ENSGALG00000017024	1
ENSMUSG00000031479	8	ENSGALG00000017026	1
ENSMUSG00000031480	8	ENSGALG00000028083	1
ENSMUSG00000031481	8	ENSGALG00000017031	1
ENSMUSG00000031483	8	ENSGALG00000003092	22
ENSMUSG00000031485	8	ENSGALG00000003101	22
ENSMUSG00000031486	8	ENSGALG00000003118	22
ENSMUSG00000031487	8	ENSGALG00000003124	22
ENSMUSG00000031488	8	ENSGALG00000003129	22
ENSMUSG00000031489	8	ENSGALG00000019018	22
ENSMUSG00000031490	8	ENSGALG00000003205	22
ENSMUSG00000031491	8	ENSGALG00000015382	Z
ENSMUSG00000031492	8	ENSGALG00000015384	Z
ENSMUSG00000031502	8	ENSGALG00000036798	1
ENSMUSG00000031503	8	ENSGALG00000016843	1
ENSMUSG00000031504	8	ENSGALG00000016844	1
ENSMUSG00000031505	8	ENSGALG00000016845	1
ENSMUSG00000031506	1	ENSGALG00000036093	26
ENSMUSG00000031508	8	ENSGALG00000030125	1
ENSMUSG00000031511	8	ENSGALG00000031009	1
ENSMUSG00000031513	8	ENSGALG00000024482	4
ENSMUSG00000031516	8	ENSGALG00000010298	4
ENSMUSG00000031517	8	ENSGALG00000043480	4
ENSMUSG00000031518	8	ENSGALG00000010822	4
ENSMUSG00000031519	8	ENSGALG00000010837	4
ENSMUSG00000031520	8	ENSGALG00000010847	4
ENSMUSG00000031521	8	ENSGALG00000010716	4
ENSMUSG00000031523	8	ENSGALG00000013715	4
ENSMUSG00000031527	8	ENSGALG00000011448	4
ENSMUSG00000031529	8	ENSGALG00000043164	4
ENSMUSG00000031530	8	ENSGALG00000011419	4
ENSMUSG00000031532	8	ENSGALG00000011395	4
ENSMUSG00000031533	8	ENSGALG00000017033	1
ENSMUSG00000031534	8	ENSGALG00000029508	4
ENSMUSG00000031536	8	ENSGALG00000040828	AADN04001368.1
ENSMUSG00000031537	8	ENSGALG00000031832	22
ENSMUSG00000031538	8	ENSGALG00000003709	22
ENSMUSG00000031539	8	ENSGALG00000038155	22
ENSMUSG00000031540	8	ENSGALG00000003641	22
ENSMUSG00000031543	8	ENSGALG00000003594	22
ENSMUSG00000031545	8	ENSGALG00000003518	22
ENSMUSG00000031546	8	ENSGALG00000045374	22
ENSMUSG00000031548	8	ENSGALG00000003473	22
ENSMUSG00000031555	8	ENSGALG00000003398	22
ENSMUSG00000031556	8	ENSGALG00000003356	22
ENSMUSG00000031557	8	ENSGALG00000003349	22
ENSMUSG00000031558	5	ENSGALG00000041121	4
ENSMUSG00000031561	8	ENSGALG00000030065	4
ENSMUSG00000031562	8	ENSGALG00000010674	4
ENSMUSG00000031563	8	ENSGALG00000010668	4
ENSMUSG00000031565	8	ENSGALG00000039786	22
ENSMUSG00000031568	8	ENSGALG00000010658	4
ENSMUSG00000031570	8	ENSGALG00000044574	22
ENSMUSG00000031574	8	ENSGALG00000003242	22
ENSMUSG00000031575	8	ENSGALG00000003233	22
ENSMUSG00000031576	8	ENSGALG00000045668	22
ENSMUSG00000031577	8	ENSGALG00000001651	22
ENSMUSG00000031578	8	ENSGALG00000001663	22
ENSMUSG00000031583	8	ENSGALG00000040909	4
ENSMUSG00000031584	8	ENSGALG00000037781	4
ENSMUSG00000031585	8	ENSGALG00000010283	4
ENSMUSG00000031586	8	ENSGALG00000010291	4
ENSMUSG00000031590	8	ENSGALG00000013590	4
ENSMUSG00000031591	8	ENSGALG00000026364	4
ENSMUSG00000031592	8	ENSGALG00000013602	4
ENSMUSG00000031594	8	ENSGALG00000013606	4
ENSMUSG00000031595	8	ENSGALG00000013617	4
ENSMUSG00000031596	8	ENSGALG00000013627	4
ENSMUSG00000031600	8	ENSGALG00000013646	4
ENSMUSG00000031601	8	ENSGALG00000013649	4
ENSMUSG00000031603	8	ENSGALG00000013663	4
ENSMUSG00000031604	8	ENSGALG00000009560	4
ENSMUSG00000031605	8	ENSGALG00000009554	4
ENSMUSG00000031608	8	ENSGALG00000010744	4
ENSMUSG00000031609	8	ENSGALG00000036252	4
ENSMUSG00000031610	8	ENSGALG00000010755	4
ENSMUSG00000031613	8	ENSGALG00000010769	4
ENSMUSG00000031616	8	ENSGALG00000010013	4
ENSMUSG00000031617	8	ENSGALG00000010019	4
ENSMUSG00000031618	8	ENSGALG00000010035	4
ENSMUSG00000031620	8	ENSGALG00000043861	4
ENSMUSG00000031621	8	ENSGALG00000012557	1
ENSMUSG00000031622	8	ENSGALG00000003771	28
ENSMUSG00000031626	8	ENSGALG00000013427	4
ENSMUSG00000031627	8	ENSGALG00000010642	4
ENSMUSG00000031628	8	ENSGALG00000010638	4
ENSMUSG00000031629	8	ENSGALG00000020210	4
ENSMUSG00000031631	8	ENSGALG00000010611	4
ENSMUSG00000031633	8	ENSGALG00000010614	4
ENSMUSG00000031634	8	ENSGALG00000010601	4
ENSMUSG00000031635	8	ENSGALG00000009573	4
ENSMUSG00000031636	8	ENSGALG00000013414	4
ENSMUSG00000031637	8	ENSGALG00000045063	4
ENSMUSG00000031639	8	ENSGALG00000013468	4
ENSMUSG00000031641	8	ENSGALG00000009714	4
ENSMUSG00000031642	8	ENSGALG00000009692	4
ENSMUSG00000031644	8	ENSGALG00000009683	4
ENSMUSG00000031647	8	ENSGALG00000009667	4
ENSMUSG00000031652	8	ENSGALG00000003907	11
ENSMUSG00000031654	8	ENSGALG00000042664	11
ENSMUSG00000031657	8	ENSGALG00000041613	11
ENSMUSG00000031659	8	ENSGALG00000003837	11
ENSMUSG00000031660	8	ENSGALG00000003786	11
ENSMUSG00000031661	8	ENSGALG00000003767	11
ENSMUSG00000031662	8	ENSGALG00000038374	11
ENSMUSG00000031665	8	ENSGALG00000039238	11
ENSMUSG00000031667	8	ENSGALG00000033378	11
ENSMUSG00000031668	6	ENSGALG00000015958	4
ENSMUSG00000031669	8	ENSGALG00000031209	11
ENSMUSG00000031671	8	ENSGALG00000002247	11
ENSMUSG00000031672	8	ENSGALG00000002321	11
ENSMUSG00000031673	8	ENSGALG00000039985	11
ENSMUSG00000031681	8	ENSGALG00000009977	4
ENSMUSG00000031683	8	ENSGALG00000009985	4
ENSMUSG00000031684	8	ENSGALG00000010006	4
ENSMUSG00000031691	8	ENSGALG00000037527	AADN04003444.1
ENSMUSG00000031696	8	ENSGALG00000004375	11
ENSMUSG00000031697	8	ENSGALG00000004342	11
ENSMUSG00000031698	8	ENSGALG00000004334	11
ENSMUSG00000031700	8	ENSGALG00000033338	11
ENSMUSG00000031701	8	ENSGALG00000004115	11
ENSMUSG00000031703	8	ENSGALG00000004049	11
ENSMUSG00000031709	8	ENSGALG00000009855	4
ENSMUSG00000031711	8	ENSGALG00000009868	4
ENSMUSG00000031712	8	ENSGALG00000009870	4
ENSMUSG00000031714	8	ENSGALG00000009898	4
ENSMUSG00000031715	8	ENSGALG00000009913	4
ENSMUSG00000031723	8	ENSGALG00000015327	1
ENSMUSG00000031728	8	ENSGALG00000000817	11
ENSMUSG00000031729	8	ENSGALG00000000811	11
ENSMUSG00000031730	8	ENSGALG00000000802	11
ENSMUSG00000031731	8	ENSGALG00000000848	11
ENSMUSG00000031732	8	ENSGALG00000000875	11
ENSMUSG00000031734	8	ENSGALG00000042045	11
ENSMUSG00000031737	8	ENSGALG00000003588	11
ENSMUSG00000031738	8	ENSGALG00000023738	11
ENSMUSG00000031740	8	ENSGALG00000003580	11
ENSMUSG00000031748	8	ENSGALG00000003163	11
ENSMUSG00000031749	8	ENSGALG00000002651	11
ENSMUSG00000031750	8	ENSGALG00000028466	11
ENSMUSG00000031751	8	ENSGALG00000003107	11
ENSMUSG00000031754	8	ENSGALG00000003084	11
ENSMUSG00000031755	8	ENSGALG00000042415	11
ENSMUSG00000031756	8	ENSGALG00000013494	11
ENSMUSG00000031758	8	ENSGALG00000012978	11
ENSMUSG00000031766	8	ENSGALG00000002957	11
ENSMUSG00000031767	8	ENSGALG00000034395	11
ENSMUSG00000031770	8	ENSGALG00000001220	11
ENSMUSG00000031774	8	ENSGALG00000021473	11
ENSMUSG00000031775	8	ENSGALG00000001391	11
ENSMUSG00000031781	8	ENSGALG00000029268	11
ENSMUSG00000031782	8	ENSGALG00000001184	11
ENSMUSG00000031783	8	ENSGALG00000001168	11
ENSMUSG00000031785	8	ENSGALG00000037939	11
ENSMUSG00000031786	8	ENSGALG00000030160	11
ENSMUSG00000031787	8	ENSGALG00000034373	11
ENSMUSG00000031788	8	ENSGALG00000043034	11
ENSMUSG00000031789	8	ENSGALG00000042647	11
ENSMUSG00000031790	8	ENSGALG00000038758	11
ENSMUSG00000031791	8	ENSGALG00000003778	28
ENSMUSG00000031792	8	ENSGALG00000035604	11
ENSMUSG00000031796	8	ENSGALG00000032634	11
ENSMUSG00000031799	8	ENSGALG00000002563	28
ENSMUSG00000031805	8	ENSGALG00000033234	28
ENSMUSG00000031807	8	ENSGALG00000030533	AADN04000659.1
ENSMUSG00000031808	8	ENSGALG00000040553	AADN04000659.1
ENSMUSG00000031812	8	ENSGALG00000043105	11
ENSMUSG00000031813	8	ENSGALG00000042661	AADN04000744.1
ENSMUSG00000031816	8	ENSGALG00000033322	11
ENSMUSG00000031818	8	ENSGALG00000005749	11
ENSMUSG00000031820	8	ENSGALG00000038189	28
ENSMUSG00000031821	8	ENSGALG00000033063	11
ENSMUSG00000031823	8	ENSGALG00000042522	11
ENSMUSG00000031824	8	ENSGALG00000025938	11
ENSMUSG00000031825	8	ENSGALG00000032143	11
ENSMUSG00000031826	8	ENSGALG00000005674	11
ENSMUSG00000031827	8	ENSGALG00000017644	11
ENSMUSG00000031828	8	ENSGALG00000005651	11
ENSMUSG00000031831	8	ENSGALG00000003258	11
ENSMUSG00000031832	8	ENSGALG00000025868	Z
ENSMUSG00000031833	8	ENSGALG00000003499	28
ENSMUSG00000031834	8	ENSGALG00000003428	28
ENSMUSG00000031835	8	ENSGALG00000003293	11
ENSMUSG00000031837	8	ENSGALG00000003309	11
ENSMUSG00000031838	8	ENSGALG00000033694	28
ENSMUSG00000031839	8	ENSGALG00000043039	11
ENSMUSG00000031840	8	ENSGALG00000030068	28
ENSMUSG00000031841	8	ENSGALG00000005483	11
ENSMUSG00000031842	8	ENSGALG00000037029	28
ENSMUSG00000031843	8	ENSGALG00000031983	11
ENSMUSG00000031844	8	ENSGALG00000005467	11
ENSMUSG00000031845	8	ENSGALG00000005408	11
ENSMUSG00000031848	8	ENSGALG00000003385	28
ENSMUSG00000031849	8	ENSGALG00000003283	28
ENSMUSG00000031851	8	ENSGALG00000011015	3
ENSMUSG00000031853	8	ENSGALG00000011008	3
ENSMUSG00000031858	8	ENSGALG00000002969	28
ENSMUSG00000031860	8	ENSGALG00000034076	AADN04000744.1
ENSMUSG00000031861	8	ENSGALG00000042767	AADN04000744.1
ENSMUSG00000031862	8	ENSGALG00000032815	AADN04000744.1
ENSMUSG00000031864	8	ENSGALG00000010130	4
ENSMUSG00000031865	6	ENSGALG00000035156	AADN04000623.1
ENSMUSG00000031870	9	ENSGALG00000017195	1
ENSMUSG00000031871	8	ENSGALG00000032349	11
ENSMUSG00000031872	8	ENSGALG00000005266	11
ENSMUSG00000031875	8	ENSGALG00000000424	11
ENSMUSG00000031879	8	ENSGALG00000005132	11
ENSMUSG00000031880	8	ENSGALG00000005140	11
ENSMUSG00000031883	8	ENSGALG00000033720	11
ENSMUSG00000031885	8	ENSGALG00000003169	11
ENSMUSG00000031887	8	ENSGALG00000003195	11
ENSMUSG00000031889	8	ENSGALG00000003183	11
ENSMUSG00000031891	8	ENSGALG00000028326	11
ENSMUSG00000031893	8	ENSGALG00000001533	11
ENSMUSG00000031896	8	ENSGALG00000035368	11
ENSMUSG00000031902	8	ENSGALG00000003396	11
ENSMUSG00000031903	8	ENSGALG00000041787	11
ENSMUSG00000031904	8	ENSGALG00000029324	11
ENSMUSG00000031906	8	ENSGALG00000034950	11
ENSMUSG00000031910	8	ENSGALG00000000630	11
ENSMUSG00000031913	8	ENSGALG00000040713	11
ENSMUSG00000031916	8	ENSGALG00000043126	11
ENSMUSG00000031917	8	ENSGALG00000000650	11
ENSMUSG00000031918	9	ENSGALG00000017200	1
ENSMUSG00000031919	8	ENSGALG00000000654	11
ENSMUSG00000031922	9	ENSGALG00000017201	1
ENSMUSG00000031924	8	ENSGALG00000000660	11
ENSMUSG00000031925	9	ENSGALG00000017199	1
ENSMUSG00000031928	9	ENSGALG00000017211	1
ENSMUSG00000031930	8	ENSGALG00000000699	11
ENSMUSG00000031931	9	ENSGALG00000017210	1
ENSMUSG00000031932	9	ENSGALG00000017212	1
ENSMUSG00000031934	9	ENSGALG00000039751	1
ENSMUSG00000031935	9	ENSGALG00000017218	1
ENSMUSG00000031936	9	ENSGALG00000043027	1
ENSMUSG00000031937	9	ENSGALG00000017217	1
ENSMUSG00000031938	9	ENSGALG00000017219	1
ENSMUSG00000031939	9	ENSGALG00000017220	1
ENSMUSG00000031948	8	ENSGALG00000000907	11
ENSMUSG00000031949	8	ENSGALG00000000908	11
ENSMUSG00000031950	8	ENSGALG00000003208	11
ENSMUSG00000031951	8	ENSGALG00000003219	11
ENSMUSG00000031953	8	ENSGALG00000002861	11
ENSMUSG00000031954	8	ENSGALG00000002853	11
ENSMUSG00000031955	8	ENSGALG00000042895	11
ENSMUSG00000031958	8	ENSGALG00000023828	11
ENSMUSG00000031959	8	ENSGALG00000002798	11
ENSMUSG00000031960	8	ENSGALG00000001965	11
ENSMUSG00000031962	8	ENSGALG00000030040	11
ENSMUSG00000031963	9	ENSGALG00000029811	2
ENSMUSG00000031965	9	ENSGALG00000032097	2
ENSMUSG00000031969	9	ENSGALG00000001557	24
ENSMUSG00000031970	8	ENSGALG00000000528	11
ENSMUSG00000031971	8	ENSGALG00000011084	3
ENSMUSG00000031974	8	ENSGALG00000011096	3
ENSMUSG00000031976	8	ENSGALG00000011101	3
ENSMUSG00000031979	8	ENSGALG00000011114	3
ENSMUSG00000031980	8	ENSGALG00000011117	3
ENSMUSG00000031982	8	ENSGALG00000011155	3
ENSMUSG00000031983	8	ENSGALG00000026600	3
ENSMUSG00000031984	8	ENSGALG00000044278	3
ENSMUSG00000031985	8	ENSGALG00000011163	3
ENSMUSG00000031986	8	ENSGALG00000011065	3
ENSMUSG00000031987	8	ENSGALG00000041422	3
ENSMUSG00000031988	9	ENSGALG00000001521	24
ENSMUSG00000031990	9	ENSGALG00000001472	24
ENSMUSG00000031993	9	ENSGALG00000001425	24
ENSMUSG00000031994	9	ENSGALG00000001370	24
ENSMUSG00000031995	9	ENSGALG00000001331	24
ENSMUSG00000031996	9	ENSGALG00000001250	24
ENSMUSG00000031997	9	ENSGALG00000029416	1
ENSMUSG00000032002	9	ENSGALG00000017181	1
ENSMUSG00000032006	9	ENSGALG00000017179	1
ENSMUSG00000032010	9	ENSGALG00000006755	24
ENSMUSG00000032011	9	ENSGALG00000006751	24
ENSMUSG00000032012	9	ENSGALG00000039196	24
ENSMUSG00000032013	9	ENSGALG00000042360	24
ENSMUSG00000032014	9	ENSGALG00000006715	24
ENSMUSG00000032015	9	ENSGALG00000006673	24
ENSMUSG00000032017	9	ENSGALG00000006638	24
ENSMUSG00000032018	9	ENSGALG00000037065	24
ENSMUSG00000032020	9	ENSGALG00000006567	24
ENSMUSG00000032021	9	ENSGALG00000006527	24
ENSMUSG00000032024	9	ENSGALG00000006507	24
ENSMUSG00000032026	9	ENSGALG00000035980	24
ENSMUSG00000032030	9	ENSGALG00000017165	1
ENSMUSG00000032033	9	ENSGALG00000029382	24
ENSMUSG00000032034	9	ENSGALG00000001181	24
ENSMUSG00000032035	9	ENSGALG00000001143	24
ENSMUSG00000032036	9	ENSGALG00000029197	24
ENSMUSG00000032038	9	ENSGALG00000029747	24
ENSMUSG00000032040	9	ENSGALG00000031143	24
ENSMUSG00000032041	9	ENSGALG00000040224	24
ENSMUSG00000032042	9	ENSGALG00000030759	24
ENSMUSG00000032044	9	ENSGALG00000024326	24
ENSMUSG00000032046	2	ENSGALG00000008525	3
ENSMUSG00000032047	9	ENSGALG00000017163	1
ENSMUSG00000032050	9	ENSGALG00000017153	1
ENSMUSG00000032051	9	ENSGALG00000026507	1
ENSMUSG00000032053	9	ENSGALG00000006809	24
ENSMUSG00000032056	9	ENSGALG00000007618	24
ENSMUSG00000032057	9	ENSGALG00000046141	24
ENSMUSG00000032059	9	ENSGALG00000021174	24
ENSMUSG00000032060	9	ENSGALG00000007945	24
ENSMUSG00000032062	9	ENSGALG00000032467	24
ENSMUSG00000032064	9	ENSGALG00000007929	24
ENSMUSG00000032066	9	ENSGALG00000007868	24
ENSMUSG00000032067	9	ENSGALG00000007848	24
ENSMUSG00000032076	9	ENSGALG00000014582	24
ENSMUSG00000032078	9	ENSGALG00000007101	24
ENSMUSG00000032079	9	ENSGALG00000014368	24
ENSMUSG00000032080	9	ENSGALG00000007109	24
ENSMUSG00000032083	9	ENSGALG00000007114	24
ENSMUSG00000032085	9	ENSGALG00000011902	24
ENSMUSG00000032086	9	ENSGALG00000007298	24
ENSMUSG00000032087	9	ENSGALG00000007314	24
ENSMUSG00000032089	9	ENSGALG00000032260	24
ENSMUSG00000032091	9	ENSGALG00000007406	24
ENSMUSG00000032092	9	ENSGALG00000007412	24
ENSMUSG00000032093	9	ENSGALG00000007416	24
ENSMUSG00000032096	9	ENSGALG00000007430	24
ENSMUSG00000032097	9	ENSGALG00000033064	24
ENSMUSG00000032103	9	ENSGALG00000000962	24
ENSMUSG00000032105	9	ENSGALG00000006779	24
ENSMUSG00000032109	9	ENSGALG00000044053	24
ENSMUSG00000032112	9	ENSGALG00000007707	24
ENSMUSG00000032113	9	ENSGALG00000042418	24
ENSMUSG00000032114	9	ENSGALG00000007716	24
ENSMUSG00000032115	9	ENSGALG00000007659	24
ENSMUSG00000032116	9	ENSGALG00000042730	24
ENSMUSG00000032118	9	ENSGALG00000038885	24
ENSMUSG00000032119	9	ENSGALG00000006806	24
ENSMUSG00000032120	9	ENSGALG00000034014	24
ENSMUSG00000032122	9	ENSGALG00000035842	24
ENSMUSG00000032123	9	ENSGALG00000032420	24
ENSMUSG00000032125	9	ENSGALG00000043088	24
ENSMUSG00000032126	9	ENSGALG00000042939	24
ENSMUSG00000032127	9	ENSGALG00000029536	24
ENSMUSG00000032128	9	ENSGALG00000045816	24
ENSMUSG00000032131	9	ENSGALG00000006795	24
ENSMUSG00000032135	9	ENSGALG00000030027	24
ENSMUSG00000032172	9	ENSGALG00000041272	AADN04001978.1
ENSMUSG00000032178	9	ENSGALG00000030351	AADN04003179.1
ENSMUSG00000032179	9	ENSGALG00000016293	3
ENSMUSG00000032181	9	ENSGALG00000043583	10
ENSMUSG00000032184	9	ENSGALG00000018976	10
ENSMUSG00000032186	9	ENSGALG00000004740	10
ENSMUSG00000032192	9	ENSGALG00000039307	10
ENSMUSG00000032199	9	ENSGALG00000034550	10
ENSMUSG00000032202	9	ENSGALG00000004435	10
ENSMUSG00000032204	9	ENSGALG00000004261	10
ENSMUSG00000032207	9	ENSGALG00000004230	10
ENSMUSG00000032212	9	ENSGALG00000004192	10
ENSMUSG00000032215	9	ENSGALG00000032858	10
ENSMUSG00000032216	9	ENSGALG00000004347	10
ENSMUSG00000032217	9	ENSGALG00000004171	10
ENSMUSG00000032218	9	ENSGALG00000004161	10
ENSMUSG00000032220	9	ENSGALG00000004150	10
ENSMUSG00000032221	9	ENSGALG00000013893	10
ENSMUSG00000032224	9	ENSGALG00000004103	10
ENSMUSG00000032226	9	ENSGALG00000044940	10
ENSMUSG00000032228	9	ENSGALG00000004304	10
ENSMUSG00000032231	9	ENSGALG00000003770	10
ENSMUSG00000032235	9	ENSGALG00000046000	10
ENSMUSG00000032238	9	ENSGALG00000003759	10
ENSMUSG00000032239	9	ENSGALG00000035453	2
ENSMUSG00000032243	9	ENSGALG00000008007	10
ENSMUSG00000032244	9	ENSGALG00000028906	10
ENSMUSG00000032245	9	ENSGALG00000007981	10
ENSMUSG00000032246	9	ENSGALG00000007979	10
ENSMUSG00000032251	9	ENSGALG00000015892	3
ENSMUSG00000032252	9	ENSGALG00000028191	10
ENSMUSG00000032253	9	ENSGALG00000015889	3
ENSMUSG00000032254	9	ENSGALG00000008095	10
ENSMUSG00000032257	9	ENSGALG00000007815	24
ENSMUSG00000032258	9	ENSGALG00000015878	3
ENSMUSG00000032259	9	ENSGALG00000007794	24
ENSMUSG00000032261	9	ENSGALG00000015877	3
ENSMUSG00000032262	9	ENSGALG00000015876	3
ENSMUSG00000032263	9	ENSGALG00000040702	3
ENSMUSG00000032264	9	ENSGALG00000040155	24
ENSMUSG00000032265	9	ENSGALG00000035903	3
ENSMUSG00000032267	9	ENSGALG00000006969	24
ENSMUSG00000032269	9	ENSGALG00000007004	24
ENSMUSG00000032274	9	ENSGALG00000013294	10
ENSMUSG00000032278	9	ENSGALG00000008077	10
ENSMUSG00000032279	9	ENSGALG00000037401	10
ENSMUSG00000032280	9	ENSGALG00000008120	10
ENSMUSG00000032281	9	ENSGALG00000003286	10
ENSMUSG00000032285	9	ENSGALG00000036850	10
ENSMUSG00000032289	9	ENSGALG00000004087	10
ENSMUSG00000032290	9	ENSGALG00000001664	10
ENSMUSG00000032291	9	ENSGALG00000003193	10
ENSMUSG00000032292	9	ENSGALG00000002093	10
ENSMUSG00000032293	9	ENSGALG00000035462	10
ENSMUSG00000032294	9	ENSGALG00000001992	10
ENSMUSG00000032295	9	ENSGALG00000001615	10
ENSMUSG00000032298	9	ENSGALG00000001586	10
ENSMUSG00000032299	9	ENSGALG00000001572	10
ENSMUSG00000032300	9	ENSGALG00000027805	10
ENSMUSG00000032301	9	ENSGALG00000003046	10
ENSMUSG00000032303	9	ENSGALG00000003014	10
ENSMUSG00000032306	9	ENSGALG00000029296	10
ENSMUSG00000032308	9	ENSGALG00000032215	10
ENSMUSG00000032309	9	ENSGALG00000039897	10
ENSMUSG00000032311	9	ENSGALG00000002952	10
ENSMUSG00000032312	9	ENSGALG00000031270	10
ENSMUSG00000032313	9	ENSGALG00000002945	10
ENSMUSG00000032314	9	ENSGALG00000002925	10
ENSMUSG00000032316	9	ENSGALG00000001362	10
ENSMUSG00000032318	9	ENSGALG00000033391	10
ENSMUSG00000032320	9	ENSGALG00000039284	10
ENSMUSG00000032322	9	ENSGALG00000002786	10
ENSMUSG00000032323	9	ENSGALG00000034982	10
ENSMUSG00000032324	9	ENSGALG00000002774	10
ENSMUSG00000032327	9	ENSGALG00000001449	10
ENSMUSG00000032328	9	ENSGALG00000015904	3
ENSMUSG00000032329	9	ENSGALG00000041641	10
ENSMUSG00000032330	9	ENSGALG00000015906	3
ENSMUSG00000032332	9	ENSGALG00000015908	3
ENSMUSG00000032333	9	ENSGALG00000001470	10
ENSMUSG00000032334	9	ENSGALG00000028247	10
ENSMUSG00000032336	9	ENSGALG00000001741	10
ENSMUSG00000032338	9	ENSGALG00000001764	10
ENSMUSG00000032340	9	ENSGALG00000001774	10
ENSMUSG00000032342	9	ENSGALG00000015923	3
ENSMUSG00000032343	9	ENSGALG00000015897	3
ENSMUSG00000032344	9	ENSGALG00000015925	3
ENSMUSG00000032348	9	ENSGALG00000016322	3
ENSMUSG00000032349	9	ENSGALG00000016314	3
ENSMUSG00000032350	9	ENSGALG00000016313	3
ENSMUSG00000032352	9	ENSGALG00000016304	3
ENSMUSG00000032353	9	ENSGALG00000008272	10
ENSMUSG00000032355	9	ENSGALG00000016301	3
ENSMUSG00000032356	9	ENSGALG00000008262	10
ENSMUSG00000032357	9	ENSGALG00000016300	3
ENSMUSG00000032358	9	ENSGALG00000016299	3
ENSMUSG00000032359	9	ENSGALG00000033557	10
ENSMUSG00000032360	9	ENSGALG00000016297	3
ENSMUSG00000032366	9	ENSGALG00000003521	10
ENSMUSG00000032370	9	ENSGALG00000003505	10
ENSMUSG00000032373	9	ENSGALG00000003456	10
ENSMUSG00000032374	9	ENSGALG00000006783	9
ENSMUSG00000032376	9	ENSGALG00000003427	10
ENSMUSG00000032380	9	ENSGALG00000003336	10
ENSMUSG00000032382	9	ENSGALG00000002189	10
ENSMUSG00000032383	9	ENSGALG00000002210	10
ENSMUSG00000032384	9	ENSGALG00000030812	10
ENSMUSG00000032386	9	ENSGALG00000030672	10
ENSMUSG00000032387	9	ENSGALG00000030988	10
ENSMUSG00000032388	9	ENSGALG00000007262	10
ENSMUSG00000032392	9	ENSGALG00000007365	10
ENSMUSG00000032393	9	ENSGALG00000007437	10
ENSMUSG00000032394	9	ENSGALG00000007371	10
ENSMUSG00000032396	9	ENSGALG00000007643	10
ENSMUSG00000032397	9	ENSGALG00000007649	10
ENSMUSG00000032398	9	ENSGALG00000007695	10
ENSMUSG00000032399	9	ENSGALG00000007711	10
ENSMUSG00000032400	9	ENSGALG00000007736	10
ENSMUSG00000032401	9	ENSGALG00000045006	10
ENSMUSG00000032402	9	ENSGALG00000035701	10
ENSMUSG00000032403	9	ENSGALG00000028141	10
ENSMUSG00000032405	9	ENSGALG00000007970	10
ENSMUSG00000032407	9	ENSGALG00000002612	9
ENSMUSG00000032409	9	ENSGALG00000002663	9
ENSMUSG00000032410	9	ENSGALG00000002706	9
ENSMUSG00000032411	9	ENSGALG00000025759	9
ENSMUSG00000032412	9	ENSGALG00000002764	9
ENSMUSG00000032413	9	ENSGALG00000002850	9
ENSMUSG00000032415	9	ENSGALG00000015860	3
ENSMUSG00000032417	9	ENSGALG00000015851	3
ENSMUSG00000032418	9	ENSGALG00000015849	3
ENSMUSG00000032419	9	ENSGALG00000032789	3
ENSMUSG00000032422	9	ENSGALG00000015831	3
ENSMUSG00000032423	9	ENSGALG00000015830	3
ENSMUSG00000032431	9	ENSGALG00000034163	2
ENSMUSG00000032434	9	ENSGALG00000011490	2
ENSMUSG00000032435	9	ENSGALG00000011491	2
ENSMUSG00000032436	9	ENSGALG00000011488	2
ENSMUSG00000032437	9	ENSGALG00000011465	2
ENSMUSG00000032440	9	ENSGALG00000011442	2
