Mouse	ChrMouse	Platypus	ChrPlatypus
ENSMUSG00000030978	7	ENSOANG00000010680	Ultra275
ENSMUSG00000030979	7	ENSOANG00000029388	Contig53356
ENSMUSG00000030981	7	ENSOANG00000005237	Contig15682
ENSMUSG00000030983	7	ENSOANG00000002143	Contig7280
ENSMUSG00000030986	7	ENSOANG00000002144	Contig7280
ENSMUSG00000030987	7	ENSOANG00000009489	Ultra275
ENSMUSG00000030990	7	ENSOANG00000002044	Contig34540
ENSMUSG00000030994	7	ENSOANG00000022176	Contig24010
ENSMUSG00000030996	7	ENSOANG00000010012	Contig33915
ENSMUSG00000031004	7	ENSOANG00000030909	Contig25330
ENSMUSG00000031007	X	ENSOANG00000011279	Ultra222
ENSMUSG00000031015	7	ENSOANG00000005855	3
ENSMUSG00000031016	7	ENSOANG00000005854	3
ENSMUSG00000031021	7	ENSOANG00000003113	3
ENSMUSG00000031023	7	ENSOANG00000003111	3
ENSMUSG00000031024	7	ENSOANG00000006442	Ultra707
ENSMUSG00000031026	7	ENSOANG00000006570	Ultra276
ENSMUSG00000031027	7	ENSOANG00000020955	Ultra276
ENSMUSG00000031028	7	ENSOANG00000009946	2
ENSMUSG00000031029	7	ENSOANG00000013088	Contig22163
ENSMUSG00000031060	X	ENSOANG00000004552	Contig3874
ENSMUSG00000031065	X	ENSOANG00000003108	Contig10577
ENSMUSG00000031066	X	ENSOANG00000003109	Contig10577
ENSMUSG00000031072	7	ENSOANG00000007415	3
ENSMUSG00000031073	7	ENSOANG00000007414	3
ENSMUSG00000031074	7	ENSOANG00000007412	3
ENSMUSG00000031075	7	ENSOANG00000007411	3
ENSMUSG00000031078	7	ENSOANG00000007408	3
ENSMUSG00000031089	X	ENSOANG00000002259	Contig18828
ENSMUSG00000031093	X	ENSOANG00000012828	6
ENSMUSG00000031095	X	ENSOANG00000002578	Ultra390
ENSMUSG00000031097	7	ENSOANG00000004340	Contig31428
ENSMUSG00000031099	X	ENSOANG00000002862	6
ENSMUSG00000031101	X	ENSOANG00000014543	Contig4196
ENSMUSG00000031103	X	ENSOANG00000020235	Contig18206
ENSMUSG00000031105	X	ENSOANG00000015384	Contig46202
ENSMUSG00000031107	X	ENSOANG00000031252	Contig15273
ENSMUSG00000031112	X	ENSOANG00000011701	6
ENSMUSG00000031119	X	ENSOANG00000011693	6
ENSMUSG00000031129	9	ENSOANG00000011733	Ultra359
ENSMUSG00000031130	X	ENSOANG00000011675	6
ENSMUSG00000031131	X	ENSOANG00000011673	6
ENSMUSG00000031132	X	ENSOANG00000011672	6
ENSMUSG00000031133	X	ENSOANG00000011671	6
ENSMUSG00000031137	X	ENSOANG00000011663	6
ENSMUSG00000031138	X	ENSOANG00000011661	6
ENSMUSG00000031139	X	ENSOANG00000011658	6
ENSMUSG00000031142	X	ENSOANG00000013580	Ultra295
ENSMUSG00000031143	X	ENSOANG00000013583	Ultra295
ENSMUSG00000031145	X	ENSOANG00000013579	Ultra295
ENSMUSG00000031147	X	ENSOANG00000002012	Contig6538
ENSMUSG00000031148	X	ENSOANG00000013577	Ultra295
ENSMUSG00000031150	X	ENSOANG00000013575	Ultra295
ENSMUSG00000031153	X	ENSOANG00000001888	Contig42595
ENSMUSG00000031156	X	ENSOANG00000011373	Contig26534
ENSMUSG00000031157	X	ENSOANG00000031396	Contig26534
ENSMUSG00000031158	X	ENSOANG00000014281	Contig28268
ENSMUSG00000031163	X	ENSOANG00000014488	Ultra519
ENSMUSG00000031165	X	ENSOANG00000015230	Contig8645
ENSMUSG00000031166	X	ENSOANG00000006932	Contig45310
ENSMUSG00000031167	X	ENSOANG00000012483	Contig9187
ENSMUSG00000031168	X	ENSOANG00000012972	Contig19484
ENSMUSG00000031169	X	ENSOANG00000005775	Contig12795
ENSMUSG00000031170	X	ENSOANG00000015229	Contig8645
ENSMUSG00000031171	X	ENSOANG00000013572	Ultra295
ENSMUSG00000031173	X	ENSOANG00000007118	Ultra222
ENSMUSG00000031174	X	ENSOANG00000007117	Ultra222
ENSMUSG00000031176	X	ENSOANG00000007112	Ultra222
ENSMUSG00000031197	X	ENSOANG00000001269	6
ENSMUSG00000031200	X	ENSOANG00000008719	Ultra519
ENSMUSG00000031201	X	ENSOANG00000008720	Ultra519
ENSMUSG00000031207	X	ENSOANG00000004900	Contig28535
ENSMUSG00000031216	X	ENSOANG00000002651	Contig20525
ENSMUSG00000031226	X	ENSOANG00000013333	Contig4456
ENSMUSG00000031229	X	ENSOANG00000002389	6
ENSMUSG00000031239	X	ENSOANG00000007068	Ultra722
ENSMUSG00000031246	X	ENSOANG00000012641	Contig31467
ENSMUSG00000031250	X	ENSOANG00000004204	Ultra519
ENSMUSG00000031253	X	ENSOANG00000004207	Ultra519
ENSMUSG00000031258	X	ENSOANG00000004209	Ultra519
ENSMUSG00000031262	X	ENSOANG00000004215	Ultra519
ENSMUSG00000031264	X	ENSOANG00000004224	Ultra519
ENSMUSG00000031266	X	ENSOANG00000004227	Ultra519
ENSMUSG00000031273	X	ENSOANG00000001272	6
ENSMUSG00000031274	X	ENSOANG00000001275	6
ENSMUSG00000031278	X	ENSOANG00000011439	6
ENSMUSG00000031283	X	ENSOANG00000002407	6
ENSMUSG00000031284	X	ENSOANG00000002406	6
ENSMUSG00000031285	X	ENSOANG00000021595	6
ENSMUSG00000031289	X	ENSOANG00000031507	Contig24348
ENSMUSG00000031290	X	ENSOANG00000007419	Contig9160
ENSMUSG00000031292	X	ENSOANG00000004037	Ultra462
ENSMUSG00000031293	X	ENSOANG00000005828	Contig7714
ENSMUSG00000031295	X	ENSOANG00000004031	Ultra462
ENSMUSG00000031298	X	ENSOANG00000004030	Ultra462
ENSMUSG00000031303	X	ENSOANG00000004027	Ultra462
ENSMUSG00000031309	X	ENSOANG00000010658	Ultra462
ENSMUSG00000031314	X	ENSOANG00000000355	Ultra484
ENSMUSG00000031328	X	ENSOANG00000011016	Ultra401
ENSMUSG00000031333	X	ENSOANG00000002026	6
ENSMUSG00000031337	X	ENSOANG00000011634	6
ENSMUSG00000031342	X	ENSOANG00000002605	Ultra462
ENSMUSG00000031343	X	ENSOANG00000008728	Ultra519
ENSMUSG00000031349	X	ENSOANG00000008705	Ultra519
ENSMUSG00000031351	X	ENSOANG00000008706	Ultra519
ENSMUSG00000031352	X	ENSOANG00000012100	Contig4370
ENSMUSG00000031353	X	ENSOANG00000003884	Ultra462
ENSMUSG00000031354	X	ENSOANG00000002624	Ultra462
ENSMUSG00000031355	X	ENSOANG00000002625	Ultra462
ENSMUSG00000031357	X	ENSOANG00000014232	Ultra462
ENSMUSG00000031360	X	ENSOANG00000002568	Ultra462
ENSMUSG00000031364	X	ENSOANG00000002569	Ultra462
ENSMUSG00000031367	X	ENSOANG00000002570	Ultra462
ENSMUSG00000031371	X	ENSOANG00000000685	Ultra403
ENSMUSG00000031372	X	ENSOANG00000000686	Ultra403
ENSMUSG00000031373	X	ENSOANG00000002572	Ultra462
ENSMUSG00000031375	X	ENSOANG00000000684	Ultra403
ENSMUSG00000031376	X	ENSOANG00000000679	Ultra403
ENSMUSG00000031377	X	ENSOANG00000002579	Ultra462
ENSMUSG00000031379	X	ENSOANG00000002586	Ultra462
ENSMUSG00000031380	X	ENSOANG00000002589	Ultra462
ENSMUSG00000031381	X	ENSOANG00000002593	Ultra462
ENSMUSG00000031382	X	ENSOANG00000002595	Ultra462
ENSMUSG00000031383	X	ENSOANG00000005316	Contig30113
ENSMUSG00000031384	X	ENSOANG00000002597	Ultra462
ENSMUSG00000031385	X	ENSOANG00000005185	Ultra403
ENSMUSG00000031386	X	ENSOANG00000005871	Ultra401
ENSMUSG00000031387	X	ENSOANG00000002892	Contig19493
ENSMUSG00000031389	X	ENSOANG00000022384	Contig159363
ENSMUSG00000031390	X	ENSOANG00000005890	Contig8921
ENSMUSG00000031391	X	ENSOANG00000009415	Contig25207
ENSMUSG00000031392	X	ENSOANG00000011027	Ultra401
ENSMUSG00000031393	X	ENSOANG00000011024	Ultra401
ENSMUSG00000031394	X	ENSOANG00000011023	Ultra401
ENSMUSG00000031398	X	ENSOANG00000007979	Contig8328
ENSMUSG00000031399	X	ENSOANG00000009818	Contig20890
ENSMUSG00000031402	X	ENSOANG00000008715	Ultra519
ENSMUSG00000031425	X	ENSOANG00000004229	Ultra519
ENSMUSG00000031431	X	ENSOANG00000014707	Ultra369
ENSMUSG00000031434	X	ENSOANG00000000372	Ultra519
ENSMUSG00000031438	X	ENSOANG00000011641	6
ENSMUSG00000031442	8	ENSOANG00000015640	Ultra336
ENSMUSG00000031444	8	ENSOANG00000015639	Ultra336
ENSMUSG00000031445	8	ENSOANG00000015638	Ultra336
ENSMUSG00000031446	8	ENSOANG00000015636	Ultra336
ENSMUSG00000031447	8	ENSOANG00000015635	Ultra336
ENSMUSG00000031448	8	ENSOANG00000015632	Ultra336
ENSMUSG00000031450	8	ENSOANG00000015626	Ultra336
ENSMUSG00000031451	8	ENSOANG00000015645	Ultra336
ENSMUSG00000031453	8	ENSOANG00000012902	Contig15641
ENSMUSG00000031458	8	ENSOANG00000002757	Contig5894
ENSMUSG00000031465	8	ENSOANG00000005391	X1
ENSMUSG00000031481	8	ENSOANG00000015517	Ultra336
ENSMUSG00000031483	8	ENSOANG00000007861	Ultra422
ENSMUSG00000031485	8	ENSOANG00000014073	4
ENSMUSG00000031486	8	ENSOANG00000030994	Contig16693
ENSMUSG00000031487	8	ENSOANG00000009718	Contig16693
ENSMUSG00000031488	8	ENSOANG00000003030	Contig2658
ENSMUSG00000031490	8	ENSOANG00000007344	Contig37712
ENSMUSG00000031491	8	ENSOANG00000000701	5
ENSMUSG00000031492	8	ENSOANG00000000702	5
ENSMUSG00000031497	8	ENSOANG00000015596	Ultra336
ENSMUSG00000031502	8	ENSOANG00000015603	Ultra336
ENSMUSG00000031503	8	ENSOANG00000015616	Ultra336
ENSMUSG00000031504	8	ENSOANG00000015621	Ultra336
ENSMUSG00000031506	1	ENSOANG00000012567	Ultra269
ENSMUSG00000031508	8	ENSOANG00000015624	Ultra336
ENSMUSG00000031511	8	ENSOANG00000015625	Ultra336
ENSMUSG00000031513	8	ENSOANG00000011277	Contig11008
ENSMUSG00000031516	8	ENSOANG00000004843	Contig8443
ENSMUSG00000031517	8	ENSOANG00000003589	12
ENSMUSG00000031518	8	ENSOANG00000010926	Ultra286
ENSMUSG00000031519	8	ENSOANG00000010925	Ultra286
ENSMUSG00000031520	8	ENSOANG00000029205	Contig8288
ENSMUSG00000031521	8	ENSOANG00000005290	Ultra105
ENSMUSG00000031523	8	ENSOANG00000031753	Contig22747
ENSMUSG00000031527	8	ENSOANG00000008566	Ultra173
ENSMUSG00000031529	8	ENSOANG00000008567	Ultra173
ENSMUSG00000031533	8	ENSOANG00000015515	Ultra336
ENSMUSG00000031534	8	ENSOANG00000000704	5
ENSMUSG00000031536	8	ENSOANG00000000697	5
ENSMUSG00000031537	8	ENSOANG00000000711	5
ENSMUSG00000031538	8	ENSOANG00000000713	5
ENSMUSG00000031539	8	ENSOANG00000000715	5
ENSMUSG00000031540	8	ENSOANG00000000718	5
ENSMUSG00000031543	8	ENSOANG00000000720	5
ENSMUSG00000031545	8	ENSOANG00000000721	5
ENSMUSG00000031546	8	ENSOANG00000006555	5
ENSMUSG00000031548	8	ENSOANG00000002807	Contig131292
ENSMUSG00000031549	8	ENSOANG00000010762	Contig3199
ENSMUSG00000031551	8	ENSOANG00000031181	Contig2794
ENSMUSG00000031555	8	ENSOANG00000009231	Contig5337
ENSMUSG00000031556	8	ENSOANG00000003105	Ultra236
ENSMUSG00000031557	8	ENSOANG00000003106	Ultra236
ENSMUSG00000031561	8	ENSOANG00000012495	Contig8436
ENSMUSG00000031562	8	ENSOANG00000006238	Contig22487
ENSMUSG00000031565	8	ENSOANG00000003252	Ultra236
ENSMUSG00000031568	8	ENSOANG00000006299	Contig8739
ENSMUSG00000031570	8	ENSOANG00000003254	Ultra236
ENSMUSG00000031575	8	ENSOANG00000013100	Contig2762
ENSMUSG00000031576	8	ENSOANG00000001328	Ultra422
ENSMUSG00000031578	8	ENSOANG00000002395	5
ENSMUSG00000031583	8	ENSOANG00000005952	5
ENSMUSG00000031584	8	ENSOANG00000015020	Contig3409
ENSMUSG00000031585	8	ENSOANG00000015808	Contig3079
ENSMUSG00000031590	8	ENSOANG00000005659	Contig15675
ENSMUSG00000031592	8	ENSOANG00000022294	Contig8507
ENSMUSG00000031594	8	ENSOANG00000003613	Contig13607
ENSMUSG00000031595	8	ENSOANG00000005839	Ultra469
ENSMUSG00000031596	8	ENSOANG00000005840	Ultra469
ENSMUSG00000031600	8	ENSOANG00000014355	Contig22017
ENSMUSG00000031601	8	ENSOANG00000010384	Ultra469
ENSMUSG00000031604	8	ENSOANG00000014479	12
ENSMUSG00000031605	8	ENSOANG00000014478	12
ENSMUSG00000031608	8	ENSOANG00000011495	12
ENSMUSG00000031609	8	ENSOANG00000011493	12
ENSMUSG00000031610	8	ENSOANG00000011492	12
ENSMUSG00000031613	8	ENSOANG00000008864	Contig30637
ENSMUSG00000031616	8	ENSOANG00000005262	Ultra539
ENSMUSG00000031617	8	ENSOANG00000005263	Ultra539
ENSMUSG00000031618	8	ENSOANG00000005268	Ultra539
ENSMUSG00000031620	8	ENSOANG00000028894	Ultra539
ENSMUSG00000031622	8	ENSOANG00000013064	Ultra493
ENSMUSG00000031626	8	ENSOANG00000013037	Contig7939
ENSMUSG00000031627	8	ENSOANG00000020247	Contig21156
ENSMUSG00000031628	8	ENSOANG00000000305	Contig6844
ENSMUSG00000031631	8	ENSOANG00000002173	Contig12178
ENSMUSG00000031634	8	ENSOANG00000004307	Contig14045
ENSMUSG00000031635	8	ENSOANG00000007455	12
ENSMUSG00000031636	8	ENSOANG00000006867	Contig10794
ENSMUSG00000031637	8	ENSOANG00000012291	Contig10069
ENSMUSG00000031639	8	ENSOANG00000004937	Contig12198
ENSMUSG00000031641	8	ENSOANG00000007445	12
ENSMUSG00000031642	8	ENSOANG00000007444	12
ENSMUSG00000031644	8	ENSOANG00000007443	12
ENSMUSG00000031645	8	ENSOANG00000012905	Contig29087
ENSMUSG00000031647	8	ENSOANG00000008639	12
ENSMUSG00000031652	8	ENSOANG00000000582	Ultra380
ENSMUSG00000031654	8	ENSOANG00000000583	Ultra380
ENSMUSG00000031657	8	ENSOANG00000000588	Ultra380
ENSMUSG00000031659	8	ENSOANG00000000590	Ultra380
ENSMUSG00000031660	8	ENSOANG00000001329	Ultra604
ENSMUSG00000031661	8	ENSOANG00000013395	Contig65
ENSMUSG00000031662	8	ENSOANG00000013396	Contig65
ENSMUSG00000031665	8	ENSOANG00000013399	Contig65
ENSMUSG00000031666	8	ENSOANG00000013404	Contig65
ENSMUSG00000031667	8	ENSOANG00000013405	Contig65
ENSMUSG00000031668	6	ENSOANG00000010350	Ultra544
ENSMUSG00000031669	8	ENSOANG00000012112	Ultra55
ENSMUSG00000031671	8	ENSOANG00000012110	Ultra55
ENSMUSG00000031672	8	ENSOANG00000031175	Contig51950
ENSMUSG00000031673	8	ENSOANG00000007715	Contig1442
ENSMUSG00000031681	8	ENSOANG00000006538	Ultra44
ENSMUSG00000031684	8	ENSOANG00000006896	Ultra44
ENSMUSG00000031688	8	ENSOANG00000006897	Ultra44
ENSMUSG00000031691	8	ENSOANG00000010051	Contig11571
ENSMUSG00000031696	8	ENSOANG00000002249	Contig10306
ENSMUSG00000031697	8	ENSOANG00000003660	Contig4075
ENSMUSG00000031698	8	ENSOANG00000003659	Contig4075
ENSMUSG00000031701	8	ENSOANG00000002162	11
ENSMUSG00000031706	8	ENSOANG00000015701	Contig10457
ENSMUSG00000031708	8	ENSOANG00000003868	Ultra638
ENSMUSG00000031709	8	ENSOANG00000013540	Contig102
ENSMUSG00000031710	8	ENSOANG00000015294	Ultra33
ENSMUSG00000031711	8	ENSOANG00000013166	Ultra33
ENSMUSG00000031712	8	ENSOANG00000013165	Ultra33
ENSMUSG00000031714	8	ENSOANG00000013925	Ultra33
ENSMUSG00000031715	8	ENSOANG00000013921	Ultra33
ENSMUSG00000031727	8	ENSOANG00000030886	11
ENSMUSG00000031728	8	ENSOANG00000008189	11
ENSMUSG00000031729	8	ENSOANG00000008190	11
ENSMUSG00000031730	8	ENSOANG00000006391	Ultra674
ENSMUSG00000031731	8	ENSOANG00000008186	11
ENSMUSG00000031732	8	ENSOANG00000008185	11
ENSMUSG00000031740	8	ENSOANG00000011098	Ultra380
ENSMUSG00000031748	8	ENSOANG00000004187	Contig2159
ENSMUSG00000031749	8	ENSOANG00000001158	Ultra55
ENSMUSG00000031750	8	ENSOANG00000001162	Ultra55
ENSMUSG00000031751	8	ENSOANG00000004185	Contig2159
ENSMUSG00000031753	8	ENSOANG00000001160	Ultra55
ENSMUSG00000031754	8	ENSOANG00000012782	Contig6076
ENSMUSG00000031756	8	ENSOANG00000011086	Ultra380
ENSMUSG00000031757	8	ENSOANG00000000565	Ultra517
ENSMUSG00000031766	8	ENSOANG00000013751	Ultra517
ENSMUSG00000031767	8	ENSOANG00000032220	Contig26936
ENSMUSG00000031770	8	ENSOANG00000013750	Ultra517
ENSMUSG00000031774	8	ENSOANG00000006892	Contig7958
ENSMUSG00000031775	8	ENSOANG00000013745	Ultra517
ENSMUSG00000031778	8	ENSOANG00000013742	Ultra517
ENSMUSG00000031779	8	ENSOANG00000013744	Ultra517
ENSMUSG00000031780	8	ENSOANG00000020488	Ultra517
ENSMUSG00000031782	8	ENSOANG00000009339	Ultra517
ENSMUSG00000031783	8	ENSOANG00000009337	Ultra517
ENSMUSG00000031785	8	ENSOANG00000004685	Ultra55
ENSMUSG00000031786	8	ENSOANG00000004683	Ultra55
ENSMUSG00000031787	8	ENSOANG00000004682	Ultra55
ENSMUSG00000031788	8	ENSOANG00000004494	Contig9981
ENSMUSG00000031789	8	ENSOANG00000012119	Ultra55
ENSMUSG00000031790	8	ENSOANG00000012117	Ultra55
ENSMUSG00000031791	8	ENSOANG00000007866	Ultra493
ENSMUSG00000031792	8	ENSOANG00000012118	Ultra55
ENSMUSG00000031796	8	ENSOANG00000012116	Ultra55
ENSMUSG00000031799	8	ENSOANG00000005367	Contig6852
ENSMUSG00000031803	8	ENSOANG00000002522	Contig23242
ENSMUSG00000031805	8	ENSOANG00000005345	Contig10040
ENSMUSG00000031807	8	ENSOANG00000014608	Contig2192
ENSMUSG00000031808	8	ENSOANG00000014609	Contig2192
ENSMUSG00000031812	8	ENSOANG00000003349	Contig2376
ENSMUSG00000031813	8	ENSOANG00000014610	Contig2192
ENSMUSG00000031816	8	ENSOANG00000003740	Ultra78
ENSMUSG00000031818	8	ENSOANG00000003744	Ultra78
ENSMUSG00000031819	8	ENSOANG00000003745	Ultra78
ENSMUSG00000031821	8	ENSOANG00000011357	Ultra521
ENSMUSG00000031822	8	ENSOANG00000011355	Ultra521
ENSMUSG00000031823	8	ENSOANG00000011352	Ultra521
ENSMUSG00000031824	8	ENSOANG00000011353	Ultra521
ENSMUSG00000031825	8	ENSOANG00000011346	Ultra521
ENSMUSG00000031826	8	ENSOANG00000011345	Ultra521
ENSMUSG00000031827	8	ENSOANG00000011343	Ultra521
ENSMUSG00000031828	8	ENSOANG00000011344	Ultra521
ENSMUSG00000031831	8	ENSOANG00000013371	Contig6436
ENSMUSG00000031832	8	ENSOANG00000031158	2
ENSMUSG00000031833	8	ENSOANG00000001293	Contig1189
ENSMUSG00000031834	8	ENSOANG00000001300	Contig1189
ENSMUSG00000031837	8	ENSOANG00000013780	X1
ENSMUSG00000031838	8	ENSOANG00000001305	Contig1189
ENSMUSG00000031839	8	ENSOANG00000011337	Ultra521
ENSMUSG00000031840	8	ENSOANG00000001291	Contig1189
ENSMUSG00000031841	8	ENSOANG00000011335	Ultra521
ENSMUSG00000031843	8	ENSOANG00000011334	Ultra521
ENSMUSG00000031844	8	ENSOANG00000011332	Ultra521
ENSMUSG00000031845	8	ENSOANG00000009859	X1
ENSMUSG00000031847	8	ENSOANG00000011088	Ultra380
ENSMUSG00000031848	8	ENSOANG00000007434	Contig3434
ENSMUSG00000031849	8	ENSOANG00000002729	Contig13761
ENSMUSG00000031851	8	ENSOANG00000031414	Contig32534
ENSMUSG00000031858	8	ENSOANG00000012450	Ultra21
ENSMUSG00000031862	8	ENSOANG00000014224	Contig14640
ENSMUSG00000031870	9	ENSOANG00000010494	Ultra192
ENSMUSG00000031878	8	ENSOANG00000001061	Ultra249
ENSMUSG00000031880	8	ENSOANG00000013935	Contig19964
ENSMUSG00000031883	8	ENSOANG00000012209	Contig17207
ENSMUSG00000031889	8	ENSOANG00000001684	X1
ENSMUSG00000031891	8	ENSOANG00000009417	Contig9293
ENSMUSG00000031896	8	ENSOANG00000013841	Ultra126
ENSMUSG00000031897	8	ENSOANG00000013843	Ultra126
ENSMUSG00000031901	8	ENSOANG00000030151	Contig12211
ENSMUSG00000031902	8	ENSOANG00000021344	X1
ENSMUSG00000031903	8	ENSOANG00000010974	X1
ENSMUSG00000031904	8	ENSOANG00000010975	X1
ENSMUSG00000031906	8	ENSOANG00000010981	X1
ENSMUSG00000031910	8	ENSOANG00000002358	11
ENSMUSG00000031913	8	ENSOANG00000002361	11
ENSMUSG00000031916	8	ENSOANG00000002362	11
ENSMUSG00000031917	8	ENSOANG00000009999	Contig39080
ENSMUSG00000031918	9	ENSOANG00000010499	Ultra192
ENSMUSG00000031919	8	ENSOANG00000002363	11
ENSMUSG00000031921	8	ENSOANG00000002365	11
ENSMUSG00000031922	9	ENSOANG00000010500	Ultra192
ENSMUSG00000031924	8	ENSOANG00000002366	11
ENSMUSG00000031925	9	ENSOANG00000029578	Ultra192
ENSMUSG00000031927	9	ENSOANG00000029843	Ultra29
ENSMUSG00000031928	9	ENSOANG00000010399	Ultra29
ENSMUSG00000031930	8	ENSOANG00000005081	11
ENSMUSG00000031931	9	ENSOANG00000010402	Ultra29
ENSMUSG00000031932	9	ENSOANG00000010398	Ultra29
ENSMUSG00000031934	9	ENSOANG00000011723	Ultra29
ENSMUSG00000031936	9	ENSOANG00000005152	Contig17609
ENSMUSG00000031937	9	ENSOANG00000011717	Ultra29
ENSMUSG00000031938	9	ENSOANG00000011715	Ultra29
ENSMUSG00000031939	9	ENSOANG00000011713	Ultra29
ENSMUSG00000031948	8	ENSOANG00000008179	11
ENSMUSG00000031949	8	ENSOANG00000008178	11
ENSMUSG00000031950	8	ENSOANG00000008177	11
ENSMUSG00000031951	8	ENSOANG00000008176	11
ENSMUSG00000031952	8	ENSOANG00000011644	Contig28911
ENSMUSG00000031953	8	ENSOANG00000012501	Contig5152
ENSMUSG00000031954	8	ENSOANG00000011018	Contig16865
ENSMUSG00000031955	8	ENSOANG00000007657	Contig27907
ENSMUSG00000031957	8	ENSOANG00000012853	Contig18167
ENSMUSG00000031958	8	ENSOANG00000014184	Contig1169
ENSMUSG00000031959	8	ENSOANG00000012892	Contig1296
ENSMUSG00000031960	8	ENSOANG00000001157	Ultra55
ENSMUSG00000031962	8	ENSOANG00000006734	11
ENSMUSG00000031963	9	ENSOANG00000005869	Ultra413
ENSMUSG00000031965	9	ENSOANG00000006968	Contig2475
ENSMUSG00000031967	8	ENSOANG00000002348	11
ENSMUSG00000031969	9	ENSOANG00000009004	Contig8338
ENSMUSG00000031970	8	ENSOANG00000002350	11
ENSMUSG00000031971	8	ENSOANG00000001828	Contig16618
ENSMUSG00000031972	8	ENSOANG00000002564	Contig7051
ENSMUSG00000031974	8	ENSOANG00000013729	Contig696
ENSMUSG00000031979	8	ENSOANG00000013736	Contig696
ENSMUSG00000031980	8	ENSOANG00000013737	Contig696
ENSMUSG00000031981	8	ENSOANG00000013738	Contig696
ENSMUSG00000031982	8	ENSOANG00000013740	Contig696
ENSMUSG00000031985	8	ENSOANG00000031145	Contig16073
ENSMUSG00000031986	8	ENSOANG00000013723	Contig696
ENSMUSG00000031987	8	ENSOANG00000013722	Contig696
ENSMUSG00000031990	9	ENSOANG00000020973	Contig9595
ENSMUSG00000031991	9	ENSOANG00000006905	Contig30096
ENSMUSG00000031993	9	ENSOANG00000004066	11
ENSMUSG00000031994	9	ENSOANG00000012480	11
ENSMUSG00000031995	9	ENSOANG00000000581	Ultra380
ENSMUSG00000031996	9	ENSOANG00000031725	Contig9876
ENSMUSG00000031997	9	ENSOANG00000010492	Ultra192
ENSMUSG00000032002	9	ENSOANG00000010476	Ultra192
ENSMUSG00000032006	9	ENSOANG00000010473	Ultra192
ENSMUSG00000032009	9	ENSOANG00000010503	Ultra192
ENSMUSG00000032010	9	ENSOANG00000004771	Contig28344
ENSMUSG00000032011	9	ENSOANG00000002126	Contig24667
ENSMUSG00000032012	9	ENSOANG00000015255	Ultra285
ENSMUSG00000032013	9	ENSOANG00000015253	Ultra285
ENSMUSG00000032015	9	ENSOANG00000007198	Contig6802
ENSMUSG00000032017	9	ENSOANG00000006269	Ultra285
ENSMUSG00000032018	9	ENSOANG00000005098	Ultra285
ENSMUSG00000032021	9	ENSOANG00000011158	Contig5733
ENSMUSG00000032023	9	ENSOANG00000001112	Contig14232
ENSMUSG00000032024	9	ENSOANG00000011541	Ultra473
ENSMUSG00000032026	9	ENSOANG00000001754	Contig3993
ENSMUSG00000032030	9	ENSOANG00000010459	Ultra192
ENSMUSG00000032034	9	ENSOANG00000000571	Ultra380
ENSMUSG00000032035	9	ENSOANG00000012104	Ultra380
ENSMUSG00000032036	9	ENSOANG00000001361	Contig16048
ENSMUSG00000032040	9	ENSOANG00000030679	Contig10382
ENSMUSG00000032041	9	ENSOANG00000001155	Contig10382
ENSMUSG00000032044	9	ENSOANG00000007247	Contig30542
ENSMUSG00000032046	2	ENSOANG00000000429	Contig11929
ENSMUSG00000032050	9	ENSOANG00000006241	Ultra111
ENSMUSG00000032051	9	ENSOANG00000006240	Ultra111
ENSMUSG00000032053	9	ENSOANG00000021406	Contig111376
ENSMUSG00000032056	9	ENSOANG00000008024	Contig8579
ENSMUSG00000032058	9	ENSOANG00000014964	Contig2394
ENSMUSG00000032059	9	ENSOANG00000003843	Contig11352
ENSMUSG00000032060	9	ENSOANG00000006525	Contig41893
ENSMUSG00000032064	9	ENSOANG00000020991	Contig26555
ENSMUSG00000032066	9	ENSOANG00000008120	Contig19081
ENSMUSG00000032067	9	ENSOANG00000000412	Contig18532
ENSMUSG00000032076	9	ENSOANG00000004423	Contig1012
ENSMUSG00000032077	9	ENSOANG00000004370	Contig12601
ENSMUSG00000032078	9	ENSOANG00000009914	Contig7433
ENSMUSG00000032083	9	ENSOANG00000015711	Contig3044
ENSMUSG00000032086	9	ENSOANG00000014353	Contig6780
ENSMUSG00000032087	9	ENSOANG00000028827	Contig16715
ENSMUSG00000032089	9	ENSOANG00000002342	Contig2734
ENSMUSG00000032091	9	ENSOANG00000002343	Contig2734
ENSMUSG00000032092	9	ENSOANG00000005346	Contig1426
ENSMUSG00000032094	9	ENSOANG00000005341	Contig1426
ENSMUSG00000032096	9	ENSOANG00000003755	Contig1194
ENSMUSG00000032097	9	ENSOANG00000003751	Contig1194
ENSMUSG00000032098	9	ENSOANG00000003752	Contig1194
ENSMUSG00000032101	9	ENSOANG00000012968	Contig7469
ENSMUSG00000032103	9	ENSOANG00000000406	Contig4160
ENSMUSG00000032105	9	ENSOANG00000012216	Contig12617
ENSMUSG00000032109	9	ENSOANG00000012215	Contig12617
ENSMUSG00000032112	9	ENSOANG00000000682	Contig8637
ENSMUSG00000032113	9	ENSOANG00000006301	Contig2444
ENSMUSG00000032115	9	ENSOANG00000004367	Contig14758
ENSMUSG00000032116	9	ENSOANG00000006302	Contig2444
ENSMUSG00000032118	9	ENSOANG00000000318	Contig10612
ENSMUSG00000032119	9	ENSOANG00000001388	Contig21728
ENSMUSG00000032123	9	ENSOANG00000030865	Contig14866
